Last Name,First Name,"Without changes in policy, a rising share of people who are over age 65 will exert a substantial downward influence on per capita real GDP in western European countries.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"In European countries where the share of those over 65 is rising, there are net social benefits to adjusting retirement ages for state-financed (including pay-as-you-go) pension systems upwards, so that revised retirement ages better reflect longer life expectancies.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,7,It depends on how easy it is for them to keep working.  The easier it is the less likely this scenario will unfold.,Strongly Agree,7,"Yes, people need to work longer given the demographic distribution and increased longevity."
Antras,Pol,Strongly Agree,8,"Hard to argue against ""downward influence"". A different matter is whether GDP per capita will fall, which is possible but unlikely",Strongly Agree,8,"It's not just higher life expectancy, but also better health at current health retirement ages"
Bénassy-Quéré,Agnès,Strongly Agree,8,,Strongly Agree,8,
Baldwin,Richard,Did Not Answer,,,Did Not Answer,,
Besley,Timothy J.,Agree,8,"It is not just about policy but also about shifting social norms.  Traditional notions of ""retirement"" are now increasingly outdated.",Strongly Agree,10,Indexing to life expectancy makes sense and helps to depoliticize these decisions in future once the rule has been widely agreed.
Blanchard,Olivier,Strongly Agree,9,"The direct effect is nearly by construction.  The indirect effects, on pay as you go, on fiscal balance, are well documented",Strongly Agree,9,"increase in retirement age, given increase in life expectancy and state of health, seems the least painful way to adjust. "
Bloom,Nicholas,Agree,8,,Agree,9,
Blundell,Richard William,Agree,8,Current policies reduce incentives to work after 65. Good evidence that these can be reformed successfully. ,Agree,8,"For many, working later in life is attractive relative to higher costs of social security. Requires redistribution to those in poor health. "
Carletti,Elena,Agree,4,,No Opinion,,
Danthine,Jean-Pierre,Agree,3,,Agree,3,Promoting flexibility in the retirement age (with actuarially fair rent adjustments) is more important than compulsory later retirement
De Grauwe,Paul,Agree,7,Without changes in legislation the fiscal burden of pensions will require further taxation of the working population,Agree,8,
Eeckhout,Jan,Agree,8,,Agree,8,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
