Last Name,First Name,Use of artificial intelligence over the next ten years will lead to a substantial increase in the growth rates of real per capita income in the US and Western Europe over the subsequent two decades.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Use of artificial intelligence over the next ten years will have a substantially bigger impact on the growth rates of real per capita income in the US and Western Europe over the subsequent two decades than the internet has had over the past two decades.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,These kinds of innovations have the potential to improve productivity but actually using them in this way often seems to turn out to be difficult.,Uncertain,5,Very diificult to say what the effect of these kinds of changes has been in the past or what it will be going forward.
Antras,Pol,Agree,6,,Uncertain,6,
Bénassy-Quéré,Agnès,Agree,6,,Agree,6,Also because it comes at a time of labor scarcity.
Blanchard,Olivier,Uncertain,7,we have learned that what appears to be tech breakthroughs do not always lead to increases in measured tfp... ,Uncertain,7,"for the same reason as the answer to the earlier question.  We have a hard time assessing what the effect of the net was on pty.  We must be careful about predicting the effect of AI. 
"
Bloom,Nicholas,Strongly Disagree,10,"I wish it would, but the data is against this. Fact 1: GDP growth has been slowing since the 1950s. Fact 2: this era spanned many amazing innovations. Fact 3: 10 years is far too fast for any big invention to change GDP.

So I would love this to be true, but that's its not likely",Uncertain,9,"Not easy - basically who will win in a fight of King Kong vs Godzilla? The internet is amazing and impacts every one of us every day. But GDP growth has slowed over the last 20 years. Will AI be that much better - I would love it to be true, but doubt it."
Blundell,Richard William,Agree,4,,Uncertain,4,
Botticini,Maristella,Agree,7,,Uncertain,7,
Carletti,Elena,Uncertain,4,,Uncertain,2,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Uncertain,5,,Uncertain,5,
Eeckhout,Jan,Agree,7,"More growth relative to having no AI, certainly. Relative to growth rates from the past decades, that remains uncertain.",Uncertain,6,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Strongly Agree,5,,Uncertain,5,
Fuchs-Schündeln,Nicola,Uncertain,4,,Uncertain,4,
Galí,Jordi,Uncertain,5,,Uncertain,5,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,5,,Uncertain,1,
Griffith,Rachel,Uncertain,1,,Uncertain,1,
Guerrieri,Veronica,Agree,7,,Disagree,7,
Guiso,Luigi,Agree,4,,Uncertain,3,
Guriev,Sergei,Uncertain,5,,Agree,8,
Honohan,Patrick,Uncertain,1,Too early to say. LLM experience to date not all that encouraging.,Uncertain,1,
Javorcik,Beata,Agree,4,,Uncertain,1,
Kőszegi,Botond,Uncertain,7,,Uncertain,7,
Krahnen,Jan Pieter,Did Not Answer,,,Did Not Answer,,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,2,Key question is how substantial the increase will be - confidence interval is pretty large (and hence low confidence score),Uncertain,5,"I am reasonably certain that the answer is we don't know (hence vote uncertain). Besides, exact magnitude of the internet's impact on growth and in particular productivity growth is still being debated. It has likely increased over time, which makes comparison even more difficult"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,10,,Uncertain,10,
Pagano,Marco,Agree,5,,Uncertain,3,
Pastor,Lubos,Uncertain,3,,Uncertain,3,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Agree,5,
Prendergast,Canice,Uncertain,8,,Disagree,6,
Propper,Carol,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Uncertain,5,,Agree,4,
Reichlin,Lucrezia,Uncertain,2,,Uncertain,2,
Reis,Ricardo,Uncertain,9,"While there are solid facts on the diffusion of new technologies and their impact on growth, I thought that the estimates of the speed/timing over which these materialize has very large confidence bands.",Uncertain,8,
Repullo,Rafael,Agree,2,,Uncertain,2,
Rey,Hélène,Agree,4,,Agree,4,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Uncertain,2,,Uncertain,2,
Sturm,Daniel,Uncertain,5,Very hard to tell how revolutionary this technology will be at this early stage.,Uncertain,5,
Van der Ploeg,Rick,Agree,6,One might expect AI to fundamentally alter the way business is conducted in many spheres of the economy. Not just replacing stuff done by humans before but also new possibilities leading to new growth prospects.,Uncertain,6,
Van Reenen,John,Uncertain,5,,Uncertain,5,
Vickers,John,Agree,4,I’m assuming “increase” means relative to world without AI. ,Uncertain,3,
Voth,Hans-Joachim,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Uncertain,5,"The sign of the impact is most likely positive but I don't we can know the effect is substantial. Is it a greater leap forward than the internet, which boosted productivity substantially for a few years before apparently tailing off? ",Uncertain,5,Too many unknowns but I would think it probably unlikely.
Wyplosz,Charles,Uncertain,5,Where did social media growth effect go?,Disagree,4,"AI seems good for clerical activities, but who knows?"
