Last Name,First Name,Financial regulators in the US and Europe lack the tools and authority to deter runs on banks by uninsured depositors.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Not guaranteeing uninsured deposits at Silicon Valley Bank in full would have created substantial damage to the US economy.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Fully guaranteeing uninsured deposits at Silicon Valley Bank substantially increases banks’ incentives to engage in excessive risk-taking.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,They could make capital buffers depend on the amount of uninsured deposits. This may be difficult to implement current laws but could presumably be introduced without too much difficulty.,Uncertain,5,It's difficult to know what would have happened without the implementation guarantee. It's surprising to me that firms/individuals would hold so much uninsured deposits when short term money market funds holding short term Treausries are easily available with a higher return.,Agree,5,The differing statements about which banks the full guarantee will apply to going forward suggests there is indeed a significant issue here.
Antras,Pol,Disagree,7,"Raising capital requirements or offering ex-post guarantees could help avoid bank runs, but these solutions entail their own costs.",Disagree,7,"Substantial is a vague term, but I think the consequences would have been localized (affecting a few politically powerful economic agents)",Agree,7,Failure is a central element of capitalism. A system that amounts to socialism for banks and capitalism for the rest of the economy seems problematic to me.
Bénassy-Quéré,Agnès,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,7,This is true by definition,Agree,7,"The SVB run made salient an issue that uninsured depositors had probably not focused on, and not bailing out would probably have led to large runs on other banks. ",Agree,7,"Full insurance is not desirable.  There are good reasons to increase the threshold,  say to protect payroll for example, but it has to come with additional regulation and surveillance.   "
Bloom,Nicholas,Uncertain,5,,Strongly Agree,10,,Disagree,8,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Disagree,8,,Uncertain,8,,Agree,8,
Carletti,Elena,Uncertain,10,"it very much depends on what type of runs we are talking about, if linked to fundamentals or more panic-driven, and if more idyosincratic or systemic",Uncertain,10,"the answer may depend on the status of the other banks in the US, something which regulators should be able to access. But in those situations, it may be better to take more prudent decisions/actions ",Disagree,10,
Danthine,Jean-Pierre,Agree,8,,Agree,8,,Agree,8,
De Grauwe,Paul,Disagree,7,,Uncertain,5,,Agree,6,
Eeckhout,Jan,Agree,7,,Uncertain,7,,Strongly Agree,9,
Fehr,Ernst,Strongly Agree,8,,Agree,6,,Uncertain,7,
Freixas,Xavier,Strongly Agree,10,,Agree,10,,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Uncertain,3,,Agree,6,,Agree,6,
Galí,Jordi,Agree,7,,Uncertain,6,,Agree,6,
Gorodnichenko,Yuriy,Disagree,7,,Agree,4,,Strongly Agree,9,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Disagree,8,,Uncertain,8,,Agree,8,
Guiso,Luigi,Uncertain,7,,Agree,6,,Disagree,7,
Guriev,Sergei,Uncertain,5,,Disagree,7,,Uncertain,5,
Honohan,Patrick,Disagree,8,Enforcement of higher capital/TLAC requirements (including discretionary pillar 2) and timely use of resolution powers should be sufficient.,Disagree,8,Maybe answer was yes by the time this guarantee was provided.  But earlier intervention (months ago) and prompt interim payment of a high percentage to uninsured by FDIC would have stemmed most of the damage.,Uncertain,8,Implicit coverage of most large depositors in the US since the GFC probably means that this moral hazard is already present. 
Javorcik,Beata,Agree,7,,Agree,5,,Strongly Agree,9,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,6,"One way to avoid a run would require a safeguard for all holders of demand deposits, whether small or large, individual or corporate. The safeguard could be preferably designed as an insurance scheme, or as an extended liquidity requirement.  ",Agree,5,"I tend to agree here, because of SVB's special business model and the large number of small corporates/start-ups that seem to have stored their funds at the bank. ",Uncertain,7,"I am ticking ""uncertain"" because the answer depends on what the regulator imposes in exchange for an unconditional demand deposit insurance. If one follows the European BRRD model, lots of bail-in debt could strengthen market discipline, and avoid an increase in risk taking.  "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,5,"Without insurance, deposits are inherently unstable and runs can occur. However, runs are also connected to asset valuation and risk management. Regulators have extensive tools with respect to both and can therefore prevent many runs.",Agree,5,"Given how many other U.S. had uninsured deposits and unrealized losses for HTM securities, not guaranteeing deposits could have set off a run at many other banks, which would have been difficult to contain. But doing also set a costly precedent.",Agree,5,The extent to which large uninsured depositors really monitor banks is unclear. In SVB's case they did not. Perhaps they didn't because they expected that they would be bailed out. They likely would pay more attention going forward if there had been haircuts in this case. 
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,7,,Uncertain,7,,Agree,9,
Pagano,Marco,Disagree,8,,Uncertain,8,,Agree,8,
Pastor,Lubos,Disagree,9,"They have applied some of those tools, such as extension of deposit insurance, already.",Uncertain,9,"I believe that regulators were uncertain about this, too, which is precisely why they stepped in. The risk of potential further bank runs warranted a response.",Disagree,9,"The guarantee bailed out depositors, not bank shareholders or managers. (SVB shareholders lost money, SVB managers their jobs.) The guarantee incentivizes depositors to be less careful about where to deposit cash, but it does not incentivize risk-taking by bank decision makers."
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,8,,Disagree,7,,Strongly Disagree,9,
Prendergast,Canice,Uncertain,5,,Agree,7,,Uncertain,7,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Agree,8,,Agree,8,,Disagree,8,
Reis,Ricardo,Agree,7,Should they deter them in all circumstances? ,Uncertain,8,"Very hard to asses, so I'm confidently uncertain.",Agree,7,"Yes, at the margin, removed further the threat of a run to discipline management, and made the call option on making a bank in a risky way more valuable. Whether quantitatively significant is harder to judge."
Repullo,Rafael,Disagree,8,"
Blanket deposit guarantees are such tools, but they have perverse effects ex-ante. Better to deter runs by tighter (and simpler) regulation and better supervision. ",Uncertain,8,,Uncertain,8,"The counterargument is that subsidizing deposits (via underpriced deposit insurance) increases banks’ charter values, which may lead them to be more prudent."
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Disagree,7,,Uncertain,8,As usual there is a trade off between short term and longer term consequences.,Strongly Agree,9,
Storesletten,Kjetil,Agree,7,"Short of guaranteeing all deposits, there will always be possibilities of runs. There is no legal framework for guaranteeing all deposits",Uncertain,5,,Strongly Agree,8,The moral hazard problem of banks' risk taking with deposits is obvious. We need a legal framework to prevent such risk taking and a non-taxpayer way to finance these guarantees
Sturm,Daniel,Agree,2,,Uncertain,4,,Agree,5,
Van der Ploeg,Rick,Disagree,6,"By demanding buffer holdings from commercial banks and having deposit insurance, runs might be avoided.",Agree,6,Not having deposit insurance would increase the chance of a bank run,Agree,6,"There is a moral hazard issue, which I hope to be less bad than the cure."
Van Reenen,John,Agree,7,,Disagree,6,,Agree,6,
Vickers,John,Uncertain,8,"They can reduce the probability of runs but not to zero, especially where there are underlying solvency doubts. ",Uncertain,8,"The full guarantee (and the generous Bank Term Funding Program) are very questionable unless such damage was in prospect.  So I am close to “agreeing”.  But SVB was hardly seen as systemic beforehand, and it’s not clear why the authorities did not stick to orthodox haircuts etc.",Agree,8,Unless policy responds robustly to strengthen regulation — notably by higher equity capital requirements — this will increase moral hazard
Voth,Hans-Joachim,Agree,6,,Uncertain,5,,Agree,5,
