Last Name,First Name,"Even if the mortality of COVID-19 proves to be limited (similar to the number of flu deaths in a regular season), it is likely to cause a major recession.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,The economic effects of COVID-19 coming from reduced spending will be larger than those coming from disruptions to supply chains and illness-related workforce reductions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,The economic policy institutions of the Eurozone are well equipped to ameliorate the potential economic damage from COVID-19.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Agree,8,"I’m not sure what “major” means. I interpreted it in terms of magnitude, which is likely to be large. But it may be quite short-lived.",Uncertain,8,Both will be at play. For some sectors (services) demand will be key; but supply disruptions will be serious in manufacturing.,Agree,8,
Bénassy-Quéré,Agnès,Agree,5,,Agree,5,,Disagree,10,
Blanchard,Olivier,Strongly Agree,9,,Agree,8,the main effect may come from the restrictions needed to contain the epidemic.   ,Disagree,9,"not without a change in fiscal attitudes and rules---which may come, under pressure"
Bloom,Nicholas,Strongly Agree,9,"Huge supply, demand and uncertainty shock. Vix is almost as 50.",Uncertain,6,,Strongly Disagree,10,
Blundell,Richard William,Uncertain,4,,Agree,4,,Uncertain,4,
Carletti,Elena,Agree,8,the contagion rate worries more than the mortality rate itself as it shuts down the whole economy to contain effect on the health system,Agree,7,,Uncertain,7,
Danthine,Jean-Pierre,Uncertain,4,"Two quarters of negative growth, yes; major recession: very uncertain, depends notably on policy reactions",Disagree,4,Again The demand side impact will depend much on the policy reactions,Disagree,6,Too much depend on limited willingness to increase common EU budget
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Agree,7,,Agree,6,,Agree,6,
Fehr,Ernst,Disagree,6,,Uncertain,6,,Disagree,8,
Freixas,Xavier,Strongly Agree,8,Contemporary Interconnectedness between industries and countries turns a gridlock in one industry  into a complete recession ,Uncertain,6,,Disagree,5,Lack of a unified approach makes it inefficient
Fuchs-Schündeln,Nicola,Uncertain,3,,Agree,3,,Uncertain,3,
Galí,Jordi,Strongly Agree,8,,Uncertain,5,,Disagree,8,
Giavazzi,Francesco,Strongly Agree,10,,Uncertain,10,,Disagree,5,
Griffith,Rachel,Uncertain,5,,Disagree,6,,Uncertain,1,
Guerrieri,Veronica,Agree,8,,Uncertain,8,,Uncertain,8,
Guiso,Luigi,Strongly Agree,10,To stop its spread it requires stopping economic activity altogether - a major supply shock ,Uncertain,4,,Disagree,7,Euroze budget is too small 
Honohan,Patrick,Agree,3,Even if death rate is low it will be because containment has been effective and that will adversely affect aggregate supply and demand.,Disagree,5,Not if sufficient countercyclical fiscal policies are put in place.,Disagree,7,Fiscal measures likely too slow
Javorcik,Beata,Disagree,4,,No Opinion,,,No Opinion,,
Kőszegi,Botond,Strongly Agree,4,,Strongly Agree,8,,No Opinion,,
Krahnen,Jan Pieter,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
La Ferrara,Eliana,Agree,3,,Uncertain,2,,Disagree,2,
Leuz,Christian,Agree,3,"The severity of the downturn likely differs by country, but in many countries the knock-on effects are already quite severe.",Agree,4,"Obviously hard to separate supply & demand, but question is essentially asking whether there is big multiplier from shock, my answer is yes.",Uncertain,2,EU's supranational structure allows ctrys to help each other. Unclear how effective EU is. ECB has little room. Fiscal response necessary.
Mayer,Thierry,Agree,4,,Uncertain,1,,Disagree,1,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,4,,Uncertain,1,,Agree,4,"A Draghi-style ""whatever it takes"" commitment can stabilize markets and avoid mass bank runs; but fiscal support would help a  lot"
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Strongly Agree,10,But the premise is wrong: its mortality is significantly larger than a regular flu!,Agree,8,At least initially. The supply effects are likely to kick in later on.,Strongly Disagree,9,"No, not at all. We would need a EU health authority to take over in this kind of EU-WIDE emergency situations!"
Pastor,Lubos,Agree,2,,Uncertain,2,,Disagree,2,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,8,,Uncertain,7,,Disagree,9,
Prendergast,Canice,Uncertain,6,,Uncertain,7,,Disagree,8,
Reichlin,Lucrezia,Strongly Agree,9,,Agree,8,,Strongly Disagree,10,
Repullo,Rafael,Agree,8,,Agree,8,,Uncertain,8,The main uncertainty is about the likelihod of a coordinated fiscal response. 
Rey,Hélène,Strongly Agree,9,Confinement measures. Confidence.,Agree,6,,Agree,7,
Schoar,Antoinette,Strongly Agree,8,,Agree,7,,Uncertain,5,
Sturm,Daniel,Agree,8,,Agree,7,,Agree,6,
Van Reenen,John,Uncertain,6,,Agree,7,,Disagree,6,
Vickers,John,Agree,6,,Uncertain,6,"Hard to disentangle supply and demand effects.  And beware financial consequences -- credit crunch, loan defaults, effects on insurers, etc.",Disagree,5,Lack of fiscal coordination.  And financial sector measures could have adverse fiscal consequences in some scenarios.
Voth,Hans-Joachim,Agree,7,short and sharp in the best of worlds; long and deep if there is a wave of bankruptcies,Uncertain,4,,Strongly Disagree,9,"Just like in 2007-8, Europe is out for lunch when it matters. The one viable actor in times of crisis is the nation state. "
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Strongly Agree,8,This is both a major supply and demand shock. It is hard to see any circumstances in which measured GDP does not decline significantly.,Uncertain,4,We don't know. Both elements will play a role.,Strongly Disagree,8,The absence of a common fiscal instrument (e.g. eurobonds) makes it difficult to have a large co-ordinated fiscal response.
Wyplosz,Charles,Uncertain,5,"What matters is the duration of the pandemic, not the number of causalties.",Agree,2,Although the latter is a function of the former.,Disagree,5,"Besides the ECB, which will play second fiddle, the really important actions will be at the national level, coordinated hopefully."
Zilibotti,Fabrizio,Strongly Agree,8,,Disagree,10,,Disagree,5,
