Last Name,First Name,"In pursuing social and environmental initiatives, the average public company generates more benefits than costs in terms of profits.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"In pursuing social and environmental initiatives, public companies would benefit from a measurably lower cost of capital.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"There are substantial social benefits when managers of public companies make choices that account for the impact of their decisions on customers, employees, and community members beyond the effects on shareholders.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,4,"Obviously it depends on what the firm is doing in each case. However, it is certainly possible that they can generate more benefits than the cost in profits.",Agree,5,"Yes, I agree with this. In the long run firms will need to a lower cost of capital to survive against competing firms that do not pursue environmental policies that are costly. ",Agree,5,"Markets are often very incomplete. If managers focus on other stakeholders in such cases, this can lead to large benefits. "
Antras,Pol,Uncertain,4,,Strongly Agree,6,Just about any company would!,Agree,7,
Bénassy-Quéré,Agnès,Agree,3,"The ""greenium"" is slightly positive. The problem is that green investment generates a return only over the long term, provided green policies are effectively deployed. Hence highly uncertain. ",Agree,6,,Agree,4,"The answer should be in the wording of the question: if firms are managed so as to maximize social welfare, then social welfare should be max. The problem is possible inefficiencies. For instance the fact that managers interact with unions that have a different utility function."
Blanchard,Olivier,Uncertain,5,"The financial rewards come from image improvement, more and more enthusiastic consumers.  This is likely to be marginal in most cases.   ",Disagree,7,"I am skeptical as to how many investors, especially the large ones will be willing to lend at lower rates. Again, likely to be a marginal effect",Agree,7,Usual distinction between social and private benefits
Blundell,Richard William,Uncertain,5,,Uncertain,5,,Agree,5,
Botticini,Maristella,Uncertain,5,,Agree,5,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,8,IN pure financial terms initiatives that are positive for the environment may be costly as long as externalities are not priced (e.g. carbon tax),Agree,8,with the agreed definition of measurably,Strongly Agree,8,
De Grauwe,Paul,Disagree,5,,Uncertain,4,,Agree,6,
Eeckhout,Jan,Uncertain,7,,Disagree,7,,Uncertain,7,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Disagree,6,,Agree,6,,No Opinion,,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Uncertain,2,,Uncertain,2,,Agree,5,
Griffith,Rachel,Strongly Agree,8,,Uncertain,3,,Strongly Agree,7,
Guerrieri,Veronica,Uncertain,4,,Agree,4,,Agree,4,
Guiso,Luigi,Agree,7,If they pursue soc resp is because is profitable,Agree,1,,Agree,7,
Guriev,Sergei,Disagree,7,,Uncertain,5,,Strongly Agree,8,
Honohan,Patrick,Uncertain,4,Too many cases of greenwashing these days to be confident of positive net effects. But much potential for many firms (and some historic successes) to improve ESG outcomes with positive (or minimally adverse) long term impact on profits.,Disagree,4,That would imply ESG investments underperforming.,Agree,4,"As phrased, the proposition excludes greenwashing and related behaviour."
Javorcik,Beata,Uncertain,1,,Agree,5,,Strongly Agree,7,
Kőszegi,Botond,Strongly Agree,8,,Agree,5,,Agree,6,
Krahnen,Jan Pieter,Uncertain,5,"It all depends upon customer response to firms' CSR activities. If customers value CSR activities more than the accompanying increase in production costs, then profits may rise. If they are indifferent as to CSR, they will not accept higher prices, and firm profits will fall. ",Disagree,7,"Equilibrium effects of preference-driven stock picking (i.e. selective portfolio composition) are likely to be small at best. Because different investors have different preferences, inducing arbitrage operations that, in equilibrium, equalize  risk adjusted cost of capital. ",Uncertain,5,"Taking strong decisions in favor of one group may or may not outweigh the indirect negative consequences (e.g. lower taxes) for other groups. This renders an ""net effect assessment"" difficult. "
