Last Name,First Name,Economic damage from the virus and lockdowns will ultimately fall disproportionately hard on low- and middle-income countries.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,A temporary standstill on sovereign debt payments by low- and middle-income countries to all official and private creditors to give those countries space to cover the immediate costs of the crisis would benefit advanced economies.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,"Export restrictions on food and medical supplies, and other protectionist measures, are likely to cost lives and slow economic recovery in all countries.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Very difficult to say on this one. The value of life in different countries appears to be large.  1.5 million people died of TB in 2018.,Uncertain,5,The world might be better off in terms of lives saved if we spent the money we solving TB (and others) that kill far more than COVID-19.,Uncertain,5,"I think it depends on the country. For many export restrictions wouldn't have much effect globally but for others they may, e.g. US, China."
Antras,Pol,Strongly Agree,6,"Their occupations are more likely to be hard-hit, and within occupations, they work for firms that are more likely to be in trouble.",Uncertain,6,"It may benefit some, but hurt other creditors. But it seems to be socially efficient thing to do, especially since it may entail no default ",Agree,9,"Unilateral policies may be beneficial, but no country is likely to benefit from a trade war (no country produces enough food AND drugs)"
Bénassy-Quéré,Agnès,Strongly Agree,8,,Agree,8,,Agree,5,"Yes, in countries as a whole, although maybe not (in the short run) in those countries imposing the restrictions."
Blanchard,Olivier,Strongly Agree,9,"They have to fight the virus, with a poor health system, low commodity prices, low remittances, capital outflows, and little fiscal space.  ",Agree,7,"it may well help AEs, by limiting the pandemic and the effects of defaults on the financial system.  But this is not the reason to do it...",Agree,7,perverse effects have been shown clearly by Chad Bown in particular. 
Bloom,Nicholas,Uncertain,10,,Disagree,7,,Strongly Agree,10,
Blundell,Richard William,Agree,5,,Agree,5,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,8,,Agree,8,,Strongly Agree,8,
De Grauwe,Paul,Uncertain,5,"Most African countries have not been hard hit by the pandemic, until now. This could change but remains very uncertain.",Agree,7,,Agree,7,
Eeckhout,Jan,Agree,7,,Agree,7,,Agree,7,
Fehr,Ernst,Agree,8,,Uncertain,5,,Agree,7,
Freixas,Xavier,Strongly Agree,7,,Agree,5,,Strongly Agree,6,
Fuchs-Schündeln,Nicola,Agree,5,,Strongly Agree,5,,Strongly Agree,5,
Galí,Jordi,Agree,6,,Agree,7,,Agree,6,
Giavazzi,Francesco,Disagree,8,the issue is also inequality in rich countries. There is plenty of money available there but it only flows to one part of the population,Uncertain,6,,Agree,8,
Griffith,Rachel,Agree,4,,Uncertain,1,,Strongly Agree,7,
Guerrieri,Veronica,Agree,8,,Agree,8,,Agree,8,
Guiso,Luigi,Uncertain,4,,Agree,5,,Strongly Agree,6,
Honohan,Patrick,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Javorcik,Beata,Agree,5,,Agree,8,,Strongly Agree,9,
Kőszegi,Botond,Agree,2,,No Opinion,,,Strongly Agree,9,
Krahnen,Jan Pieter,Agree,6,"One factor will be the degree of coordination of national rescue programs. The less coordinated, the worse. At EU level, and globally.",Disagree,5,"Would create all sorts of trouble, arbitrage opportunities, and a worsening of financing conditions without solving the debt overhang. ",Uncertain,4,All depends on allocation of production capacities and output inventories among countries at the moment when the restrictions are imposed.
La Ferrara,Eliana,Uncertain,3,,Agree,2,,Agree,3,
Leuz,Christian,Agree,3,"There is a lot of heterogeneity across ctrys, but health care syst weaker, high pop density, & less ability to work from home.",Uncertain,5,"It could benefit advanced ctrys too, but whether it would is uncertain in my mind; does not mean advanced economies shouldn't do it to help.",Strongly Agree,8,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,10,,Agree,8,,Strongly Agree,10,
Neary,Peter,Agree,4,Mismanagement in UK and US may mean high costs there too; but their economies are more resilient and their credit ratings higher than LDCs,Agree,4,"Widespread sovereign defaults are the likely alternative, which would reduce the pace of recovery from the pandemic globally",Agree,5,Morally repugnant in the current situation; but also economically unwise in an age of global supply chains
O'Rourke,Kevin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,7,,Agree,8,,Strongly Agree,9,
Pastor,Lubos,Uncertain,4,"Possibly true, but on the other hand many poor countries are in warm climates and their populations are much younger than ours.",Uncertain,4,,Agree,4,
Persson,Torsten,Agree,6,,Agree,3,,Strongly Agree,6,
Pissarides,Christopher,Strongly Agree,8,"Low income countries do not have the buffers that high-income countries have, like risk pooling",Strongly Agree,8,It depends who owns the debt but it is likely that those who will benefit from this in advanced countries (eg. producers) are more in need,Strongly Agree,10,Trivial give as much help to each other as possible
