Last Name,First Name,"The risks of harm from use of social media services - such as harm to mental health, exploitation of children, and more - are sufficient to justify regulations setting safety standards and creating a process of compensation for harm by digital platforms.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"To date, EU efforts to address harm from use of social media services - primarily the Digital Services Act - have been largely ineffective at protecting consumers.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,3,I haven't seen much research done on this.  Long term harm will probably take more time to assess.,Uncertain,3,Again I haven't seen much on this so am uncertain.
Antras,Pol,Uncertain,6,"It depends on the nature of regulation. No bans or access restrictions, but highlighting the health costs, much as is currently done with the consumption of tobacco",Agree,4,"I am not too familiar with the current legislation, but as a user of social media, there seems to be close to free access and little accountability on the part of platforms."
BÃ©nassy-QuÃ©rÃ©,AgnÃ¨s,No Opinion,,,No Opinion,,
Blanchard,Olivier,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Agree,5,,Uncertain,4,
Botticini,Maristella,Agree,9,,Uncertain,8,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Strongly Agree,8,,Agree,3,
De Grauwe,Paul,Strongly Agree,7,,Agree,7,
Eeckhout,Jan,Strongly Agree,9,,Agree,6,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-SchÃ¼ndeln,Nicola,Strongly Agree,5,,Agree,4,
GalÃ­,Jordi,Agree,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,5,,Agree,5,
Griffith,Rachel,Strongly Agree,7,,No Opinion,,
Guerrieri,Veronica,Agree,4,,Agree,4,
Guiso,Luigi,Uncertain,5,,Uncertain,5,
Guriev,Sergei,Agree,8,,Agree,5,
Honohan,Patrick,Agree,1,,Agree,1,
Javorcik,Beata,Strongly Agree,8,,Uncertain,1,
KÅ‘szegi,Botond,Strongly Agree,10,,Agree,5,
Krahnen,Jan Pieter,Agree,3,"Posts on social media shouldn't be treated any different from posts sent as a letter,  for example.",Uncertain,3,Don't know enough to make a judgement.
La Ferrara,Eliana,Strongly Agree,8,,Uncertain,3,
Leuz,Christian,Agree,3,"I am not a health expert, but there is mounting evidence of the risks and damages, including an advisory by U.S. Surgeon Generalâ€™s Advisory based on existing evidence. Based on this evidence regulation to address negative social externalities seems justified.",Uncertain,3,DSA is powerful instrument to address harm from social media & its negative externalities. But we lack evidence on effectiveness. Too early and much depends on the EU's willingness to enforce it. Early evidence on more accountability & fewer micro-targeted ads to teens
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Agree,9,
Pagano,Marco,Strongly Agree,8,,Uncertain,3,
Pastor,Lubos,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,7,,Agree,5,
Prendergast,Canice,Agree,7,,Uncertain,3,
Propper,Carol,Uncertain,5,,Agree,4,
Rasul,Imran,Strongly Agree,8,,Agree,8,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,3,,Uncertain,5,
Repullo,Rafael,Agree,2,,Agree,2,
Rey,HÃ©lÃ¨ne,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,6,I agree with the objective of protecting children on social media platforms. The issue is HOW protections are setup. Does it require the content to be policed?or  platforms are required to provide tools for parents to limit what a child can see? etc? this will need research,No Opinion,,
Storesletten,Kjetil,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Agree,6,,Uncertain,6,
Tenreyro,Silvana,Strongly Agree,10,,Strongly Agree,9,
Van der Ploeg,Rick,Agree,5,,Agree,5,
Vickers,John,Did Not Answer,,,Did Not Answer,,
Voth,Hans-Joachim,Uncertain,6,,Agree,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,3,Old media follow some useful rules. Similar rules are needed for the social media.,No Opinion,,
