Last Name,First Name,The ECB's asset purchases over the past two years have reduced the threat of deflation in the euro area as a whole.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If the economic outlook in the euro area becomes less favorable, then increasing the ECB's asset purchase program (in size or duration) would substantially increase the euro area's economic growth over the following five years.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Uncertain,6,It's difficult to know the effect of these asset purchases on consumer price inflation.,Disagree,5,It seems quite uncertain to me what the effect on growth of the asset purchases.  It will depend among other things on how they are unwound 
Antras,Pol,No Opinion,,,No Opinion,,
Bénassy-Quéré,Agnès,Agree,6,,Agree,5,The key issue is to maintain nominal interest rates below nominal growth during a certain period.
Baldwin,Richard,Did Not Answer,,,Did Not Answer,,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,9,"Hard to see how monetary expansion, in whatever form, would do nothing for activity or inflation.  Cannot think of strong perverse effects",Strongly Agree,9,one may disagree with ``strongly''.  but it would work in the right direction. 
Bloom,Nicholas,Uncertain,1,,Uncertain,1,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Strongly Agree,9,,Uncertain,9,the ECB program is not targeted directly to stimulate growth. It may help the economy recovering but it is not its main goal
Danthine,Jean-Pierre,Uncertain,1,I am skeptical that there was a real threat of deflation,Disagree,5,I am not convinced that simply more of the same (QE) would have a significant impact at this stage.  
De Grauwe,Paul,Strongly Agree,8,,Agree,6,
Eeckhout,Jan,Uncertain,6,,Uncertain,6,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Strongly Agree,9,,Disagree,7,"Economic activity can be helped by this type of measure in the short run, but not in the long run"
Fuchs-Schündeln,Nicola,Agree,6,,Uncertain,9,
Galí,Jordi,Agree,8,The evidence (e.g. Andrade et al. (2016)) points to reductions in risk premia as well as in expected future policy rates at announcement.,Uncertain,7,"It could help marginally by exploiting the same channels, though possibly with decreasing returns. But alternatives exist:  fiscal policy."
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Strongly Agree,7,Hard to distinguish between role of purchases and of negative rates (via the exchange rate channel). Both probably helped,Uncertain,7,purchases have achieved what they were supposed to. Unlikely they can do more--though in the case described they should not be removed
Griffith,Rachel,Uncertain,1,,Uncertain,1,
