Last Name,First Name,The high cost of electricity for industrial users in the European Union relative to other big economies is a substantial constraint on growth.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Problems with the intermittency of renewable energy sources mean that over the next five years, electricity prices are more likely to rise than fall.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Substantial European investment in electricity infrastructure is essential to address high prices and unreliable supply.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,4,"For manufacturing, it seems clear that high energy prices. Even with some services, the advent of high energy inputs such as AI means the same is becoming true.",Uncertain,4,This seems true some countries like Spain but not in others like France. It depends very much on the mix and what can be used as base load. So it could go either way. ,Agree,5,More expenditure on electricity infrastructure is definitely needed. An important issue is how to spend the money. Nuclear power could play an important role but the time horizon for that is probably more than five years. If the Chinese can bring costs down the wait may be best.
Antras,Pol,No Opinion,,,No Opinion,,,No Opinion,,
Bénassy-Quéré,Agnès,Agree,8,"One should not overestimate the impact of electricity prices, though. Except in a few sectors (chemicals, paper…), the share of energy costs is one order of magnitude less than that of the payroll.",Uncertain,1,"Depends on the initial share of renewables, which varies across countries.",Strongly Agree,10,
Blanchard,Olivier,Disagree,8,"constraint on growth? I do not see why.  Constraint on level?  Perhaps.  But countries differ in many ways, climate, energy resources, etc, and we do not think of this as a major issue.  ",Disagree,7,"again, problem with the logic.  Why would a second moment affect the first one?  Could be, but I need a story.  ",Agree,7,"Yes, the change in the sources of electricity imply a different geographic distribution system.  "
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Agree,7,,Uncertain,7,,Strongly Agree,9,
Carletti,Elena,Agree,5,,Uncertain,5,,Agree,5,
Danthine,Jean-Pierre,Strongly Agree,8,,Uncertain,8,,Strongly Agree,8,
De Grauwe,Paul,Agree,6,,Uncertain,5,,Agree,8,
Eeckhout,Jan,Uncertain,7,,Uncertain,7,,Uncertain,7,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,4,,Uncertain,8,I think we will see quite a bit of technological progress that can avoid these problems.,Agree,5,"Next to infrastructure, regulation is also a problem. The markets have to be organized more efficiently."
Galí,Jordi,Agree,6,,Uncertain,6,,Strongly Agree,6,
Garicano,Luis,Strongly Agree,7,,Disagree,6,"Average prices will drop as clean energy share increases.. We will also have huge spikes in Europe,, in places where back up power is scarce or interconnections insufficient (Germany, Spain if nukes close). So lower mean much higher variance.",Strongly Agree,8,"We really need to get the grid ready to connect all the solar and wind projects in the pipeline, and to smooth between -country demand and supply fluctuations, and we need to invest in storage solutions too."
Gorodnichenko,Yuriy,Agree,5,,Agree,5,,Strongly Agree,8,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Agree,6,,No Opinion,,,Agree,4,
Guiso,Luigi,Agree,7,,Disagree,7,,Agree,8,
Guriev,Sergei,Strongly Agree,8,,Agree,6,,Strongly Agree,9,
Honohan,Patrick,Uncertain,3,1. There’s quite a lot of variation between sectors as to the effect. 2. A proper carbon tax is needed to encourage economising on fossil fuels to ensure sustainable growth—and this consideration interacts with electricity prices in a complicated way.,No Opinion,,Role of marginal pricing in EU electricity market means that cost of renewables in influencing price paid to generators is limited.  Therefore not obvious that there would be a big effect.,Agree,7,The imperative for tackling climate change of increasing low emission electricity production makes the answer clear.
Javorcik,Beata,Agree,9,,Uncertain,3,,Strongly Agree,10,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"A high price of energy, if expected to stay high over a prolonged period of time, has two opposing effects on growth: it slows down growth, on the basis of existing productive capital, and it increases innovation that helps lowering the cost of energy.  ",Uncertain,5,"The intermittency of renewable energy will induce further innovation and investment into network architecture, including attempts to counter the cost of intermittencies, like building storages etc.  This investment might stabilize supply and prices alike, without increasing it. ",Agree,7,See my comments to the 2 previous questions.
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,1,High prices are a drag but uncertain if the effect on growth is substantial.,Uncertain,1,Addressing intermittency adds costs (if considered in isolation) but at the same time the costs of renewable energy have been on a downward trajectory. So not clear that costs will be higher.,Agree,1,
Mayer,Thierry,Agree,7,,Disagree,3,,Agree,2,
Meghir,Costas,Strongly Agree,9,,Uncertain,9,,Strongly Agree,9,
Pagano,Marco,Agree,3,,Disagree,3,,Strongly Agree,7,
Pastor,Lubos,Uncertain,6,,Disagree,6,Technology is moving fast. ,Agree,6,"The grid must be able to accommodate the intermittency of renewables, whose relative importance is growing.  "
Portes,Richard,Agree,6,,No Opinion,,,Agree,4,
Prendergast,Canice,Agree,3,,Uncertain,4,,Agree,5,
Propper,Carol,Strongly Agree,4,,Agree,4,,Agree,4,
Rasul,Imran,Agree,6,,Disagree,6,,Agree,7,
Reichlin,Lucrezia,Strongly Agree,8,,Agree,6,,Strongly Agree,7,
Reis,Ricardo,Agree,7,"Relative to the US, much of the gaps in IT sectors that are energy-intensive, and relieve to China, energy prices are as much as 5 times higher.",Disagree,6,"Intermittency leads to prices sometimes spiking but most of the time (and so on average) prices will be low with renewable sources that have low marginal cost of production. Also, renewables share rose in last 15 years and, if you take out taxes and Putin's invasion, prices fell.",Agree,8,"Infrastructure on expanding storage is important. But the most important is interconnection across national markets. This requires some investment but the main barrier is political, because protectionism prevents integration to protect national incumbents."
Repullo,Rafael,Agree,4,,Disagree,4,What is key is what will happen to the price of the marginal technologies that are required to operate when there is no wind or sun such as gas. ,Agree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Agree,4,,Disagree,8,,Agree,8,
Sturm,Daniel,Uncertain,4,,Disagree,4,,Agree,6,
Tenreyro,Silvana,Agree,3,,Uncertain,3,,Agree,4,
Van der Ploeg,Rick,Agree,7,,Agree,7,,Agree,7,
Vickers,John,Uncertain,4,Unclear that it affects growth rate even if it affects output level ,Uncertain,4,,Agree,4,
Voth,Hans-Joachim,Strongly Agree,8,,Agree,7,"not inevitable but given madcap preferences for renewables among politicians, probably unavoidable",Disagree,9,nuclear would be the answer; no new grid adaptations; pays for itself
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,8,"Sure, but this is what any effort at reducing climate change implies. Electricity is still partly brown.",Uncertain,3,,Agree,7,"Yes, and that's one reason electricity prices must rise. "
