Last Name,First Name,High tariffs imposed by the European Union on imports of Russian natural gas would be an effective measure to reduce the flow of revenues to Russia while limiting disruption to supplies to Europe.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,6,"This would reduce the money going to Russia, lessen the damage for European economies and potentially provide funds for rebuilding Ukraine."
Antras,Pol,Agree,6,"Given likely tariff incidence, is sounds like a good policy. But I am less sure supply won't be disrupted. In any case, a risk worth taking."
Blanchard,Olivier,Strongly Agree,8,"Russia might decide to sell elsewhere, but at a lower price (Ural discount).  May not decrease world supply much.  "
Bloom,Nicholas,Agree,6,
Blundell,Richard William,Agree,7,
Carletti,Elena,Uncertain,5,
Danthine,Jean-Pierre,Agree,5,
De Grauwe,Paul,Strongly Agree,8,
Eeckhout,Jan,Agree,8,
Fehr,Ernst,Uncertain,4,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,7,
Galí,Jordi,Agree,6,
Giavazzi,Francesco,Did Not Answer,,
Griffith,Rachel,Did Not Answer,,
Guerrieri,Veronica,Did Not Answer,,
Guiso,Luigi,Agree,6,for sure arms Russian effects on EU more uncertain but estimate suggest contained 
Guriev,Sergei,Strongly Agree,10,
Honohan,Patrick,Agree,1,"But the effectiveness depends on elasticities of substitution in the importing countries, on which there is a wide range of opinion."
Javorcik,Beata,Uncertain,1,Russia is likely to retaliate and cut off gas supplies to Europe.
Kőszegi,Botond,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,6,"This is a question of tariff incidence; demand for gas is currently price inelastic, revenues for the exporter may thus not fall at all."
La Ferrara,Eliana,Agree,4,
Leuz,Christian,Uncertain,2,Could send very important political&symbolic message. But economic effect hard to predict; depends on dm & sup elasticities and pricing mech
Mayer,Thierry,Did Not Answer,,
Meghir,Costas,Agree,9,
Pagano,Marco,Agree,6,
Pastor,Lubos,Uncertain,8,This would hurt EU countries unevenly. Within-EU solidarity would be necessary. Gas is hard to substitute in the short run. 
Persson,Torsten,Agree,6,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,8,
Prendergast,Canice,Agree,7,
Propper,Carol,No Opinion,,
Rasul,Imran,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,
Reis,Ricardo,Strongly Agree,7,
Repullo,Rafael,Agree,4,
Rey,Hélène,Did Not Answer,,
Schoar,Antoinette,Uncertain,7,
Storesletten,Kjetil,Agree,4,
Sturm,Daniel,Uncertain,4,It is unclear whether the tariffs would lead to substantial declines in Russian export prices over a relevant time horizon.
Van Reenen,John,Agree,7,
Vickers,John,Uncertain,3,
Voth,Hans-Joachim,Strongly Agree,8,
Whelan,Karl,Uncertain,5,"Unclear where the short-run incidence of this tarriff lies. With difficulties in sourcing alternative supplies, it may just raise EU prices."
Wyplosz,Charles,Strongly Agree,6,A no-brainer. 
Zilibotti,Fabrizio,Did Not Answer,,
