Last Name,First Name,"Subsidizing renewable energy sources is better than taxing fossil fuels, assuming the subsidy or tax would be set at levels that would reduce carbon emissions by an equivalent amount.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Germany’s solar-energy subsidies to date have produced net social benefits for Germany.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Solar-energy subsidies to date in Germany and other countries have produced net social benefits for the world.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Allen,Franklin,Agree,6,There seem to be strong learning by doing effects. Subsidies can help target these where these effects are largest.,Agree,6,The quicker we get up the learning curve for these technologies the better.,Agree,6,Not so clear solar-power is the best alternative for Germany. I am afraid I don't know enough about the technologies and Germany's climate.
Antras,Pol,Uncertain,1,,No Opinion,,,No Opinion,,
Bénassy-Quéré,Agnès,Disagree,7,"Subsidies need to be financed through taxing other tax bases, with new distortions. Better to stick with the polluter-payer principle.",Disagree,7,Quite inefficient policy. Coal plants are still alive. Cost passed on households.,Disagree,7,The problem is less solar-energy subsidies than the phasing out of nuclear power.
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Disagree,8,"First pass: Fight a distortion, don't create a second one.   ",Uncertain,3,,Uncertain,3,
Bloom,Nicholas,Disagree,3,,Uncertain,1,,Agree,2,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,No Opinion,,,No Opinion,,,No Opinion,,
Danthine,Jean-Pierre,Disagree,3,,Uncertain,4,,Disagree,3,
De Grauwe,Paul,Uncertain,5,,Agree,7,,Uncertain,6,
Eeckhout,Jan,Uncertain,8,,Uncertain,7,,Uncertain,7,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Disagree,7,,Disagree,8,,Disagree,7,
Galí,Jordi,No Opinion,,,No Opinion,,,No Opinion,,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Giavazzi,Francesco,Uncertain,3,,Uncertain,4,,Uncertain,3,
Griffith,Rachel,Agree,3,,Agree,3,,Agree,3,
Guerrieri,Veronica,Disagree,6,,No Opinion,,,No Opinion,,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Hellwig,Martin,Agree,6,Subsidizing renewable energy may induce innovation through learning by doing. Taxing carbon may just induce cross-border substitution.,Strongly Agree,10,We all feel so good about them!!! :-) A serious answer to the question is hardly possible.,Agree,8,China is exporting lots of solar panels!
Honohan,Patrick,Disagree,5,Better potential for double dividend.,Disagree,3,,Agree,3,
Kőszegi,Botond,Disagree,7,,Uncertain,9,,Agree,7,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,3,,Uncertain,4,,Uncertain,4,
Krusell,Per,Strongly Disagree,9,A tax is a more direct instrument for reducing emissions - the main goal - and R&D subsidies are at best an imperfect substitute.,Disagree,8,My understanding is that they have been very costly and not paid back for Germany.,Agree,5,"The R&D has had benefits and the point is that they are global, not German-specific. I have not seen any cost-benefit analysis though."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Disagree,5,CO2 tax better than either one; Subs require govmnt to pick energy source & hard to justify unless spur innovation w/ large spillovers.,Disagree,3,Wide range of estimates&benefits abroad; FiT&output sub often expensive; wind did better. Maybe offsetting benefits w/ energy independence,Uncertain,3,Subs spurred tech dev & adoption that w’d not have occurred as quickly; also evidence of tech spillovers but size unclear yet crucial to Q.
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Disagree,4,"Given revenue neutrality, choosing between the policies hinges on uncertainty (which renewables?) & on macro considerations: stimulus better",Uncertain,4,These policies are a global public good: clear net benefits for the world (emissions fall) but not necessarily for Germany,Strongly Agree,4,"Definitely positive, though clearly not necessarily very large relative to the scale of global emissions"
O'Rourke,Kevin,No Opinion,,,No Opinion,,,Agree,5,
Pagano,Marco,Uncertain,1,,Agree,3,,Agree,3,
Pastor,Lubos,Disagree,3,,Uncertain,3,,Agree,3,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Strongly Agree,9,Tax plus subsidy acts on two fronts,No Opinion,,I don't know enough about them to judge,Strongly Agree,9,They have reduced carbon emissions
Portes,Richard,Strongly Disagree,7,Budget constraint,Agree,6,Germany has fiscal space.,Agree,3,
Prendergast,Canice,Agree,6,,Agree,5,,Agree,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Disagree,6,,No Opinion,,,No Opinion,,
Rey,Hélène,Strongly Disagree,7,Pollution needs to be taxed. Governments need revenues.,Agree,6,German energy policy relies far too much on coal. Needs meaningful carbon price.,Agree,7,Positive externality of more solar energy adoption
Schoar,Antoinette,Uncertain,7,,Uncertain,7,,Uncertain,8,
Van Reenen,John,Disagree,5,Carbon taxes can be very effective in steering technical change & doesn't require so direction http://cep.lse.ac.uk/pubs/download/dp1178.pdf,Uncertain,5,,Agree,6,
Vickers,John,Strongly Disagree,4,Activities that generate negative externalities need direct discouragement,Uncertain,3,"They look a high-cost way to get the benefits, many of which are non-German.  Hard to judge the net effect.",Uncertain,3,"Again they look a high-cost way of doing it, even allowing for dynamic cost-reduction effects on solar power."
Voth,Hans-Joachim,Uncertain,5,,Uncertain,5,,Uncertain,5,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Disagree,4,"These are equivalent measures, except that the first one raises the tax burden while the second one reduces it ceteris paribus.",Disagree,5,,Agree,3,The rest of the world stands to benefit from less toxic emissions in Germany at German taxpayer's expense.
Zilibotti,Fabrizio,Disagree,8,,No Opinion,,,No Opinion,,
