Last Name,First Name,"Right now, the central focus of fiscal policy should be on temporary measures to provide protection and promote rapid economic recovery rather than trying to advance other objectives, such as reducing debt, tackling climate change or addressing inequality.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Cutting taxes on firms (or delaying tax collection) will allow more of them to survive and be more effective than public spending for triggering a rapid economic recovery.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,European recovery fund disbursements to crisis-hit countries should be primarily in the form of grants rather than loans.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,European recovery fund disbursements to crisis-hit countries should not be made on condition of commitments to reform by recipients.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,Drops in GDP in many countries are so large that we need to get back to close to where we were before we take on other tasks.,Uncertain,5,I think it depends on the levels of tax and the structure of the tax system.,Disagree,5,I think it should be a mixture of grants and loans. The system may be used going forward and grants may be transfers rather than insurance.,Uncertain,5,This is a difficult one.  Economic conditionalities or Rule of Law ones or both?  Good arguments both ways.
Antras,Pol,Agree,6,,Uncertain,1,"Maybe, as long as we still perceive to be a situation that won't be with us by the end of the year ",Disagree,1,,Uncertain,1,Surely depends on which reforms are put on the table
Blanchard,Olivier,Strongly Agree,9,Essential to focus on reducing bankruptcies and reducing unemployment.  Using the appropriate tools. ,Strongly Agree,9,"Helping viable but insolvent firms is a priority, essential for the short run, essential for the long run",Agree,9,"even if loans, mutualisation is useful.  grants, if allocated efficiently across countries, would be even better",Strongly Agree,8,
Bloom,Nicholas,Uncertain,8,"We are entering the medium run of the COVID pandemic and so should also start of focus on inequality, climate change and eventually debt.",Uncertain,8,There is no strong evidence on this so I am unsure. Plus the question is too vague as depends taxes and types of spending.,Disagree,5,,Disagree,7,
Blundell,Richard William,Agree,5,,Uncertain,5,,Agree,5,,No Opinion,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Strongly Agree,8,,Disagree,6,Insuring the survival of viable firms is essential but there are better options than permanent tax cuts,Agree,5,,Disagree,6,Conditioning on minimal commitments to reform when relevant is reasonable before engaging substantial financial support
De Grauwe,Paul,Agree,6,Without quick responses much permanent economic damage will be done preventing recovery and making achieving other objectives more difficult,Disagree,7,,Agree,7,,Agree,6,
Eeckhout,Jan,Uncertain,6,,Uncertain,6,,Disagree,6,,Disagree,8,
Fehr,Ernst,Strongly Agree,9,,Agree,7,,Uncertain,3,,Agree,8,
