Last Name,First Name,The likely need for increased European public investment in defense should come with substantial reallocations of public budgets at the national and EU levels.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Greater use of joint EU-level procurement of military equipment and defense research/innovation would promote substantially enhanced capacity in Europe's defense industry.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Increased defense spending would deliver a measurable boost to economic growth in Europe over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,3,My view is that defence spending needs to increase substantially to somewhere between 3-4% of GDP. In most EU Nato countries and the UK this is a substantial amount. Doing it by reallocating won't work in most so some of both is required but primarily broad based tax increases.  ,Agree,5,There are many increasing returns to scale in defence industries. So more collaboration would be helpful. Diversification in terms of weapons systems is also a good idea since they don't all work equally well. So a trade-off is desirable.,Agree,4,"Depending on the nature of the increase, it may do."
Antras,Pol,Agree,4,,Agree,4,,Uncertain,4,All this stuff is super far from my expertise.
Bénassy-Quéré,Agnès,Strongly Agree,10,"A reallocation from current spending to Investment is needed in several countries, although some could borrow more.",Strongly Agree,8,Conditional on efficient allocation process.,Uncertain,7,Multiplier of investment is higher than that of current spending.
Blanchard,Olivier,Agree,8,evidence of substantial duplication,Agree,7,,Uncertain,7,depends how it is financed...
Blundell,Richard William,Uncertain,4,,Agree,4,,Disagree,4,
Botticini,Maristella,Agree,8,,Strongly Agree,8,,Uncertain,8,
Carletti,Elena,Uncertain,3,,Agree,3,,Uncertain,3,
Danthine,Jean-Pierre,Agree,1,,Agree,1,,Uncertain,1,
De Grauwe,Paul,Agree,6,,Agree,7,,Uncertain,5,
Eeckhout,Jan,Agree,6,,Agree,9,,Uncertain,5,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,8,,Agree,8,,Uncertain,4,
Galí,Jordi,Agree,6,,Agree,6,,Agree,6,
Garicano,Luis,Strongly Agree,10,There is no free lunch: guns or butter.,Strongly Agree,10,"Economies of scale and specialization are crucial. We already spend more than Russia, only together we can make it count.",Uncertain,1,There is going to be certainly a lot of idle capacity in industry. But whether 1% (max) extra) GDP on defense will meaningfully affect growth is unclear. I believe the constraints to growth are others (notably energy).
Gorodnichenko,Yuriy,Strongly Agree,9,,Strongly Agree,9,,Strongly Agree,9,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Strongly Agree,9,,Strongly Agree,9,,Agree,9,
Guiso,Luigi,Agree,6,,Agree,7,,Uncertain,7,
Guriev,Sergei,Agree,7,,Agree,7,,Uncertain,5,
Honohan,Patrick,Uncertain,5,Some countries have more fiscal space than others,No Opinion,,,Uncertain,5,"If associated with deficit spending, probably yes"
Javorcik,Beata,Agree,3,,Strongly Agree,5,,Agree,3,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,5,"An increase in defense spending to 3 or 4 percent of GDP cannot be achieved by simply creating a one-time special purpose fund, or by increasing debt. Unless taxes are raised which is unlikely, given the high taxation level in most EU countries,  budget rebalancing is necessary.",Agree,3,"Increased spending does not automatically lead to increased investment in the relevant industries, because procurement may happen in the international market, particularly the US.",Uncertain,5,"It all depends on where procurement will take place, and thus where the defense industry will grow - in the EU, or abroad."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,2,At least in the medium to long run budgets need to be adjusted to the new realities ,Uncertain,1,,Uncertain,3,Possible but depends on whether the increase is funded with debt or cuts elsewhere. 
Mayer,Thierry,Strongly Agree,7,,Strongly Agree,8,,Uncertain,5,
Meghir,Costas,Agree,9,,Strongly Agree,9,,Agree,9,
Pagano,Marco,Agree,5,,Uncertain,5,,Uncertain,5,
Pastor,Lubos,No Opinion,,,Agree,3,,Agree,3,
Portes,Richard,Agree,5,Cut CAP!,Strongly Agree,5,,Agree,7,
Prendergast,Canice,Agree,6,,Agree,5,,Uncertain,5,
Propper,Carol,Agree,4,,Agree,4,,Uncertain,4,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Strongly Agree,8,,Agree,8,,Agree,8,
Reis,Ricardo,Agree,7,There is a budget constraint.,Uncertain,5,"By itself, demand does not create its own supply in an economy open to trade.",Uncertain,6,"It depends on what that defense spending is on. If, for instance (but sadly not hypothetically), if defense spending means spending on pensions of retired personal, then no."
Repullo,Rafael,Agree,4,,Agree,4,,Uncertain,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,8,,Uncertain,8,A lot  depends on whether the EU  can keep the corruption down in how contracts are awarded. ,Uncertain,6,
Storesletten,Kjetil,Agree,5,,Agree,4,,Uncertain,5,
Sturm,Daniel,Agree,5,,Agree,5,,Agree,5,
