Last Name,First Name,"Greater integration of national markets for financial services, energy and telecommunications would give a measurable boost to Europe’s GDP over the next ten years.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The potential benefits for GDP from loosening European merger rules to allow greater consolidation within the single market would outweigh the potential harm to consumers from weaker competition.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,Financial services would benefit from being more competitive in Europe. Spreads and commissions are in general much higher than the US.,Uncertain,5,This seems to be one that should be done on a case-by-case basis rather than overall.
Antras,Pol,Agree,6,,Uncertain,6,
Bénassy-Quéré,Agnès,Strongly Agree,10,,Uncertain,1,
Blanchard,Olivier,Uncertain,5,"These are fairly integrated markets already.  It can be improved, but I would not expect miracles.",Uncertain,5,can only be assessed case by case.  
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Agree,8,,Uncertain,8,
Carletti,Elena,Agree,6,,Uncertain,5,
Danthine,Jean-Pierre,Agree,7,,Agree,5,
De Grauwe,Paul,Uncertain,5,,Uncertain,4,
Eeckhout,Jan,Agree,6,,Strongly Disagree,8,
Freixas,Xavier,Strongly Agree,10,,Uncertain,10,
Fuchs-Schündeln,Nicola,Strongly Agree,5,,Agree,4,
Galí,Jordi,Agree,6,,Agree,6,
Garicano,Luis,Strongly Agree,8,"Energy market fragmentation will be increasingly costly given the seasonality of energy markets.  Financial market integration will avoid the risks of doom loops, plus increased scale will increase financing for innovative ventures (which now are prone to leave for US).",Disagree,6,I don't see any reason to losen merger rules. They are fine and adequately only concern mergers with a significant impact on the EU market.
Gorodnichenko,Yuriy,Strongly Agree,7,,Uncertain,2,
Griffith,Rachel,Strongly Agree,9,,Disagree,6,
Guerrieri,Veronica,Agree,8,,Uncertain,8,
Guiso,Luigi,Strongly Agree,7,,Uncertain,5,
Guriev,Sergei,Strongly Agree,8,,Uncertain,5,
Honohan,Patrick,Agree,5,,Disagree,3,
Javorcik,Beata,Agree,7,,Uncertain,1,
Kőszegi,Botond,Agree,8,,Disagree,6,
Krahnen,Jan Pieter,Agree,7,"First order effect expected - iff (!) steps towards integration solve EU's sovereignty dilemma: decentralized supervision introduces biases in rule implementation, undermining trust by investors. Take Germany's Wirecard as an extreme example of national bias. ",Uncertain,6,"While understanding the argument in the question posed, I am uncertain about the consequences. The net effect may be industry-dependent. E.g., European mergers in banking would actually increase competition, because they would open up otherwise largely closed national markets. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,3,The evidence of M&A activity on economic growth is fairly mixed. ,Uncertain,6,Very difficult if not impossible welfare comparison. But if growth effects are weak benefits are unlikely to outweigh the harm. Also not clear that there is single market in the EU for many products and services
Mayer,Thierry,Strongly Agree,9,,Disagree,6,
Meghir,Costas,Uncertain,9,,Uncertain,7,
Pagano,Marco,Agree,7,,Uncertain,6,
Pastor,Lubos,Agree,5,,Uncertain,4,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,10,"The Letta report just out makes this clear, and the forthcoming Draghi report will back it up. So does Monti's new book.",Strongly Agree,10,"Even before the EU could transform into a federation, it must behave as a true Single Market. Individual country markets are too small, and the EU market would be sufficiently large to accommodate big cross-border players without excessive market dominance."
Prendergast,Canice,Agree,3,,Disagree,3,
Propper,Carol,Strongly Agree,5,,Uncertain,4,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Strongly Agree,10,,Agree,8,
Reis,Ricardo,Agree,4,European companies seem to suffer from an under-scaling disadvantage in today's digital economy.,Strongly Disagree,7,"Weaker competition is, too often, much weaker competition. This is the new mercantilism in that, again, it comes from focussing on producer surplus and neglecting consumer surplus."
Repullo,Rafael,Agree,8,,Disagree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,7,I agree in principle but it will depend on the quality of regulation which need considerable improvement in many European countries.,Agree,7,Here again the benefits will depend on the implementation. Several European countries restrict M&A activity to prevent efficiency enhancing consolidations to protect national champion firms.  
Storesletten,Kjetil,Agree,8,,Disagree,7,"While there are some industries where increased consolidation might be beneficial, a weakening of antitrust regulation would apply across the board. Result: increased market power with minimal productivity gains"
Sturm,Daniel,Strongly Agree,6,,Uncertain,3,
Tenreyro,Silvana,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Agree,6,,Uncertain,6,
Van Reenen,John,Agree,8,,Disagree,7,
Vickers,John,Agree,6,,Strongly Disagree,9,Anti-competitive mergers are bad for consumers and not good for GDP. 
Voth,Hans-Joachim,Disagree,7,"where markets are not integrated, regulation has to be harmonized; I have little trust the EU will do a good job with that",Disagree,8,concentration has been a disaster for US consumers; this is not desirable
Whelan,Karl,Uncertain,5,"There may be some productivity boosts, particularly from greater integration of financial markets but in energy and telecommunications, this process could create  a set of large firms that do not compete much on prices.",Disagree,5,This is not really my area of expertise but I think the strong implementation of competition law by the European Commission is one of the strengths of the single market.
Wyplosz,Charles,Strongly Agree,1,,Disagree,2,
