Last Name,First Name,Fiscal rules on budget deficits and public debt levels are an essential part of a sound fiscal framework.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Since the inception of the Stability and Growth Pact, budget deficits in Europe have been measurably lower, on average, than would have been the case without common budget rules.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"Since the inception of the Stability and Growth Pact, the path of GDP growth in Europe has been measurably more stable than would have been the case without common budget rules.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Antras,Pol,Strongly Agree,7,,Agree,7,',Agree,5,
Bénassy-Quéré,Agnès,Agree,8,"Allows to anchor expectations, especially since fiscal adjustment takes time.",Agree,8,"SGP has been instrumental in smaller economies, but also had some impact in larger ones, cf evidence of a magnet effect.",Disagree,4,"SGP has not been binding in good times. Not binding in big crises due to escape clause, but still fiscal adjustment was largely pro cyclical. Not only the fault of SGP though."
Blanchard,Olivier,Agree,8,"I have a semantic issue with ""rules"".  These could be, as I have argued, the use of a debt sustainability analysis, or institutional arrangements, not necessarily a set of hard numbers
",Agree,7,,Disagree,8,Plenty of procyclical policy as a result of bad rules. 
Bloom,Nicholas,Uncertain,8,You can have a sound fiscal system without rules - for example many countries did post-war,Uncertain,8,That is a hard causal question to answer - typically national spending is driven by domestic policies and politics rather than EU fiscal rules.,Disagree,10,"This is I think impossible to claim. Firstly, rules constrain countercyclical policy so the reverse is likely true. Secondly, it's a causal statement which is almost imopssile to show in macro. Finally, ""measurable"" changes in volatility are hard because of low signal:noise ratio"
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Agree,8,,Agree,8,,Uncertain,8,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Disagree,7,Much depends of the nature of these rules. Numerical rules are stupid ,Uncertain,5,,Uncertain,6,
Eeckhout,Jan,Agree,7,,Uncertain,7,,Uncertain,7,
Fehr,Ernst,Agree,7,,Agree,8,,Uncertain,1,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,6,It is essential that the rules leave room for investment. The difficult question is of course how to implement this.,Agree,9,,Uncertain,4,
Galí,Jordi,Uncertain,7,it depends on the details of the rule. Certain rules may be destabilizing (e.g. balanced budget) ,Uncertain,7,We don't have a counterfactual,Uncertain,7,We don't have a counterfactual. They did not prevent the debt crises and consequent recession. And they may have deepened the Great Recession
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Disagree,5,,Disagree,5,,Disagree,5,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Strongly Agree,10,,Agree,10,,Uncertain,10,
Guiso,Luigi,Agree,4,,Strongly Agree,5,,Uncertain,7,
Guriev,Sergei,Agree,7,,Agree,8,,Uncertain,1,
Honohan,Patrick,Disagree,8,"Simple rules are too inflexible and therefore not credible,  Complex rules have little traction.",Uncertain,6,May have had some effect in some countries as the price of euro entry; but manipulation also occurred.,Disagree,1,
Javorcik,Beata,Agree,7,,Agree,5,,Agree,5,
Kőszegi,Botond,No Opinion,,,No Opinion,,,No Opinion,,
Krahnen,Jan Pieter,Uncertain,6,"Fiscal rules are not necessarily essential - namely if there is credible mechanism to restructure sovereign debt. If that were the case, market discipline alone would help to keep debt at a sustainable level. ",Uncertain,5,"I haven't seen the counterfactuals, but I could imagine that SGP has had some impact on debt levels.",Uncertain,4,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,3,,Agree,2,,Uncertain,2,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pagano,Marco,Agree,5,,Agree,5,,Uncertain,4,
Pastor,Lubos,Strongly Agree,7,,Uncertain,7,,Uncertain,7,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Disagree,5,,Uncertain,5,,Disagree,6,
Prendergast,Canice,Agree,7,,Agree,7,,Agree,7,
Propper,Carol,No Opinion,,,No Opinion,,,No Opinion,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Disagree,9,,Disagree,9,,Disagree,9,
Reis,Ricardo,Disagree,6,,Agree,8,,Uncertain,6,
Repullo,Rafael,Strongly Agree,6,,Agree,6,,Uncertain,6,The faulty design and implementation of the common budget rules is to blame. 
Rey,Hélène,Disagree,9,The path of debt levels and/or nominal expenditure rules more appropriate than deficit rules,Uncertain,9,depends on the country,Strongly Disagree,9,Austerity post 2008 caused volatility
Schoar,Antoinette,Agree,7,,Uncertain,1,,No Opinion,,
Storesletten,Kjetil,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Sturm,Daniel,Agree,6,,Uncertain,4,,Agree,5,
Van der Ploeg,Rick,Strongly Agree,8,Without it the temptation of spending ministers to spend too much is just to great. Especially in coalition systems one needs strong rules to keep good discipline.,Agree,6,"However, in times of crises, starting with Germany, countries have been quite happy to not abide by the rules.",Uncertain,6,
Van Reenen,John,Agree,6,,Uncertain,5,,Uncertain,4,
Vickers,John,Agree,5,,Agree,4,,Uncertain,4,
Voth,Hans-Joachim,Uncertain,5,,Disagree,7,,Disagree,6,
Whelan,Karl,Disagree,10,"The world is complex and simple rules rarely capture this complexity well enough to play an important role in defining good policy. Good fiscal policy is counter-cyclical, but even measuring the cycle requires a lot of judgement rather than rules.",Uncertain,5,A difficult question. The rules were blatantly disregarded by countries like France and Germany in the euro's early years. And much of the austerity required during the crisis was required to regain market access rather than to satisfy rules. ,Disagree,5,I'm not sure the fiscal rules have contributed greatly to economic stability. 
Wyplosz,Charles,Strongly Agree,10,Very few are the governments that feel bound by the budget constraint,Disagree,10,"Counterfactuals can't be proven! In comparison with other advanced countries, generally the European countries have not done better-",Disagree,10,"Another counterfactual that is asserted, not proven."
