Last Name,First Name,A constitutional rule that limits the size of budget deficits that governments can run as a share of GDP is an effective way to impose discipline on a country’s public finances.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Germany’s debt brake is a substantial constraint on vital public investment in physical/digital infrastructure and the green transition.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,"It's a difficult question with arguments both ways.  In favor, it does seem to have the effect of reducing expenditure in Switzerland although it's unclear what the counterfactual is there.  In Germany, it seems to have lead to poor expenditure decisions, particularly investment.",Agree,5,This seems to be the case. They are falling behind in these critical areas because of these constraints.
Antras,Pol,Agree,6,But that’s only one of the objectives governments should have.,Uncertain,1,
Bénassy-Quéré,Agnès,Strongly Agree,10,,Strongly Agree,10,
Blanchard,Olivier,Agree,9,"If the rule is espected, it does indeed impose fiscal discipline.  At the potential cost of the potential loss of fiscal policy as a tool for macro stabilisation.  ",Strongly Agree,9,"There is a trade off between debt reduction and public investment, be it defense or green spending.  The debt brake may well force choosing the wrong point on the trade off curve.  "
Bloom,Nicholas,Agree,5,,Uncertain,4,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,6,,Uncertain,6,
Carletti,Elena,Uncertain,7,,Agree,7,
Danthine,Jean-Pierre,Agree,7,,Agree,7,
De Grauwe,Paul,Disagree,7,,Strongly Agree,8,
Eeckhout,Jan,Uncertain,6,"The limit will be renegotiated in an emergency (war, natural disaster,...). And when it is binding, the success/failure depends crucially on other institutional details, such as the ability of small groups to hold up the workings of the government and threats to shut down",Uncertain,6,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Strongly Agree,10,,Strongly Agree,10,
Fuchs-Schündeln,Nicola,Agree,9,"It is definitely effective (at least to some degree), but the question is whether it is the best way to achieve discipline.",Agree,6,
Galí,Jordi,Agree,7,,No Opinion,,
Garicano,Luis,Agree,6,,Disagree,6,Investments do not need to be finances with debt
Gorodnichenko,Yuriy,Strongly Disagree,9,,Agree,8,
Griffith,Rachel,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,6,,Agree,7,
Guriev,Sergei,Uncertain,5,,Agree,8,
Honohan,Patrick,Disagree,8,Inflexible constitutional rules have drawbacks that are worse than those associated with leaving thee matters to government.,Agree,6,
Javorcik,Beata,Agree,8,,Agree,7,
Kőszegi,Botond,Agree,1,,Agree,3,
Krahnen,Jan Pieter,Agree,6,"The constitutional debt brake certainly imposes discipline, and it imposes pressure on non-investment spending. It does, by the way, not necessarily limit investment iff infrastructure investment is financed via private co-financing - typically requiring user fees to be imposed. ",Agree,6,"Despite my earlier argument, namely that the debt brake can be ""loosened"" via PPP programs, the political reality in Germany clearly has little tolerance for user fees, and therefore the debt brake also cuts into public spending, moistly on investment - unfortunately. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,3,,Agree,3,"It is substantial constraint for two reasons. For one, large other spending. The purpose of debt brake is to force politicians to make tradeoffs. Second, the brake makes no distinction between consumption and investment. It could make sense to treat (some) investment differently."
Mayer,Thierry,Agree,7,,Agree,7,
Meghir,Costas,Disagree,9,,Agree,9,
Pagano,Marco,Disagree,7,"As the German case itself shows, it can be circumvented. Rightly so, because it is a stupid rule.",Agree,7,
Pastor,Lubos,Agree,8,"Effective, yes. Desirable? Unclear. ",Strongly Agree,8,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Disagree,9,It is ineffective insofar as it motivates various efforts to avoid it.,Strongly Agree,10,
Prendergast,Canice,Agree,7,,Uncertain,4,
Propper,Carol,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Disagree,9,,Agree,9,
Reis,Ricardo,Disagree,7,"One number for the deficit will rarely be optimal. And, within the set of sub-optimal second-best rules, there seem to be better alternatives.",No Opinion,,
Repullo,Rafael,Uncertain,6,,Disagree,6,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,6,,Uncertain,6,
Storesletten,Kjetil,Agree,5,,Disagree,7,
Sturm,Daniel,Agree,4,,Uncertain,5,
Tenreyro,Silvana,Agree,2,,Agree,2,
Van der Ploeg,Rick,Agree,8,"Due to common pool problem and sometimes weak ministers of finance, it is helpful to have such a rule provided it allows leeway for productive government investments (""golden rule"").",Agree,7,A debt brake indeed carries the danger that it crowd out productive public investments (as has been the case with the Maastricht criteria).
Van Reenen,John,Strongly Disagree,8,(i) Need to take into account asset side as well as debt (so net worth target important); (ii) overly-constrains government responses to negative shocks  ,Strongly Agree,10,
Vickers,John,Uncertain,4,"Effective at what?  At pure discipline, probably yes.  In economic terms not unless well designed with respect to cyclical and investment issues. ",Agree,5,Especially after November’s Constitutional Court ruling
Voth,Hans-Joachim,Agree,8,"""effective"" = yes. Wise? More doubtful.",Strongly Disagree,8,Low investment reflect political economy considerations; there will never be enough revenue to repair roads and schools and invest in digital infrastructure under the current government. All funds will be diverted to green + social spending.
Whelan,Karl,Strongly Disagree,10,"I don't think this kind of rule is necessarily effective. It encourages accounting gimmicks whereby certain types of spending appears ""off balance sheet"". It also has now basis in economy theory as a useful policy rule.",Agree,5,"Climate investment has to be financed whether via debt or taxes. Just because Germany can't borrow more to finance it, doesn't mean it can't be done. But Germany currently has a sustainable debt level, so debt is one way it could be financed and this places restrictions on that."
Wyplosz,Charles,Strongly Agree,10,Most governments succumb to temptation unless strongly constrained. This is a straightforward implication of time inconsistency. ,Strongly Disagree,10,"If public investment is really vital, it is possible to cut other spending or raise taxes. The budget constraint is not an option."
