Last Name,First Name,"Following the UK election result, the certainty that the country is going to leave the European Union will provide a substantial short-term boost to the UK economy.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"Given that the transition period currently expires at the end of 2020, there is still a considerable risk that the UK will leave the European Union without a trade agreement.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Leaving the European Union without a trade agreement would have a large negative impact on the UK economy.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,Investment has been low since the Brexit vote. Now there is more clarity after the election it should increase.,Agree,6,The law outlawing extension appears to be a negotiating strategy. There is a risk that they don't the deal.,Disagree,5,I think there is likely to be a negative short term effect but in the medium and long term it is not clear what will happen.
Antras,Pol,Uncertain,6,"Decline in uncertainty will be good for the economy, but there may be other transitional costs",Uncertain,6,"This question is about politics, not economics. Judging from what Johnson said today (12/17), there will be a deal. But what do I know?!",Agree,7,Almost certainly would generate uncertainty and increase other transitional costs
Bénassy-Quéré,Agnès,Uncertain,1,More certainty on higher transaction costs: net effect is unclear.,Disagree,4,There will likely be an agreement; the problem is its content.,Agree,10,
Besley,Timothy J.,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Uncertain,8,Two effects. The certainty of Brexit: bad. The removal of the uncertainty and option value: good.  (+ election of a tory: good for business),Agree,8,,Agree,8,"likely adverse, size uncertain, and showing up slowly over time"
Bloom,Nicholas,Disagree,9,,Strongly Agree,8,,Strongly Agree,10,
Blundell,Richard William,Disagree,6,,Agree,6,,Strongly Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Uncertain,3,,Agree,5,,Strongly Agree,7,
De Grauwe,Paul,Disagree,7,The uncertainty about the trade deal will remain dampening optimism,Agree,7,,Agree,6,
Eeckhout,Jan,Uncertain,6,,Agree,7,,Agree,8,
Fehr,Ernst,Disagree,8,,Agree,8,,Agree,4,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Disagree,4,,Uncertain,4,,Agree,7,
Galí,Jordi,Uncertain,9,,Agree,5,,Uncertain,6,
Giavazzi,Francesco,Agree,8,,Strongly Agree,10,"the difficulty will arise from the incompatibility between free trade US-UK, barriers US-EU and relatively open borders UK-EU. ",Uncertain,8,
Griffith,Rachel,Disagree,8,,Agree,8,,Strongly Agree,9,
Guerrieri,Veronica,Disagree,6,,No Opinion,,,Agree,6,
Guiso,Luigi,Agree,6,,Uncertain,6,,Strongly Agree,8,
Honohan,Patrick,Disagree,7,"Reduction in risk of no-deal exit helps, but reduced chance of remain does not.",Disagree,7,"Probability of no deal is still not zero, but is greatly reduced.",Agree,5,This is why no deal is now unlikely
Javorcik,Beata,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kőszegi,Botond,No Opinion,,,Agree,8,,No Opinion,,
Kleven,Henrik,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,6,"The demise of the ""fork"" (in versus out) reduces ambiguity greatly, allowing longer term planning once again. ",Disagree,6,"I don't thing that the EU on the other side of the table will play hard ball - they will rather give in, allowing for a trade arrangement.",Uncertain,5,This is too complicated a case to think it through properly now.
La Ferrara,Eliana,Uncertain,2,,Agree,2,,Strongly Agree,2,
Leuz,Christian,Agree,4,"Uncertainty resolution is positive, but it made Brexit near certainty. So bump might not be large. Still huge uncertainty about trade deal.",Agree,5,Especially if BJ introduces bill that prevents extension beyond 2020.,Agree,4,"BoJo aims for Canada-style FTA w/o alignment, so services not covered. Thus, even w/ such trade agreement likely negative impact from Brexit"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Disagree,8,"This could happen if confidence improves, but exchange rate fluctuations in the first post-election week suggest markets are unconvinced",Agree,8,UK policy seems focused on committing to leave hoping to get a better deal as a result. Unlikely to happen; EU has stronger bargaining power,Strongly Agree,1,All professionally-respected studies show that barriers with EU will impose economic costs for which no other trade agreement can compensate
O'Rourke,Kevin,Disagree,5,There is still going to be uncertainty about whether or not there will be a trade deal. So any effect would be small.,Strongly Agree,10,,Agree,7,
Pagano,Marco,Uncertain,7,,Agree,5,,Strongly Agree,9,
Pastor,Lubos,Uncertain,8,,Agree,5,,Agree,5,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
