Last Name,First Name,Firms’ incentives to reduce costs by sourcing inputs and products abroad have caused many European industries to become more vulnerable to supply chain disruptions.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Private firms have inadequate incentives to make investments to reduce the risk that disruptions in the supply of imports will cause shortages and raise domestic prices.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Prioritisation of efficiency over resilience in global supply chains makes current disruptions likely to continue beyond 2022.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,5,Difficult to know the extent to which current disruptions could have been anticipated and what difference that would have made.,Uncertain,5,"I am not exactly sure what ""inadequate incentives"" refers to. Is this about externalities or other market failures or what?",Agree,5,"Resilience should probably be part of efficiency. Either way problems are likely to persist, particularly if Russia invades Ukraine."
Antras,Pol,Uncertain,6,There has also been a lot of domestic fragmentation. Domestic chains (like toilet paper or meat in the US) have also been disrupted by COVID,Uncertain,5,"You can make the case for certain external effects, but they are not always theoretically compelling, and there is little evidence for them.",Disagree,6,"Things ran quite smoothly up to 2020. COVID has been the mother of all supply chain shocks. If the pandemic subsides,so will the disruptions"
Bandiera,Oriana,Uncertain,5,,Agree,7,,Uncertain,5,
Blanchard,Olivier,Agree,7,,Uncertain,7,"No strong externalities. One problem is that many have inconsistent plan Bs: relying on the same supplier, if something happens. ",Uncertain,7,Who says they are prioritizing efficiency over resilience? 
Bloom,Nicholas,Agree,7,"Probably, but from British experience supply chain crisis can also be domestic, so that international supply helps to resolve these.",Disagree,8,"Inventory control is all about this - hold more inventory at a cost, but buffer supply shock.  Firms can manage this.",Disagree,8,"The Lean dilemma: just-in-time improves efficiency but reduces resiliency. There is a trade-off, and firms will try to maximize efficiency. "
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,5,,Agree,3,,Uncertain,3,
De Grauwe,Paul,Agree,8,,Agree,6,,Agree,7,
Eeckhout,Jan,Uncertain,6,"Sourcing may make the supply chain more vulnerable, but it is not clear whether that is abroad makes any difference.",Agree,5,,Uncertain,5,
Fehr,Ernst,No Opinion,,,Agree,7,,No Opinion,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,6,,Uncertain,6,,Agree,5,
Galí,Jordi,Agree,6,,Uncertain,6,,Uncertain,6,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Uncertain,4,,Disagree,6,,Uncertain,4,
Guerrieri,Veronica,Agree,7,,Uncertain,7,,Uncertain,7,
Guiso,Luigi,Agree,6,,Uncertain,5,,Agree,6,
Guriev,Sergei,Agree,7,,No Opinion,,,Uncertain,5,
Honohan,Patrick,Agree,5,But the exposure is not a new or recent phenomenon -- what is recent is that the risk materialized .,Disagree,5,"Some firms may have miscalculated the incentives, but most do internalize much of the costs of disruption.",Agree,5,Especially geopolitical tensions remain heightened.
Javorcik,Beata,Strongly Agree,9,,Agree,7,,Strongly Agree,9,
Kőszegi,Botond,Agree,4,,Strongly Agree,7,,Agree,7,
Krahnen,Jan Pieter,Uncertain,4,The question is about the counterfactual. Not clear whether home-sourcing could lead a different class of bottlenecks: simultaneity. ,Disagree,4,"Private firms' incentives depend on expected price sensitivities. As long as prices reflect possible future shortages, firms will react.",Disagree,6,"I don't see the alleged prioritization of efficiency over resilience. It is a matter expectations, and people learn from past experiences."
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,5,,Agree,2,Resilience is bit like insurance. Underprovision in priv. mkts due to info&public goods prob. Mitigating disruptions requires collaboration.,No Opinion,,
Mayer,Thierry,Strongly Agree,9,,Uncertain,7,,Disagree,8,
Meghir,Costas,Agree,8,,Uncertain,9,,Uncertain,8,
Pagano,Marco,Strongly Agree,6,,Uncertain,5,,Uncertain,5,
Pastor,Lubos,Strongly Agree,3,,Disagree,3,,Uncertain,3,
Persson,Torsten,Agree,7,,Agree,5,,Agree,5,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Agree,7,Clear externality.,Uncertain,5,
Prendergast,Canice,Uncertain,7,,Disagree,6,,Uncertain,6,
Propper,Carol,Agree,4,,No Opinion,,,Agree,3,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Uncertain,7,"This is often stated, but I have not seen hard evidence actually backing it.",Disagree,7,What is the missing market? The firm would benefit greatly from being the only supplier when other firms cannot.,Disagree,7,The existence of a tradeoff between efficiency and resilience is not clear to me.
Repullo,Rafael,Agree,4,,Agree,4,,Uncertain,4,
Rey,Hélène,Agree,7,,Agree,7,,Agree,6,
Schoar,Antoinette,Uncertain,7,"supply chain disruptions can also occur within countries, e.g. strikes, political unrest, etc. it's a relative assessment of vulnerabilities",Uncertain,7,,Disagree,7,
Storesletten,Kjetil,Strongly Agree,5,,Disagree,5,Firms have incentives to arrange production to exploit price increases caused by disruptions. Should increase demand for domestic suppliers,Uncertain,2,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van Reenen,John,Agree,8,,Agree,7,,Agree,6,
Vickers,John,Uncertain,3,,Uncertain,4,,Uncertain,4,Resilience is part of efficiency 
Voth,Hans-Joachim,Strongly Agree,8,,Agree,5,,Agree,5,
Whelan,Karl,Agree,5,Firms always have an incentive to reduce costs. Globalisation increased dependence on imported inputs and this has increased vulnerability.,Uncertain,5,I'm not sure there is clear evidence for a market failure on this issue.,Agree,5,I'm sure some firms that were badly affected by shortages will re-examine their approach but I don't expect big systemic changes.
Wyplosz,Charles,Agree,3,,Uncertain,2,"I can't think of an externality, but how convincing is it?",Uncertain,1,Shouldn't we think of EXPECTED efficiency?
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
