Last Name,First Name,Voters overestimate the effect that current governments have on their economies’ concurrent economic performance.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,7,The lags in terms of the effects of policy are uncertain and probably highly variable.  It seems unlikely that voters understand this well.
Antras,Pol,Strongly Agree,9,And governments react to this by over-implementing policies that generate noticeable short-term benefits and (possibly) long-run costs.
Bénassy-Quéré,Agnès,No Opinion,,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,9,"This is a no-brainer, backed by overwhelming evidence. "
Bloom,Nicholas,Agree,7,
Blundell,Richard William,Did Not Answer,,
Carletti,Elena,Agree,8,
Danthine,Jean-Pierre,Agree,8,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Strongly Agree,9,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,3,
Galí,Jordi,Strongly Agree,8,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Agree,8,
Griffith,Rachel,Agree,6,
Guerrieri,Veronica,Strongly Agree,7,
Guiso,Luigi,Strongly Agree,7,
Honohan,Patrick,Disagree,5,"Sometimes, yes; but as a general proposition about foolishness of voters and irrelevance of governments, no."
Javorcik,Beata,Strongly Agree,9,
Kőszegi,Botond,No Opinion,,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Disagree,6,"Often, in public debate, external forces and uncontrolled markets are blamed for poor economic performance, not true own political omissions"
Krusell,Per,Agree,3,The evidence on this is perhaps not very strong but it is a plausible hypothesis.
La Ferrara,Eliana,Agree,4,
Leuz,Christian,Agree,5,"There is evidence for link between voting choice & current/past econ performance, but link is weaker than conventional wisdom may suggest."
Mayer,Thierry,Uncertain,3,
Meghir,Costas,Did Not Answer,,
Neary,Peter,Strongly Agree,6,"Emergency intervention can have immediate effects. But policy mostly has slow effects, especially on aggregate productivity "
O'Rourke,Kevin,Agree,7,
Pagano,Marco,Agree,5,
Pastor,Lubos,Uncertain,8,Some voters probably do. But even rational voters learn about a government's skill by observing economic performance under its policies.
Persson,Torsten,Agree,8,
Pissarides,Christopher,Agree,10,Modern economies are driven by private initiative which depends partially on government policy. Governments can do more damage than good
Portes,Richard,Uncertain,6,
Prendergast,Canice,Strongly Agree,9,
Reichlin,Lucrezia,Did Not Answer,,
Repullo,Rafael,Strongly Agree,7,
Rey,Hélène,Agree,8,Voters do not in general know much about economics; in particular the economic linkages across economies and lagged effects of policies. 
Schoar,Antoinette,Strongly Agree,9,
Sturm,Daniel,Did Not Answer,,
Van Reenen,John,Strongly Agree,8,
Vickers,John,Agree,3,
Voth,Hans-Joachim,Strongly Agree,9,"""Learning the Wealth of Nations""..."
Weder di Mauro,Beatrice,Did Not Answer,,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Agree,1,"In general, governments take small steps. But at crisis time, management capability is crucial. And in good time, silly governments..."
Zilibotti,Fabrizio,Agree,5,
