Last Name,First Name,A significant factor behind today’s inflation in Europe is dominant corporations in uncompetitive markets taking advantage of their market power to raise prices in order to increase their profit margins.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,A significant factor behind today’s inflation in some sectors of the European economy is dominant corporations in uncompetitive markets taking advantage of their market power to raise prices in order to increase their profit margins.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,A significant factor behind today’s inflation in some sectors of the European economy (both competitive and concentrated) is distortions in the aggregate economy where supply does not meet demand.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,5,This is a very interesting and important question. I haven't seen good broad based studies looking at this issue.,Uncertain,5,It seems banking has a problem of this type.  Net interest margins seem sticky.  Not sure how many other areas have this kind of problem.,Uncertain,5,Again don't know broad-based studies that provide a convincing answer to this.
Antras,Pol,Disagree,8,,Uncertain,6,,Agree,7,
Bénassy-Quéré,Agnès,Disagree,8,"True only in some countries, depends on sectors, fragile sector-level data that may be revised, and above all, margins can only be assessed over several years, given various adjustment lags.",Uncertain,5,"The connection with competition in Europe is unclear (energy, international fret).",Disagree,5,"Inflation in Europe so far seems to have followed a mechanical dissemination process, with limited room for supply-demand imbalance."
Blanchard,Olivier,Uncertain,6,,Uncertain,6,,Disagree,7,"I object to distortions.  In a competitive market with inelastic demand, a restriction on supply increases profits.  Nothing to do with market power or distortions"
Bloom,Nicholas,Disagree,8,Firms have always had an incentive to make profits.  ,Disagree,8,,Uncertain,8,
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,6,,Uncertain,6,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Disagree,5,,Uncertain,5,,Agree,5,
De Grauwe,Paul,Agree,7,,Agree,7,,Uncertain,5,
Eeckhout,Jan,Disagree,8,"The evidence indicates that aggregate shocks (supply chain, energy prices, Covid stimulus) have affected competitive as much as concentrated markets",Disagree,8,,Strongly Agree,9,
Fehr,Ernst,Agree,6,,Agree,6,,Agree,8,
Freixas,Xavier,Disagree,3,,Agree,5,,Agree,5,
Fuchs-Schündeln,Nicola,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Galí,Jordi,Disagree,7,,Disagree,7,,Agree,7,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Uncertain,6,,Agree,7,,Uncertain,7,
Guriev,Sergei,Disagree,7,,Disagree,7,,Uncertain,5,
Honohan,Patrick,Uncertain,5,Some evidence suggests this is happening but not clear that market power is significantly increased by the inflationary conditions.,Agree,4,The “some sectors” qualification makes this proposition more likely,No Opinion,,"Emergence of “shortages” as a frequent phenomenon is indeed noteworthy, but I would not characterise it as is proposed in the question."
Javorcik,Beata,Disagree,6,,Uncertain,1,,Agree,6,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Uncertain,5,"Not knowing the numbers, I can only guess - and disagree with the anti-market undertone of the statement. If anything, higher prices induce investment and increased supply (and lower prices) down the road.",Uncertain,5,"If true, why haven't they taken advantage earlier?",Agree,6,
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Disagree,2,"It is a possibility in some markets, but I don't think it is large enough in aggregate to be a ""significant factor"" in the overall inflation rate (unless one includes energy here, which is a key driver, but largely due to the Russian invasion of Ukraine)",Uncertain,2,"Concentration or noncompetitive markets can be an amplifying factor in an inflationary environment. But it is unclear that it is a ""significant"" factor (again excluding energy sector due to special situation). It would likely be a measurable factor in some markets. ",Agree,4,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,9,,Uncertain,9,,Uncertain,9,
Pagano,Marco,Uncertain,1,,Uncertain,1,,Uncertain,1,
Pastor,Lubos,Agree,10,There are signs of increasing profit margins contributing to inflation in several EU countries. ,Agree,10,,Agree,10,Yes but supply shocks have been fading recently. Past supply shocks continue contributing to inflation through persistence. 
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Agree,5,,Disagree,5,
Prendergast,Canice,Uncertain,6,,Agree,6,,Agree,7,
Propper,Carol,Uncertain,4,,Uncertain,4,,Strongly Agree,5,
Rasul,Imran,Disagree,6,,Disagree,4,,Agree,6,
Reichlin,Lucrezia,Agree,5,,Agree,5,,Agree,8,
Reis,Ricardo,Strongly Disagree,4,Unlikely from the start given theory; very hard to identify empirically; no compelling evidence to reject the null hypothesis of no effect.,Strongly Disagree,6,"Is ""some sectors"" means many relevant sectors we are back at the previous question; if it means few, then this is not inflation but changes in relative prices.",Strongly Disagree,7,"Disagree with wording: supply and demand are model objects, and are always same by definition of equilibrium. Yes, some of the high inflation is due to shocks to marginal costs. But less so right now than one year ago, and only when combined with loose monetary policy."
Repullo,Rafael,Uncertain,2,,Uncertain,2,,No Opinion,,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Disagree,7,,Uncertain,7,,Agree,7,
Storesletten,Kjetil,Disagree,7,,Disagree,7,,Disagree,6,
Sturm,Daniel,Disagree,4,,Disagree,4,,Agree,5,
Van der Ploeg,Rick,Agree,6,,Strongly Agree,6,,Agree,6,
