Last Name,First Name,People who migrated to Europe between 2015 and 2018 are likely — over the next two decades — to,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Allen,Franklin,Agree,6,I'm not well informed about the demographics of all EU immigrants in the time period considered. Usually immigrants provide net benefits.
Antras,Pol,Agree,7,"Though for some countries (such as Sweden) it is a bit less obvious than for others, especially if migrants do not integrate well."
Bénassy-Quéré,Agnès,Agree,5,A bit less sure for refugees than for economic migrants
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Uncertain,2,"Past may not be a good predictor.  Depends on the composition, about which I know too little. "
Bloom,Nicholas,Uncertain,7,
Blundell,Richard William,Agree,7,Typically younger adults and some with a relatively good educational background.
Carletti,Elena,Did Not Answer,,
Danthine,Jean-Pierre,Agree,3,To guarantee this outcome the States should invest generously in training and integrating the least qualified immigrants (refugees)
De Grauwe,Paul,Did Not Answer,,
Eeckhout,Jan,Strongly Agree,8,
Fehr,Ernst,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,5,
Galí,Jordi,Did Not Answer,,
Garicano,Luis,Did Not Answer,,
Giavazzi,Francesco,Disagree,5,"it delends whether the question refers to immigrants who have been accepted as residents, under various, hats, or ""economic migrants "
Griffith,Rachel,Agree,7,
Guerrieri,Veronica,Agree,7,
Guiso,Luigi,Did Not Answer,,
Honohan,Patrick,Did Not Answer,,
Javorcik,Beata,Disagree,6,
Kőszegi,Botond,Uncertain,8,
Kleven,Henrik,Did Not Answer,,
Krahnen,Jan Pieter,Agree,5,"As employment rate among migrants goes up over time, and much of taxation is indirect anyway, chances are that the statement comes true."
Krusell,Per,Disagree,7,In welfare states with poor integration the net monetary gain is likely negative. This does not mean one should not allow asylum seekers. 
La Ferrara,Eliana,Agree,3,
Leuz,Christian,Uncertain,4,Too early to tell. Labor mkt outcomes often worse for long time. Demographics are plus. Much depends on fast integration into lab mkt. 
Mayer,Thierry,Strongly Agree,9,
Meghir,Costas,Strongly Agree,9,
Neary,Peter,Strongly Agree,7,"Simple demographics: all the studies I know show that, on average, immigrants are younger, healthier and have fewer dependents than natives"
O'Rourke,Kevin,No Opinion,,
Pagano,Marco,Agree,7,
Pastor,Lubos,Uncertain,3,
Persson,Torsten,Agree,5,
Pissarides,Christopher,Did Not Answer,,
Portes,Richard,Strongly Agree,10,Excellent research on this issue produced for UK Migration Advisory Committee and available on their website.
Prendergast,Canice,Agree,8,
Reichlin,Lucrezia,Agree,6,
Repullo,Rafael,Uncertain,5,
Rey,Hélène,Agree,6,Migrants likely to be young and eager to find jobs.
Schoar,Antoinette,Uncertain,5,Migrants to Europe are often not allowed to work for years. Delayed entry into the labor force can have negative effects on integration 
Sturm,Daniel,Agree,8,Being younger and typically better educated their fiscal contribution tends to be positive as suggested by recent research for the UK. 
Van Reenen,John,Agree,7,"At least in terms of the UK, there have been generally positive fiscal benefits. See my work below or recent MAC report by alan Manning"
Vickers,John,Uncertain,3,
Voth,Hans-Joachim,Disagree,6,
Weder di Mauro,Beatrice,Did Not Answer,,
Whelan,Karl,Did Not Answer,,
Wyplosz,Charles,Agree,5,
Zilibotti,Fabrizio,Strongly Agree,9,For demographic reasons.
