Last Name,First Name,The wave of immigration to Germany after 2015 (and up to the Russian invasion of Ukraine) has been a net positive for the country's economy.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"Immigration to EU countries has been a net positive for government finances, adding substantially more in tax revenues than the increased costs associated with integration of immigrants.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"Given Europe's low and falling fertility rates (from seven million births per year in 1960 to four million today), maintaining its position as a world economic power will require increased immigration over the medium term.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,3,"I m not knowledgeable enough about the German economy to have an opinion whether the particular immigration from 2015-2022 was beneficial or not. Probably skilled immigration and for particular sectors, such as elderly care, could be going forward. ",Uncertain,3,"Again, I am not knowledgeable enough about the specifics but immigration if done in a managed way can have these characteristics.",Uncertain,3,"A lot will depend on what happens culturally, which is difficult to predict. If people form relationships more and have more children then we could be back to previous levels of fertility.  Back in the 1960s and 1970s, overpopulation was regarded as the major problem. "
Antras,Pol,Agree,5,,Uncertain,5,,Strongly Agree,5,There's litte uncertainty about demographic dynamics. Europe faces a choice between to I's: Immigration or Irrelevance.
Bénassy-Quéré,Agnès,Strongly Agree,7,,Uncertain,3,Integration into the labor force has proved relatively long on average.,Agree,10,
Blanchard,Olivier,Uncertain,4,,Uncertain,4,,Disagree,6,"two points.  Can sustain growth per capita without immigration.  Second, politically unrealistic to hope that immigration will offset domestic demographics.  "
Blundell,Richard William,Agree,6,,Agree,4,,Agree,4,
Botticini,Maristella,Uncertain,7,,Uncertain,7,,Agree,7,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Uncertain,5,,Agree,6,,Agree,6,
Eeckhout,Jan,Agree,6,,Agree,7,,Agree,8,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,3,,Agree,4,"Obviously, the key question is how well the integration of immigrants into labor market works. This is different country by country.",Uncertain,4,Other parts of the world will also face falling fertility rates going forward (or already face them now). 
Galí,Jordi,Uncertain,5,,Disagree,6,,Disagree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Uncertain,1,,Uncertain,1,,Agree,3,
Griffith,Rachel,Uncertain,1,,Uncertain,1,,Uncertain,1,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guriev,Sergei,Uncertain,5,,Agree,6,,Agree,6,
Honohan,Patrick,Agree,3,E.g. no associated increase in unemployment…,Agree,3,,Agree,5,
Javorcik,Beata,Uncertain,4,,Uncertain,3,,Agree,8,
Kőszegi,Botond,Agree,3,,Agree,3,,Strongly Agree,8,
Krahnen,Jan Pieter,Uncertain,5,"There are pluses and minuses. Plus: Immigration has been largely about young people who, over the longer term, are likely to contribute to economic output. Minus: without consistent immigration policy, many people arriving are lowly/non-educated, implying high integration costs.",Disagree,6,"see previous question: integration costs are far higher than economic benefits, let alone tax income. In some countries, like Germany, immigrants are overwhelmingly on the asylum track of immigration, which leads to long periods in which joining the workforce is prohibited.",Disagree,7,"Aging populations are the fate of all countries in the world, sooner or later. Staying productive and powerful when population age is rising is possible. It requires flexible social institutions, like gliding retirement age, holding the ratio of workers to pensioners constant "
La Ferrara,Eliana,Agree,2,,Agree,3,,Agree,3,
