Last Name,First Name,"The institutions of society - such as constitutions, laws, judiciaries, and property rights - substantially shape economic decisions, policies, and outcomes.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"On average and over the long term, democracies deliver substantially better economic growth than other forms of government.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,Countries where democracy and the rule of law are weakened are likely to experience measurable damage to their economic performance.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,"In Western societies this seems the case.  However, in many Asian societies like China and Japan, it is much less clear.",Uncertain,5,Depends on the historic perspective that you take.  China's success over the last 40 years brings doubt to this statement.  ,Uncertain,4,Not so clear in Eastern Europe (Hungary) or Asia.
Antras,Pol,Strongly Agree,9,,Agree,6,"On average, yes.",Strongly Agree,7,Especially because a weakened democracy and rule of law are symptomatic of other bad fundamentals that also harm economic perfomance.
Bénassy-Quéré,Agnès,Strongly Agree,10,,Uncertain,4,Less sure for economic growth than for welfare.,Uncertain,4,
Blanchard,Olivier,Agree,6,,Uncertain,4,,Agree,5,
Blundell,Richard William,Agree,6,,Agree,4,,Agree,4,
Botticini,Maristella,Strongly Agree,9,,Agree,9,,Agree,9,
Carletti,Elena,Strongly Agree,6,,Strongly Agree,5,,Agree,5,
Danthine,Jean-Pierre,Strongly Agree,7,,Agree,6,,Strongly Agree,8,
De Grauwe,Paul,Agree,7,,Uncertain,5,,Uncertain,5,
Eeckhout,Jan,Strongly Agree,9,,Agree,6,,Agree,6,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,10,,Strongly Agree,9,,Agree,8,
Galí,Jordi,Strongly Agree,7,,Uncertain,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Griffith,Rachel,Strongly Agree,10,,Agree,3,,Agree,3,
Guerrieri,Veronica,Strongly Agree,7,,Agree,7,,Agree,7,
Guiso,Luigi,Strongly Agree,9,,Strongly Agree,9,compare night light as you cross the border between south and north korea ,Strongly Agree,9,
Guriev,Sergei,Strongly Agree,9,,Agree,7,,Agree,7,
Honohan,Patrick,Strongly Agree,7,,Agree,7,"True for growth, and would be more so for levels. ",Agree,7,
Javorcik,Beata,Strongly Agree,9,,Agree,7,,Agree,7,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Strongly Agree,6,"This is the basic insight of institutional economics since the 1990s - shaping the research agenda not only in developing economics, but also in areas like financial economics. I recall a World Bank publication of 1994 entitled ""Development finance as institution building"" ...",Uncertain,6,"The political system (democracy or autocracy) is one among several conditions that explain economic growth. Abundance of natural resources is another one (think of Saudi Arabia). Other factors like population growth, war or natural disasters matter as well.  ",Uncertain,6,Same answer as to the previous question: Democracy is not necessarily a growth engine - other factors may be more important for economic performance. 
La Ferrara,Eliana,Strongly Agree,9,,Agree,8,,Agree,8,
Leuz,Christian,Agree,7,,Agree,3,On average and over the long term,Agree,3,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,10,,Agree,9,,Strongly Agree,9,
Pagano,Marco,Strongly Agree,9,,Uncertain,8,,Strongly Agree,9,
Pastor,Lubos,Strongly Agree,8,,Agree,8,,Agree,8,
Portes,Richard,Strongly Agree,9,,Uncertain,5,,Agree,6,
Prendergast,Canice,Agree,6,,Agree,6,,Agree,5,
Propper,Carol,Strongly Agree,6,,Strongly Agree,6,,Strongly Agree,6,
Rasul,Imran,Strongly Agree,9,,Agree,8,,Strongly Agree,9,
Reichlin,Lucrezia,Strongly Agree,9,,Disagree,7,,Disagree,7,
Reis,Ricardo,Strongly Agree,7,,Agree,3,,Agree,4,
Repullo,Rafael,Strongly Agree,6,,Uncertain,6,,Agree,6,
Rey,Hélène,Strongly Agree,8,,Strongly Agree,8,,Agree,8,
Schoar,Antoinette,Agree,8,,Agree,7,On average I agree with this statement. But the one significant exception in the last century has been China which is not a democracy but delivered significant/sustained growth over several decades and lifted a large fraction of its population out of poverty. ,Agree,9,
Storesletten,Kjetil,Strongly Agree,8,,Agree,7,,Agree,8,
Sturm,Daniel,Strongly Agree,8,,Agree,8,,Strongly Agree,8,
Tenreyro,Silvana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Strongly Agree,8,,Agree,6,,Agree,7,
Vickers,John,Strongly Agree,5,,Agree,5,,Agree,5,
Voth,Hans-Joachim,Agree,5,,Uncertain,9,,Agree,7,
Whelan,Karl,Strongly Agree,10,,Agree,5,This is most likely true since democracies are more likely to promote prosperity across the population rather than for just a ruling elite. But figuring out the causality between democracy and economic prosperity is tricky.,Agree,10,
Wyplosz,Charles,Strongly Agree,8,,Agree,8,The empirical evidence is a bit mixed but wishful thinking ends up being convincing.,Strongly Agree,8,
