Last Name,First Name,Voluntary national targets are unlikely to be an effective mechanism for achieving sharp reductions in greenhouse gas emissions.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Agreement on a significant global price floor for all carbon emissions would be an effective step towards achieving sharp reductions in emissions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.,Green innovation in the private sector would be strongly stimulated by a substantial increase in public spending on R&D for climate change mitigation and adaptation.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,These voluntary targets are probably better than nothing. But it is not clear how effective they will be. Politics will be important.,Agree,6,I think it would help.  The effectiveness will depend a lot on the details.,Agree,6,It could be if it is structured properly. Government programs seem to have played a role reducing the cost of renewables.
Antras,Pol,Agree,7,,Uncertain,5,,Uncertain,5,
Bandiera,Oriana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Agree,7,"question is unclear.  voluntary by firms (will not work), voluntary by governments (will work a bit better)?",Strongly Agree,8,,Strongly Agree,8,
Bloom,Nicholas,Strongly Agree,10,Voters are often uninformed so can be tricked by politicians - for example Trump could ignore climate change by deceiving his supporters.,Strongly Agree,10,,Strongly Agree,10,"There is a large literature showing that R&D support increases R&D, see for example ""A Toolkit of Policies to Promote Innovation"""
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,9,,Strongly Agree,9,Provided of course that the carbon price is not ridiculously low!,Agree,8,
De Grauwe,Paul,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Eeckhout,Jan,Disagree,6,,Agree,8,,Agree,7,
Fehr,Ernst,Strongly Agree,9,,Agree,8,,Uncertain,5,
Freixas,Xavier,Strongly Agree,9,insuficient incentives given the governments short time horizons,Agree,5,,Strongly Agree,7,
Fuchs-Schündeln,Nicola,Disagree,7,,Strongly Agree,10,,Agree,9,
Galí,Jordi,Agree,6,,Agree,6,,Uncertain,6,
Giavazzi,Francesco,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Strongly Agree,6,,Agree,4,,Uncertain,7,
Guerrieri,Veronica,Agree,5,,Agree,6,,Agree,6,
Guiso,Luigi,Agree,5,,Agree,5,,Uncertain,5,
Guriev,Sergei,Agree,5,,Strongly Agree,8,,Agree,7,
Honohan,Patrick,Uncertain,3,"If US, EU and China voluntarily adopt policy and impose compensatory border taxes) effect could be as big as with binding global agreement.",Strongly Agree,6,Needed in addition to selective measures targeted at particularly carbon-intensive sectors.,Uncertain,1,Not clear whether these are complements or substitutes.
Javorcik,Beata,Uncertain,5,,Agree,8,,Strongly Agree,9,
Kőszegi,Botond,Agree,4,,Strongly Agree,10,,Uncertain,5,
Krahnen,Jan Pieter,Disagree,6,"Implemented rules of self-commitment may have an important role model effect, leading to spillovers to other countries.",Strongly Agree,4,...that looks like a first-best outcome in a second best situation.,Uncertain,4,It all depends on how the spending program is implemented. More centralized investment decisions may lead to less effectiveness.
La Ferrara,Eliana,Agree,3,,Agree,4,,Agree,3,
Leuz,Christian,Agree,4,,Agree,6,A significant floor would not only provide incentives for reductions & innovations but also some policy certainty.,Agree,3,"Likely, given substantial policy & technological uncertainty on one hand. Prudent, given the urgency of the matter on the other hand"
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Agree,9,,Agree,9,
Pagano,Marco,Strongly Agree,7,,Strongly Agree,7,,Uncertain,3,
Pastor,Lubos,Agree,5,,Agree,5,,Agree,5,
Persson,Torsten,Agree,7,,Agree,8,,Agree,5,"Relative uncertainty is not associated with the qualitative claim, but the quantitative claim (""strongly"") "
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Agree,6,,Agree,4,
Prendergast,Canice,Agree,8,,Agree,6,,Uncertain,7,
Propper,Carol,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Rasul,Imran,Agree,7,,Agree,5,,Uncertain,5,
Reichlin,Lucrezia,Strongly Agree,9,,Agree,7,,Strongly Agree,8,
Reis,Ricardo,Agree,7,We achieved significant reductions with mostly national policies adopted by rich countries. But tragedy of commons means likely too little,Uncertain,5,"Only if well designed. Countries have different market structures for trading/auctioning carbon, and reserve prices can backfire in some.",Agree,8,Public R&D spending tends to crowd in private R&D spending.
Repullo,Rafael,Agree,4,,Agree,4,,Uncertain,4,"Not clear that it will be ""strongly"" stimulated."
Rey,Hélène,Agree,8,,Strongly Agree,9,,Strongly Agree,9,
Schoar,Antoinette,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Storesletten,Kjetil,Uncertain,3,,Strongly Agree,7,Experience from traded SO2 permits in 1980s showed emission reductions were surprisingly cheap if firms faced common price for emissions,Agree,6,R&D subsidies would be effective at stimulating innovation. Especially if combined with high price of emissions
Sturm,Daniel,Uncertain,5,,Agree,8,"Great policy idea, but politically obviously really difficult to get agreement on.",Uncertain,4,
Van Reenen,John,Disagree,6,These decisions have some moral and political weight. ,Agree,8,"It would be great, but highly unlikley to be accomplished politically. That's why voluntary agreements are probably the only game in town",Strongly Disagree,9,Lots of evidence supports these policies; e.g. https://www.hamiltonproject.org/assets/files/JVR_PP_LO_6.15_FINAL.pdf webinar an
Vickers,John,Agree,4,,Agree,4,,Agree,4,
Voth,Hans-Joachim,Agree,5,,Agree,6,,Strongly Agree,8,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,8,,Strongly Agree,8,,Agree,6,Yes but there is big risk of capture.
Zilibotti,Fabrizio,Agree,6,,Strongly Agree,9,,Agree,8,
