Last Name,First Name,"Setting the EU rules aside, and assuming it would take 2.5% of Italy’s GDP to recapitalize its banks, the Italian government would improve financial stability in Europe if it injected this amount of public funds into its banks.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,"If Italy were to inject public funds into its banks without imposing losses on at least some claimants, an important cost would be the effect on future incentives (economic or political) in Europe.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Aghion,Philippe,Uncertain,5,,Agree,5,
Allen,Franklin,Strongly Agree,9,"Italy's banks are significantly undercapitalized, particularly if you consider market rather than accounting capital. ",Agree,8,Shareholders and non-retail bondholders need to be penalised if a bank fails to provide the right incentives going forward.
Antras,Pol,Agree,5,It would probably improve financial stability. A different matter is whether that should be the only principle guiding tax policy.,Strongly Agree,8,It seems pretty clear that bailouts generate a moral hazard problem. They also have a significant impact on government budgets.
Bénassy-Quéré,Agnès,Agree,7,"Some public recapitalization is actually needed, although maybe as much as 2.5% of GDP, and not outside EU rules.",Agree,9,"In practice it is not possible to move directly from a bail out to a bail in regime, but at least the direction should be made clear."
Baldwin,Richard,Agree,5,,Agree,5,
Besley,Timothy J.,No Opinion,,,No Opinion,,
Blanchard,Olivier,Strongly Agree,9,"if italy's debt is sustainable at 130%, it is surely sustainable at 132.5% if the financial system is functioning better.  ",Agree,9,"this is the old moral hazard argument.  i believe it is relevant, but of marginal importance empirically. "
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Uncertain,5,I mildly agree with the statement but have insufficient knowledge of the current system to make a strong statement.,Agree,5,Agree with the statement but again not enough current knowledge of the to be very confident of this specific case.
Carletti,Elena,Uncertain,9,The effect of injecting public funds into the Italian banking system depends a lot on how this is done and on the investors' reactions.,Agree,10,"The rules leave the possibility of injecting public funds without private losses, but I agree that this may have important signaling effects"
Danthine,Jean-Pierre,Agree,2,The counterpart should be an equity stake in the banks that the Italian State could re-sell in the future hopefully with an overall profit,Agree,3,But the cost could be containd if this is clearly viewed as a transition to a new  regime where this will no longer be possible.
De Grauwe,Paul,Agree,7,,Agree,8,
Eeckhout,Jan,Agree,7,In the short run yes. However in the long run the financial system would be weaker. ,Strongly Agree,8,
Fehr,Ernst,Uncertain,8,"In the short run stability would be higher, in the long run not if the measure is not associated with reducing future moral hazard",Agree,8,
Freixas,Xavier,Strongly Agree,10,The lack of access to finance is hindering Italy's and Europe's growth. A 2.5% is not an excessive price to pay to increase future growth.,Strongly Agree,10,"In the absence of significant costs to some claim holders, it will be in the interest of banks to take more risks in the future."
Fuchs-Schündeln,Nicola,Uncertain,8,,Agree,6,
Galí,Jordi,Agree,8,,Agree,8,
Garicano,Luis,Agree,4,A bailout is probably good in short term for Financial Stability. But undermines new Euro BRRD framework and opens door to populists.,Agree,6,At the very least it would introduce confusion among investors as the BRRD framework requires 8% bail in.
Giavazzi,Francesco,Strongly Agree,10,zombie banks would eventually drive Italy out of the euro,Disagree,9,it has happened elsewhere in Europe and there is no dign of a serious deterioration of incentives
Griffith,Rachel,Uncertain,1,,Agree,5,
Guerrieri,Veronica,Agree,9,,Uncertain,9,
Guiso,Luigi,Agree,6,"government  debt is substantial, but  increasing it by a few percentage points is  less risk strategy than leaving banks under capitalized ",Disagree,7,Imposing losses can be severely destabilising 
Hellwig,Martin,Did Not Answer,,,Did Not Answer,,
Honohan,Patrick,Disagree,7,Markets can cope with bail in on this scale.  They are already discounting it.,Strongly Agree,8,"Got to get away from bailing out bank creditors with public funds.  If not now, when?  It's not just EU rules, cf FSB resolution principles "
Kőszegi,Botond,No Opinion,,,No Opinion,,
Kleven,Henrik,Uncertain,5,,Agree,4,
Krahnen,Jan Pieter,Uncertain,10,"Inject all capital into strong banks, not weak ones, thus restructuring and scaling down the entire sector. Good plan, but will not happen.",Strongly Agree,9,Europe's new regulatory architecture aims for market discipline through bail-inability of equity and junior debt. US pursues different model
Krusell,Per,Uncertain,3,I don't have enough info to say that it would help financial institutions elsewhere; depends on cross-holdings. In long run it's likely bad.,Agree,7,The expectations of future bailouts will likely be affected and induce excessive risk-taking.
La Ferrara,Eliana,Uncertain,2,,Agree,3,
Leuz,Christian,Uncertain,7,"Helps in short-run but not clear in long-run w/o other reforms, as issue is also profitability & bank density; can increase sovereign risks",Agree,8,Bending BRRD would create bad political incentives & undermine EU rules but excluding missold retail would not have same moral hazard effect
Meghir,Costas,Did Not Answer,,,Did Not Answer,,
Neary,Peter,Agree,3,"Sooner or later, bullets have to be bitten, zombie banks have to be bailed out. Sooner is better. Exactly how is much harder to answer.",Disagree,3,Possibility of moral hazard in medium term versus high probability of financial instability in short term. A tough choice but a clear one.
O'Rourke,Kevin,No Opinion,,,No Opinion,,
Pagano,Marco,Strongly Disagree,9,"This is likely to unsettle investor confidence in Italian public debt & reactivate the bank-sovereign doom loop, with knock-on EU effects. ",Strongly Agree,10,"Such massive bailout would strengthen banks' moral hazard & leave the EU overbanking problem unsolved, confirming that no exit is possible."
Pastor,Lubos,Agree,8,"Italy has been kicking this can down the road far too long. But it’s hard to set EU rules aside, especially the new bank resolution rules.",Agree,6,Breaking the new EU bank resolution rules within the first year would undermine the credibility of the banking union.
Persson,Torsten,Agree,5,,Agree,5,
Pissarides,Christopher,Agree,7,This would be dealing with the symptoms of the banking crisis in Europe and not the cause,Strongly Agree,9,It would be shifting the burden to tax payers. Claimants might think something similar in future
Portes,Richard,Strongly Agree,10,Weak banks are a major impediment to investment and growth and endanger financial stability. Public funds necessary though not sufficient.,Agree,10,"Problem in Italy is that bailing would hurt not wealthy retail bond holders, victims of misselling must be compensated."
Prendergast,Canice,Agree,5,,Agree,8,
Reichlin,Lucrezia,Agree,10,,Disagree,10,not if recap but also provide incentives/rules aiming at consolidation/governance reform 
Repullo,Rafael,Disagree,7,Setting EU rules aside to facilitate a bailout is likely to worsen long-term financial stability in Europe. ,Strongly Agree,7,
Rey,Hélène,Agree,7,"NPLs are an important factor behind lack of growth, in turn an important factor behind financial instability.Issue is effect on gvt debt.",Agree,7,Equity holders and junior bond holders should take some losses. Moral hazard can also be dealt with by taking action against management.
Schoar,Antoinette,Uncertain,7,,Strongly Agree,8,
Van Reenen,John,Agree,5,,Agree,6,
Vickers,John,Uncertain,9,"Banks have far too little capital so more is good.  But another bail out would go backwards on incentives.  A total mess, not only Italy.",Strongly Agree,9,"A 100% bail-out after 8 years of ""reform"" would take us back to square one on TBTF.    "
Voth,Hans-Joachim,Uncertain,4,I think this could easily backfire. Bailouts done right can be a jolly goood thing but i have at least some reservations about the prospects,Agree,7,There is already a lot of concern in Germany about EMU rules being broken. This could be the final straw
Weder di Mauro,Beatrice,Agree,7,,Agree,9,
Whelan,Karl,Agree,3,This may improve financial stability in the short-run but probably sets a bad fiscal precedent for other European governments in the future.,Agree,5,This would undermine the EU's BRRD approach though it always seemed likely loss imposition was more a policy intended for small countries.
Wyplosz,Charles,Agree,7,"A number of Italian banks need to be recapitalized. If it cannot be done otherwise, the government must step in. ",Strongly Agree,9,We have adopted bail-in rules. Ditching them aside would indeed send a terrible signal. But the rules need to be better thought through.
Zilibotti,Fabrizio,Disagree,5,,Agree,8,
