Last Name,First Name,"For reducing global greenhouse gas emissions, subsidies for R&D on low-carbon technologies are justified in addition to carbon pricing mechanisms like carbon taxes and cap-and-trade systems.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Higher subsidies for R&D on low-carbon technologies are justified by the fact that their successful deployment would not only reduce emissions in OECD countries but also reduce developing countries' emissions by encouraging them to substitute away from fossil fuels.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,4,"The Chinese have already made great progress on low carbon technologies through subsidies. The question is how many further subsidies are needed. Solar cells, wind turbine and electric vehicles are not far off where they need to be. SOme like planes may need more.   ",Uncertain,4,Again the issue is how much more is needed given the great progress the Chinese have made.
Antras,Pol,Agree,5,,Agree,7,
Auriol,Emmanuelle,Strongly Agree,10,,Strongly Agree,10,Fossil energies are limited and are the main engine of global warming. Energy is the engine of growth. So we need a big push in R&D to find clean substitute. Everybody will benefit from it.
Bénassy-Quéré,Agnès,Agree,10,,Agree,10,
Blanchard,Olivier,Agree,6,,Agree,6,
Blundell,Richard William,Uncertain,3,,Uncertain,4,
Botticini,Maristella,Uncertain,7,,Uncertain,7,
Cagé,Julia,Uncertain,3,"First, I am not fully convinced by the fact that carbon pricing mechanisms are efficient at reducing global greenhouse gas emissions. The evidence in the literature is still mixed.
Second, I think that selecting ""good"" low carbon technologies remains challenging.",Agree,3,"If one is able to pick successfully the low-carbon technologies of the future, for sure we need them to be implemented both in rich and developing countries, and subsidies can help at doing so.
But an alternative approach would be to reduce emissions by reducing the use of energy"
Carletti,Elena,Agree,6,,Agree,6,
Danthine,Jean-Pierre,Agree,8,,Agree,8,
De Grauwe,Paul,Agree,7,,Agree,7,
Eeckhout,Jan,Agree,6,,Agree,6,
Fatás,Antonio,Strongly Agree,6,,Strongly Agree,6,
Fuchs-Schündeln,Nicola,Uncertain,2,,Uncertain,2,
Galí,Jordi,Uncertain,6,,Agree,6,
Garicano,Luis,Agree,6,,Agree,6,The externality argument is clear (and I referred the literature on my previous post). The capture problem and the ways subsidise will in fact be deployed is much less clear. 
Gorodnichenko,Yuriy,Did Not Answer,,,Did Not Answer,,
Griffith,Rachel,Agree,9,,Uncertain,3,
Guerrieri,Veronica,Agree,6,,Agree,6,
Guiso,Luigi,Strongly Agree,7,,Strongly Agree,7,
Guriev,Sergei,Strongly Agree,8,,Agree,6,Additional arguments in favor of R&D subsidies include standard non-excludability and non-rivalry of knowledge
Honohan,Patrick,Agree,5,"Justification is from inability of the inventor to capture enough of the social value of such technology.. Subsidy design would need to be good, though.",Agree,5,
Javorcik,Beata,Strongly Agree,8,,Strongly Agree,8,
Kőszegi,Botond,Agree,2,,Agree,2,
Krahnen,Jan Pieter,Agree,3,Subsidies may be justified if new technologies (R&D and early stage) face entry barriers in established markets.,Agree,4,absolutely...
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,6,The climate challenge involves essentially two externalities. Carbon pricing or similar mechanisms address carbon emissions (neg ext). Subsidies target underinvestment in R&D in the area of low- or zero-carbon technologies. Pos. externality due to spillovers.,Agree,6,Key will be to make sure these new technologies are also available to developing countries. A technology transfer would make sense not only in addressing future emissions (of which 80% will be in developing ctries) but also considering that historical emissions of OECD ctrys.
Manova,Kalina,Strongly Agree,4,,Agree,4,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,9,,Strongly Agree,9,
Pagano,Marco,Strongly Agree,8,,Strongly Agree,8,
Papaioannou,Elias,Strongly Agree,5,,Agree,5,
Pastor,Lubos,Strongly Agree,10,,Strongly Agree,10,"Absolutely, this is the only way to truly move the needle globally. The vast majority of future carbon emissions will come from countries outside the West. Whether and when those countries decarbonize will be first-order to future global temperatures."
Portes,Richard,Strongly Agree,3,,Agree,3,
Prendergast,Canice,Agree,4,,Uncertain,4,
Propper,Carol,Agree,3,,Agree,3,
Rasul,Imran,Agree,7,,Uncertain,7,
Reichlin,Lucrezia,Strongly Agree,10,,Strongly Agree,10,
Reis,Ricardo,Did Not Answer,,,Did Not Answer,,
Repullo,Rafael,Agree,4,,Agree,4,
Schoar,Antoinette,Agree,5,,Uncertain,1,
Storesletten,Kjetil,Strongly Agree,8,,Strongly Agree,8,
Strömberg,Per,Strongly Agree,10,"The green transition is in need of new technology, especially for decarbonizing industry.  The economic case for R&D subsidies is strong in general e.g. Romer's classical work, and for climate-related technologies in particular (e.g. Acemoglu et al, AER 2012). ",Agree,8,"In principle true, but less sure about empirical evidence on such trickle down.  Developing countries may have institutional constraints impeding technology adoption."
Sturm,Daniel,Agree,6,,Agree,7,
Tenreyro,Silvana,Agree,8,,Uncertain,3,
Van der Ploeg,Rick,Strongly Agree,8,These subsidies are necessary since the market fails to internalise the benefits from scaling up and learning-by-doing effects. They are also necessary to redirect from carbon-intensive to green R&D and innovation.,Agree,7,
Vickers,John,Agree,5,Such R&D has positive externalities,Agree,4,
Voth,Hans-Joachim,Uncertain,5,,Agree,3,
Wyplosz,Charles,Uncertain,4,"if the carbon price is right, it should provide resources for low-carbon technology. With subsidies, there is a risk of inefficient investment.",Uncertain,2,
