Last Name,First Name,Our understanding of labor productivity has been much enhanced by accounting for monetary and promotion-based incentives within firms and related selection effects.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Large salaries for senior business executives are less a reflection of an individual’s current contribution to a firm’s overall performance than a ‘prize’ for those who put in the effort to achieve one of the top positions.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Uncertain,5,Still a contentious area I would say. Countries such as Japan don't have high powered incentives but still do fairly well it seems.,Uncertain,5,Again a contentious area.  Seems to be a complex issue.  
Antras,Pol,Strongly Agree,8,,Agree,7,
Bandiera,Oriana,Strongly Agree,10,,Agree,10,
Blanchard,Olivier,Did Not Answer,,,Did Not Answer,,
Bloom,Nicholas,Strongly Agree,10,Eddie's work has been hugely influential in this - for example the management literature I know well directly built on personnel economics,Uncertain,7,"They are a combination of both - the tournament pay-off and an incentive to keep working. Indeed, this is critical for evaluating CEO pay."
Blundell,Richard William,Agree,6,,Agree,5,
Carletti,Elena,No Opinion,,,No Opinion,,
Danthine,Jean-Pierre,Did Not Answer,,,Did Not Answer,,
De Grauwe,Paul,Agree,6,,Agree,7,
Eeckhout,Jan,Agree,7,,Agree,5,
Fehr,Ernst,Agree,8,,No Opinion,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,8,,Agree,8,
Galí,Jordi,No Opinion,,,No Opinion,,
Giavazzi,Francesco,No Opinion,,,Disagree,7,
Griffith,Rachel,Agree,6,,Uncertain,5,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Agree,6,,Uncertain,8,
Guriev,Sergei,Strongly Agree,10,,Uncertain,3,
Honohan,Patrick,Agree,1,,Agree,1,Interpreting this question as including other causes for such remuneration being disconnected from marginal contribution to firm performance
Javorcik,Beata,Agree,5,,Agree,5,
Kőszegi,Botond,Agree,5,,Agree,4,
Krahnen,Jan Pieter,No Opinion,,,Uncertain,1,
La Ferrara,Eliana,Agree,4,,No Opinion,,
Leuz,Christian,Agree,5,,Agree,5,"JEP below by Lazear (section on Relative Pay and Tournament Theory) w/ evidence. Other factors (incl. ""luck"") can play role too - see links."
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Agree,9,,Agree,8,
Neary,Peter,Agree,5,,Agree,5,"With some allowance for performance bonuses, the statement is accurate for many organizations. This is not necessarily desirable though"
Pagano,Marco,Strongly Agree,9,,Agree,8,
Pastor,Lubos,Agree,2,,Uncertain,5,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,No Opinion,,,Agree,8,
Portes,Richard,Uncertain,4,,Agree,5,
Prendergast,Canice,Agree,6,,Disagree,8,
Propper,Carol,Agree,7,,Strongly Agree,7,
Rasul,Imran,Strongly Agree,9,,Agree,7,
Reichlin,Lucrezia,Uncertain,3,,Agree,3,
Repullo,Rafael,Agree,4,,Disagree,4,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Strongly Agree,8,,Uncertain,8,If tournament component of salary is more important than compensation for effort depends on context. Goes back to Lazear/Rosen (1981) 
Storesletten,Kjetil,Uncertain,3,,Agree,5,"Wages for top executives reflect firms’ competition for top talent as well as long-term aspects of contracts, including tournaments"
Sturm,Daniel,Agree,6,,Uncertain,3,
Van Reenen,John,Strongly Agree,9,,Uncertain,5,
Vickers,John,Agree,4,,Uncertain,4,
Voth,Hans-Joachim,Agree,8,,Agree,7,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Agree,2,,Agree,2,
Zilibotti,Fabrizio,Did Not Answer,,,Did Not Answer,,
