Last Name,First Name,"Political conflict plays a key role in shaping economic decisions, policies and outcomes.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.,Most European countries have larger social welfare systems than the United States in part because the latter is more heterogeneous by race and ethnicity.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 140 characters or less.
Allen,Franklin,Agree,6,In most countries this is the case in my view.  In some totalitarian countries it is not the case though.,Disagree,6,I don't think that's the reason.  It's not based on definite evidence that I am aware of though.
Antras,Pol,Strongly Agree,10,"Thank you very everything you taught us, Alberto. Rest in Peace. ",Agree,7,"I think Alberto convinced most of us that this is part of the reason. Of course, there are many other reasons why."
Blanchard,Olivier,Strongly Agree,9,,Uncertain,5,
Bloom,Nicholas,Strongly Agree,9,,Uncertain,2,
Blundell,Richard William,Agree,5,,Uncertain,5,Isn't it more about the underlying inequalities by race and ethnicity in the US rather than race and ethnicity itself?
Carletti,Elena,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,5,,Uncertain,5,
De Grauwe,Paul,Agree,7,,Agree,6,"Alesin and Glaeser,"
Eeckhout,Jan,Strongly Agree,9,,Uncertain,6,
Fehr,Ernst,Strongly Agree,10,,Agree,10,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,8,,Agree,8,
Galí,Jordi,Agree,7,,Agree,6,That's one of the messages from Alberto Alesina's research.
Giavazzi,Francesco,Agree,6,,Strongly Agree,9,
Griffith,Rachel,Agree,4,,Uncertain,1,
Guerrieri,Veronica,Strongly Agree,8,,Agree,8,
Guiso,Luigi,Strongly Agree,10,,Agree,7,
Honohan,Patrick,Strongly Agree,7,,Agree,5,
Javorcik,Beata,Agree,8,,Agree,5,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,6,Evident...,Disagree,6,
La Ferrara,Eliana,Strongly Agree,10,,Uncertain,8,
Leuz,Christian,Strongly Agree,6,,Agree,5,The first paper by Alesina et al referenced below examines exactly this question and there are several follow-ups with further support.
Mayer,Thierry,Agree,7,,Uncertain,3,
Meghir,Costas,Agree,8,,Uncertain,7,
Neary,Peter,Agree,7,"Hardly controversial in itself. More so is its importance relative to ideology, history, and deep economic forces ",Agree,5,The sad passing of Alberto Alesina reminds us of his work showing this; though ideology and public perceptions of heterogeneity also matter
O'Rourke,Kevin,Agree,7,,Uncertain,5,
Pagano,Marco,Agree,7,,Disagree,5,
Pastor,Lubos,Strongly Agree,10,"Governments set, and change, the rules of the game.",Strongly Agree,6,
Persson,Torsten,Agree,8,,Agree,8,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Agree,5,,Uncertain,3,
Prendergast,Canice,Agree,8,,Uncertain,8,
Reichlin,Lucrezia,Strongly Agree,8,,Uncertain,6,
Repullo,Rafael,Strongly Agree,4,,Agree,4,
Rey,Hélène,Strongly Agree,9,,Uncertain,6,
Schoar,Antoinette,Strongly Agree,8,,Disagree,7,
Sturm,Daniel,Agree,8,,Uncertain,2,
Van Reenen,John,Agree,7,,Disagree,5,
Vickers,John,Agree,4,,Uncertain,2,
Voth,Hans-Joachim,Strongly Agree,9,,Strongly Agree,9,
Weder di Mauro,Beatrice,Did Not Answer,,,Did Not Answer,,
Whelan,Karl,Did Not Answer,,,Did Not Answer,,
Wyplosz,Charles,Strongly Agree,9,This is what Alberto Alesina taught us.,Strongly Agree,9,"Thanks, Alberto, now we understand."
Zilibotti,Fabrizio,Strongly Agree,10,,Agree,6,
