Last Name,First Name,"On the whole, the shift from state to private ownership of many industrial assets in central and eastern European countries after communism has increased productivity in those countries.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 140 characters or less.
Aghion,Philippe,Did Not Answer,,
Allen,Franklin,Agree,6,"For many but not all industries, privatization increases efficiency.  I think this is true in many central and eastern European countries. "
Antras,Pol,Strongly Agree,9,
Bénassy-Quéré,Agnès,Agree,8,Only after several years of depression.
Baldwin,Richard,Agree,5,
Besley,Timothy J.,Did Not Answer,,
Blanchard,Olivier,Strongly Agree,10,This is a no brainer.  
Bloom,Nicholas,Strongly Agree,10,
Blundell,Richard William,Agree,9,The majority of privatisations have been carried out effectively with proper auctions and subsequent price regulation.  
Carletti,Elena,Agree,7,
Danthine,Jean-Pierre,Strongly Agree,2,
De Grauwe,Paul,Agree,8,
Eeckhout,Jan,Strongly Agree,9,
Fehr,Ernst,Strongly Agree,7,
Freixas,Xavier,No Opinion,,"As a non-expert I cannot answer that is related to oligarchies, corruption and the end of the cold war. "
Fuchs-Schündeln,Nicola,Strongly Agree,8,
Galí,Jordi,Agree,6,
Garicano,Luis,Strongly Agree,9,
Giavazzi,Francesco,Strongly Agree,10,
Griffith,Rachel,Strongly Agree,9,
Guerrieri,Veronica,Strongly Agree,10,
Guiso,Luigi,Strongly Agree,1,
Hellwig,Martin,Did Not Answer,,
Honohan,Patrick,Strongly Agree,9,The answer would be less obvious if applied only to Western Europe
Kőszegi,Botond,Strongly Agree,10,
Kleven,Henrik,Agree,5,
Krahnen,Jan Pieter,Agree,8,"While productivity has increased almost surely, production may actually have dropped significantly, as industry was largely dismantled. "
Krusell,Per,No Opinion,,I have no knowledge in this area.
La Ferrara,Eliana,Agree,3,
Leuz,Christian,Strongly Agree,8,"During transition in those economies, we also saw productivity gains for state-owned firms but gains for privatized firms were much larger."
Meghir,Costas,Agree,7,
Neary,Peter,Agree,7,"Productivity has increased, though in Russia and other countries the distributional consequences have been regressive"
O'Rourke,Kevin,Agree,6,
Pagano,Marco,Strongly Agree,8,"This is not only in line with what economic theory predicts, but also consistent with much evidence."
Pastor,Lubos,Strongly Agree,10,
Persson,Torsten,Strongly Agree,8,"Even in East Germany only a few firms were viable at world-market prices at the end of communism (Akerlof et al, BPEA, 1990)"
Pissarides,Christopher,Strongly Agree,8,"governments are not good at running businesses, private owners know better how to increase productivity"
Portes,Richard,Strongly Agree,10,
Prendergast,Canice,Agree,8,
Reichlin,Lucrezia,Uncertain,3,
Repullo,Rafael,No Opinion,,
Rey,Hélène,Agree,6,
Schoar,Antoinette,Strongly Agree,9,
Van Reenen,John,Agree,7,
Vickers,John,Strongly Agree,7,"Gains have come from pro-market reforms more generally, but privatization was a pre-condition."
Voth,Hans-Joachim,Strongly Agree,9,
Weder di Mauro,Beatrice,Agree,6,
Whelan,Karl,Agree,4,Agree but moving from state-sponsored monopolies to badly-regulated private sector monopolies does not do much for the average consumer.
Wyplosz,Charles,Strongly Agree,9,"With rare exceptions, firms were highly inefficient beforehand. In some countries, private firms remain uncompetitive because of corruption."
Zilibotti,Fabrizio,Strongly Agree,9,
