Last Name,First Name,"It is best for society if the management of publicly traded corporations only considers the impact of their decisions on customers, employees, and community members to the extent that these effects feedback to affect shareholder wealth.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The typical chief executive officer of a publicly traded corporation is paid more than his or her marginal contribution to the firm's value.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Disagree,7,"Given the importance of externalities in today's world such as climate change and wars, it is very important that corporations take a wider perspective than simply maximizing shareholder wealth.",Uncertain,5,"Leadership by the CEO seems critical to firm success. Presumably the market ensures that some degree marginal benefit and marginal compensation are aligned.  However, there are many wedges such as externalities and taxation that may prevent this. may "
Antras,Pol,Uncertain,5,,Uncertain,6,
Bénassy-Quéré,Agnès,Did Not Answer,,,Did Not Answer,,
Blanchard,Olivier,Uncertain,7,"we have moved away from ""just max profit"".  But we realize that this is dangerous territory.  Probably better to incentivize better social behavior through rules and regulation, again with great care.  ",Disagree,7,The MPL of a good CEO can be very substantial.  
Bloom,Nicholas,Agree,8,"As long as it's within the law - environmental, social, anti-trust etc.",Uncertain,10,"This is impossible to know. Next month we will be asked ""how long is a piece of string"" :-). You can say the marginal contribution is >0, but comparing this to salary is not possible."
Blundell,Richard William,Did Not Answer,,,Did Not Answer,,
Botticini,Maristella,Uncertain,6,,Uncertain,6,
Carletti,Elena,Disagree,7,,Uncertain,6,
Danthine,Jean-Pierre,Strongly Disagree,10,In a world of unpriced externalities firms may create value for shareholders while being net value destroyer for society,Agree,7,
De Grauwe,Paul,Disagree,7,,Agree,8,
Eeckhout,Jan,Disagree,7,,Agree,7,"There are a lot of frictions...But even if there are none and managers get the marginal contribution to firm value, that does not mean firm value is efficient. Managers help build firm value through market power, and hence managers are overpaid relative to the efficient benchmark"
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Agree,9,,Strongly Agree,4,
Fuchs-Schündeln,Nicola,Disagree,6,,Strongly Agree,8,
Galí,Jordi,Agree,5,,Disagree,5,
Garicano,Luis,Agree,9,,Disagree,8,
Gorodnichenko,Yuriy,Uncertain,5,,Uncertain,5,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Disagree,3,,No Opinion,,
Guiso,Luigi,Agree,6,,Strongly Agree,6,
Guriev,Sergei,Agree,7,,No Opinion,,
Honohan,Patrick,Uncertain,8,Shareholder wealth may be the correct criterion in the long-run. But neglecting social and environmental considerations in a single-minded pursuit of immediate equity price increases can easily rebound later and result in lower equity prices long-term.,Uncertain,4,"Wide variance.  Some are, some not."
Javorcik,Beata,Disagree,7,,Uncertain,1,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
