Last Name,First Name,US antitrust investigations of the dominant firms in artificial intelligence are warranted by the need to foster competition and innovation in the technologies.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Seeking to slow the pace of artificial intelligence use and implementation would be a more effective means of assessing potential harms from the technologies than market deployment and ex post assessment.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,4,The ways in which tech companies suppress competition is not well understood.  The more that the competition authorities investigate whether they are doing this the more efficient the operation of the markets will be.,Uncertain,4,This is a very difficult question in my view.  For civilian uses letting people use it and see it how it works doesn't seem too problematic.  For defence applications it is very worrying but this is not discussed too much.
Antras,Pol,Agree,7,,Uncertain,3,
Bénassy-Quéré,Agnès,Strongly Agree,7,,Uncertain,1,Regulation may not necessarily slow down the deployment of AI if it provides legal security 
Blanchard,Olivier,Agree,4,,Uncertain,4,"I am not sure I know what slowing down the pace of AI use means in practice, and how it can be enforced.  "
Blundell,Richard William,Agree,5,,Uncertain,4,
Botticini,Maristella,Agree,7,,Uncertain,7,
Carletti,Elena,Uncertain,5,,Uncertain,4,
Danthine,Jean-Pierre,Strongly Agree,5,,Agree,5,
De Grauwe,Paul,Agree,7,,Agree,6,
Eeckhout,Jan,Strongly Agree,9,,Disagree,8,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Uncertain,4,,Uncertain,3,
Galí,Jordi,Agree,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,4,,Uncertain,2,
Griffith,Rachel,Did Not Answer,,,Did Not Answer,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Uncertain,5,,Agree,3,
Guriev,Sergei,Agree,6,,Uncertain,5,
Honohan,Patrick,Agree,3,"Probably hard to achieve effective enforcement though, with complexity of contractual structures and slow judicial processes…",Uncertain,1,Are there really effective tools for doing so?
Javorcik,Beata,Strongly Agree,6,,Uncertain,1,
Kőszegi,Botond,Agree,1,,Agree,6,
Krahnen,Jan Pieter,Uncertain,4,"This is less of an anti-trust issue than a natural monopoly problem. Either way, competition is required to keep power and profitability at bay. ",Disagree,6,"There is also an issue of global competition An international, coordinated slowdown of innovation is not going to happen. In this case it is better to be among the leaders than the followers. "
La Ferrara,Eliana,Strongly Agree,5,,Agree,4,
Leuz,Christian,Agree,2,,Uncertain,4,"One question is whether it can be slowed effectively (esp. internationally). But it will be even harder once AI firms make huge profits & have lobbying power. Also, unlikely markets and deployment will protect us against harm. So we need corp governance and some rules for AI."
Mayer,Thierry,Agree,4,,Uncertain,1,
Meghir,Costas,Agree,9,,Agree,7,
Pagano,Marco,Agree,3,,Agree,5,
Pastor,Lubos,Disagree,3,,Disagree,3,"We cannot slow down everyone's own pace of AI development, only our own. Those who slow down will soon lag behind."
Portes,Richard,Agree,4,,Disagree,4,
Prendergast,Canice,Agree,4,,Disagree,4,
Propper,Carol,Strongly Agree,5,,Strongly Disagree,6,
Rasul,Imran,Did Not Answer,,,Did Not Answer,,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Agree,6,,Uncertain,7,
Repullo,Rafael,Agree,2,,Disagree,2,
Rey,Hélène,Did Not Answer,,,Did Not Answer,,
Schoar,Antoinette,Agree,8,,Uncertain,8,I believe that better regulations to improve data privacy and giving consumers ownership over their data would be very useful. It could even improve competition. But purely slowing down adoption of AI makes those countries less competitive without changing the pace of adoption.
Storesletten,Kjetil,Uncertain,2,,Uncertain,3,
Sturm,Daniel,Agree,7,,Disagree,8,
Tenreyro,Silvana,Strongly Agree,7,,Agree,4,Chad Jones at Stanford makes a compelling case for the need to slow down the rapid pace of AI progress in order to reduce existential risk.
Van der Ploeg,Rick,Uncertain,3,,Agree,6,
Van Reenen,John,Did Not Answer,,,Did Not Answer,,
Vickers,John,Uncertain,4,,Uncertain,4,
Voth,Hans-Joachim,Uncertain,6,,Strongly Disagree,9,
Whelan,Karl,Agree,5,,Strongly Disagree,10,
Wyplosz,Charles,Agree,3,It's good to investigate but aren't these markets strongly contested?,Disagree,2,Can progress be slowed down?
