Last Name,First Name,a) The experience of the past 10 years suggests that Western-led economic sanctions do not substantially deter the target countries from their course of action.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"b) Had the G7 instituted a complete energy embargo in 2022, Russia's current military and economic position would be substantially worse.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,"c) Had the G7 instituted a complete energy embargo in 2022, the world economy would have faced substantially higher oil prices.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,4,"In many cases the sanctions are relatively easy to get around.  This seems to be the case for Russia, for example.  Even with Iran, where they seem more effective, they haven't yet resulted in submission.  With the new BRICS payment system they will be even less effective.",Uncertain,4,"It's not so clear.  They would have been able to sell to China and probably India still, so it's not clear a complete embargo would have made that much difference.",Uncertain,4,Again it's not so clear as the Russians could probably have gotten around them as mentioned in the previous answer.
Antras,Pol,Agree,4,,Agree,4,,Uncertain,4,
Bénassy-Quéré,Agnès,Agree,7,The impact of sanctions takes time + more difficult when the target initially runs a current-account surplus.,Uncertain,7,The problem is rather the leaks.,Uncertain,7,
Blanchard,Olivier,Agree,4,,Agree,5,,Agree,5,
Blundell,Richard William,Uncertain,4,,Agree,4,,Agree,3,
Botticini,Maristella,Agree,7,,Agree,7,,Uncertain,7,
Carletti,Elena,Agree,5,,Agree,5,,Uncertain,5,
Danthine,Jean-Pierre,Agree,3,,Agree,5,under the assumption that the embargo would be fully tight!,Uncertain,3,
De Grauwe,Paul,Agree,7,,Uncertain,5,,Uncertain,5,
Eeckhout,Jan,Disagree,7,,Agree,5,,Agree,7,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Agree,7,,Uncertain,4,,Uncertain,4,
Galí,Jordi,Agree,5,,Agree,6,,Agree,6,
Garicano,Luis,Disagree,8,We are not seeing the many things that have not happened because they were deterred. Would China have already invaded Taiwan for instance? Would Marocco take over Ceuta and Melilla if sanctions were not a risk?,Strongly Agree,7,"I believe that there was a window of panic in March 2022 in which a financial crisis would have taken place if the financial sanctions had been complemented with OIl and gas export bans, see my blog post below, discussing Oleg Itskhoki and Elina Ribakova (2024)",Agree,7,"There was no shadow oil tanker fleet, and most oil tankers are EU operated (the question sould include Greece!),, there is not enough storage, so probably many wells would have broken down. Plus gas through pipelines cannot be instantaneously sent as LNG."
Gorodnichenko,Yuriy,Strongly Disagree,9,,Strongly Agree,10,,Uncertain,3,More supply would come online to replace Russian oil
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Guiso,Luigi,Disagree,7,,Agree,7, evidence in a  recent paper by Alexey Makarin from  MIT sloan strongly supports the idea that sanctions on Russia did harm the country   ,Agree,6,
Guriev,Sergei,Uncertain,5,,Strongly Agree,8,,Strongly Agree,8,
Honohan,Patrick,Uncertain,1,Depends on circumstances and design of sanctions. ,Disagree,1,"Leakage to China, India etc would still have been important. ",Disagree,1,Again the leakage would have been substantial.
Javorcik,Beata,Strongly Agree,10,Effectiveness of trade sanctions in limited by trade diversion and sanction circumvention,Agree,8,,Agree,6,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,5,"Sanctions are typically not changing decisions of the sanctioned party - but they nevertheless increase the cost of pursuing a particular goal and, more importantly, they offer a benefit for the time the party drops its sanctioned activity - which creates a  positive motivation.",Disagree,5,"Complete energy embargo is difficult to implement, because energy is not always directly attributable to a particular source, and energy can be traded in disguise, e.g. after transformation into a different form (e.g. coal-to-electricity)",Uncertain,4,"Price effect is difficult to forecast, because of the argument given in the previous question. Nite that higher prices increase the incentive for hidden exports by sanctioned countries. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Uncertain,1,Question sets very high bar. Effects on political action tend to be weak but sanctions have imposed substantial econ harm on targeted ctries in many cases and we don't know how many actions were not taken for fear of this harm. For evidence on harm and effects see links below.,No Opinion,,,No Opinion,,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Uncertain,9,,Agree,9,,Uncertain,9,
Pagano,Marco,Agree,5,,Agree,5,,Agree,5,
Pastor,Lubos,Agree,4,,Uncertain,4,,Uncertain,4,
Portes,Richard,Agree,6,,Strongly Agree,8,,Disagree,8,
Prendergast,Canice,Uncertain,5,,Uncertain,4,,Uncertain,4,
Propper,Carol,Strongly Agree,4,,Strongly Agree,4,,Agree,3,
Rasul,Imran,Agree,4,,Agree,7,,Agree,7,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
