Last Name,First Name,New funding and immigration schemes to attract top scientific talent from abroad to EU universities would have a measurable impact on European innovation over a five year horizon.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.
Allen,Franklin,Uncertain,4,I think it depends on the level of funding available.  European academic salaries are significantly behind US academic salaries.  For scientists and engineers there is also the issue of labs and hiring the rest of the teams.
Antras,Pol,Agree,6,
Bénassy-Quéré,Agnès,Agree,5,
Blanchard,Olivier,Agree,7,"obviously depends on the funds the countries will be willing to spend.  Not obvious that it will be enough
"
Blundell,Richard William,Agree,4,
Botticini,Maristella,Strongly Agree,9,
Carletti,Elena,Agree,7,
Danthine,Jean-Pierre,Uncertain,7,"Clearly would depend on the volume of the initiative, the 5 year horizon seems short for a measurable impact."
De Grauwe,Paul,Uncertain,6,
Eeckhout,Jan,Agree,9,
Freixas,Xavier,Strongly Agree,5,
Fuchs-Schündeln,Nicola,Agree,7,
Galí,Jordi,Uncertain,6,
Garicano,Luis,Did Not Answer,,
Gorodnichenko,Yuriy,Strongly Agree,9,
Griffith,Rachel,Strongly Agree,9,
Guerrieri,Veronica,Agree,3,
Guiso,Luigi,Did Not Answer,,
Guriev,Sergei,Strongly Agree,8,
Honohan,Patrick,Agree,1,It's a rare opportunity.
Javorcik,Beata,Uncertain,1,
Kőszegi,Botond,Did Not Answer,,
Krahnen,Jan Pieter,Agree,5,"I agree, but for a different reason. A better performance of researchers in Europe may follow from more intensive collaboration of EU and US researchers - irrespective of whether there is migration or not. There will be more funds available in Europe, also from US sources."
La Ferrara,Eliana,Agree,5,
Leuz,Christian,Agree,3,I agree directionally w/statement but not sure how big the effect will be over 5 yrs. This is a short period for science & scientific discoveries to become innovations. Attracting top talent requires not just funding and visas but also improving European research environments.
Mayer,Thierry,Strongly Agree,9,"It seems to be the ideal time for a coordinated initiative 
at the European level to design a scheme aimed at  selecting promising young scientists and give them funding for moving to Europe . Could be coordinated by ERC (which  also includes UK,  Switzerland and many others)."
Meghir,Costas,Strongly Agree,10,
Pagano,Marco,Strongly Agree,10,
Pastor,Lubos,Strongly Agree,4,
Portes,Richard,Agree,7,
Prendergast,Canice,Uncertain,4,
Propper,Carol,Agree,6,
Rasul,Imran,Agree,8,
Reichlin,Lucrezia,Agree,4,
Reis,Ricardo,Agree,8,"Yes, but those are necessary, not sufficient."
Repullo,Rafael,Agree,8,
Rey,Hélène,Agree,7,historical precedent of emigration of scientists form nazi Germany to the US
Schoar,Antoinette,Did Not Answer,,
Storesletten,Kjetil,Agree,5,
Sturm,Daniel,Strongly Agree,6,
Tenreyro,Silvana,Agree,5,
Van der Ploeg,Rick,Strongly Agree,7,
Vickers,John,Agree,5,
Voth,Hans-Joachim,Agree,7,
Whelan,Karl,Disagree,7,"Economists' understanding of the innovation process is limited. Successful translation of scientific work into economic impact is a complex process, requiring lots of infrastructure and expertise that is not in place in Europe. It may take a lot longer than 5 years."
Wyplosz,Charles,Agree,3,"Maybe yes, but not all countries will be able attract top talent from the US."
