Last Name,First Name,"The combination of scientific progress, technological innovation, and openness to new ideas underpinned the emergence of sustained economic growth in the Industrial Revolution.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,"The process of creative destruction – in which innovation continually leads to the disruptive displacement of existing jobs, products, firms, and industries – has been a substantial contributor to sustained economic growth.",Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,3,In the UK Industrial Revolution there was scientific and technological progress that was exploited by private sector firms. English speaking countries by and large followed this model. The role of the government versus private firms differed in other countries.,Uncertain,3,"That's the Anglo-Saxon view. In parts of Europe Asia, there has been significant progress at various stages with the structure of industries and firms being more stable. Again the role of the government has also varied significantly across countries."
Antras,Pol,Agree,9,Among other factors,Strongly Agree,10,
Bénassy-Quéré,Agnès,Strongly Agree,10,,Strongly Agree,10,
Blanchard,Olivier,Agree,8,hard to disagree with such a general statement,Agree,8,hard to disagree with such a general statement
Blundell,Richard William,Agree,6,,Agree,7,
Botticini,Maristella,Agree,9,,Agree,8,
Carletti,Elena,Agree,6,,Agree,6,
Danthine,Jean-Pierre,Strongly Agree,8,,Strongly Agree,8,
De Grauwe,Paul,Agree,8,,Strongly Agree,8,
Eeckhout,Jan,Strongly Agree,8,,Agree,8,
Fuchs-Schündeln,Nicola,Strongly Agree,8,,Strongly Agree,8,
Galí,Jordi,Strongly Agree,6,,Strongly Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,8,,Agree,8,
Griffith,Rachel,Strongly Agree,6,,Strongly Agree,10,
Guerrieri,Veronica,Agree,7,,Uncertain,3,
Guiso,Luigi,Did Not Answer,,,Did Not Answer,,
Guriev,Sergei,Strongly Agree,8,,Agree,8,
Honohan,Patrick,Strongly Agree,6,,Strongly Agree,6,
Javorcik,Beata,Strongly Agree,9,,Strongly Agree,9,
Kőszegi,Botond,Did Not Answer,,,Did Not Answer,,
Krahnen,Jan Pieter,Agree,3,,Strongly Agree,6,"Countries that protect industries, and thus firms, have typivally been punished with low growth thereafter. The most recent example is the Covid response in Germany that offered firms ample access to finance despite being in a L-shaped downturn rather than a V-shape, as in US. "
La Ferrara,Eliana,Did Not Answer,,,Did Not Answer,,
Leuz,Christian,Agree,4,,Agree,4,
Mayer,Thierry,Strongly Agree,8,,Agree,7,
Meghir,Costas,Strongly Agree,10,,Strongly Agree,10,
Pagano,Marco,Strongly Agree,8,,Agree,8,
Pastor,Lubos,Strongly Agree,7,,Strongly Agree,7,
Portes,Richard,Strongly Agree,7,,Uncertain,7,
Prendergast,Canice,Agree,8,,Agree,8,
Propper,Carol,Strongly Agree,4,,No Opinion,,
Rasul,Imran,Strongly Agree,8,,Agree,8,
Reichlin,Lucrezia,Agree,8,,Agree,8,
Reis,Ricardo,Agree,8,,Agree,8,
Repullo,Rafael,Strongly Agree,6,,Strongly Agree,6,
Schoar,Antoinette,Strongly Agree,9,,Agree,9,
Storesletten,Kjetil,Strongly Agree,6,,Strongly Agree,8,
Sturm,Daniel,Did Not Answer,,,Did Not Answer,,
Tenreyro,Silvana,Did Not Answer,,,Did Not Answer,,
Van der Ploeg,Rick,Strongly Agree,7,,Agree,7,
Vickers,John,Agree,5,,Agree,8,
Voth,Hans-Joachim,Agree,7,,Strongly Agree,8,
Wyplosz,Charles,Strongly Agree,8,,Strongly Agree,8,
