Last Name,First Name,The US intervention in Venezuela will have no measurable impact on the world oil price over the next 12 months.,"Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in the profitability of US energy companies over the next five years.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The US intervention will lead to a substantial increase in economic growth in Venezuela over the next five years.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,"Given the pushback we are already seeing from some of the US oil majors and the chaotic current state of the Venezuelan oil industry, it seems unlikely that there will be a major increase in oil production.  Firms there like Chevron may be able to but are unlikely to affect price",Disagree,4,"Given the current situation in Venezuela, it seems unlikely that there will be enough changes to allow a broad range of energy firms to enter. ",Disagree,4,Things may change but the current plan seems to be for the US to increase oil production but otherwise not intervene too much.  In this case it seems likely not much will change. 
Antras,Pol,Disagree,5,,Uncertain,5,,Agree,8,
Auriol,Emmanuelle,Agree,5,,Strongly Disagree,6,,Uncertain,5,
Bénassy-Quéré,Agnès,Uncertain,4,,Disagree,3,,Uncertain,1,
Blanchard,Olivier,Agree,7,very hard to substantially increase production over that horizon,Uncertain,7,cost of production is high.  Close to current price.  And price may come down,Uncertain,5,"could if political transition reasonably smooth.  probability of this < ,5"
Blundell,Richard William,Uncertain,4,,Uncertain,4,,Uncertain,4,
Botticini,Maristella,Uncertain,7,,Uncertain,7,,Uncertain,7,
Cagé,Julia,Agree,4,,Disagree,4,,Strongly Disagree,5,
Carletti,Elena,Uncertain,4,,Uncertain,4,,Uncertain,3,
Danthine,Jean-Pierre,Agree,3,,Uncertain,3,,Uncertain,3,
De Grauwe,Paul,Agree,7,,Disagree,6,,Disagree,6,
Eeckhout,Jan,Uncertain,7,,Uncertain,7,,Uncertain,1,
Fatás,Antonio,Agree,3,,Uncertain,3,,Uncertain,3,
Fuchs-Schündeln,Nicola,Agree,9,,Uncertain,8,,Uncertain,9,
Galí,Jordi,Agree,6,,No Opinion,,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Uncertain,3,,Uncertain,3,,Uncertain,3,
Griffith,Rachel,No Opinion,,,No Opinion,,,No Opinion,,
Guerrieri,Veronica,Disagree,5,,Uncertain,5,,Uncertain,5,
