Last Name,First Name,"By enabling women’s life choices about education, work and family, the contraceptive pill made a substantial contribution to closing gender gaps in the labor market for professionals.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Gender gaps in today’s labor market arise less from differences in educational and occupational choices than from the differential career impact of parenthood and social norms around men's and women’s roles in childrearing.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.,The gender gap in pay would be substantially reduced if firms had fewer incentives to offer disproportionate rewards to individuals who work long and/or inflexible hours.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Allen,Franklin,Agree,5,One issue is how much it was the pill compared to general advancement in contraceptive techniques.,Agree,1,"While there are many households where this is not true, there are others where traditional roles are followed. ",Uncertain,5,Difficult to say.  I don't know if any evidence in this regard.
Antras,Pol,Agree,7,,Agree,7,,Agree,8,
Bénassy-Quéré,Agnès,Agree,8,,Disagree,6,I think both factors matter.,Agree,5,
Blanchard,Olivier,Agree,2,,Agree,3,,Uncertain,3,"what are those ""incentives""? "
Bloom,Nicholas,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Blundell,Richard William,Agree,8,,Agree,5,,Uncertain,5,
Botticini,Maristella,Agree,9,,Agree,9,,Agree,9,
Carletti,Elena,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Danthine,Jean-Pierre,Agree,3,,Agree,3,,Agree,3,
De Grauwe,Paul,Agree,7,,Agree,7,,Agree,7,
Eeckhout,Jan,Agree,8,,Agree,9,,Agree,6,
Fehr,Ernst,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Freixas,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fuchs-Schündeln,Nicola,Strongly Agree,9,,Strongly Agree,8,"Occupational choices also play a role, but are influenced by social norms and (expectations of) motherhood.",Agree,8,"I am unsure, though, what the incentives of firms are to reward long hours (it is at least not clear in all cases). "
Galí,Jordi,Agree,6,,Agree,6,,Agree,6,
Garicano,Luis,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Gorodnichenko,Yuriy,Agree,5,,Agree,5,,Uncertain,7,
Griffith,Rachel,Strongly Agree,9,,Strongly Agree,10,,Strongly Agree,10,
Guerrieri,Veronica,Strongly Agree,7,,Agree,7,,Uncertain,7,
Guiso,Luigi,Agree,6,,Uncertain,5,,Disagree,6,
Guriev,Sergei,Strongly Agree,8,,Strongly Agree,8,,Agree,6,
Honohan,Patrick,Agree,4,,Agree,4,,Agree,4,
Javorcik,Beata,Strongly Agree,8,,Strongly Agree,10,,Strongly Agree,10,"Just like some professions disproportionately reward working long and inflexible hours, the same is true of firms working across time zones. The gender wage gap in such firms goes up as the business hour overlap with their export markets goes down."
Kőszegi,Botond,Agree,2,,Agree,2,,Agree,1,
Krahnen,Jan Pieter,Agree,4,,Disagree,4,,Uncertain,6,
La Ferrara,Eliana,Strongly Agree,9,,Agree,9,,Agree,8,
Leuz,Christian,Agree,3,,Agree,5,Agree with the statement for developed and fairly advanced economies. ,Agree,4,
Mayer,Thierry,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Meghir,Costas,Strongly Agree,9,,Agree,9,,Uncertain,8,
Pagano,Marco,Uncertain,2,,Strongly Agree,6,,Strongly Agree,6,
Pastor,Lubos,Agree,1,,Agree,1,,Agree,1,
Persson,Torsten,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Pissarides,Christopher,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Portes,Richard,Strongly Agree,7,,Agree,7,,Agree,7,
Prendergast,Canice,Agree,7,,Uncertain,7,"The ""where"" issue seems key here. In the US, I'd say almost surely. Portugal? Brazil? Saudi Arabia? Seems far less likely.",Uncertain,7,"It the US at least, increasingly women score better is all sorts of tests than men. A feature of the labor market recently has been a complementarity between talent and hours, effort etc. So its not clear is cutting off that channel harms women, despite their greater family role."
Propper,Carol,Agree,6,,Agree,7,,Agree,5,
Rasul,Imran,Strongly Agree,7,,Strongly Disagree,8,,Agree,8,
Reichlin,Lucrezia,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Reis,Ricardo,Strongly Agree,7,,Agree,7,,Agree,6,
Repullo,Rafael,Agree,4,,Agree,4,,Agree,4,"However, the key issue is the origin of firms' incentives to offer disproportionate rewards to individuals who work long and/or inflexible hours?"
Rey,Hélène,Strongly Agree,8,,Agree,8,,Agree,8,
Schoar,Antoinette,Agree,7,,Disagree,7,,Uncertain,7,
Storesletten,Kjetil,Agree,4,,Agree,5,,Uncertain,6,Reducing firms' possibilities to offer long-hours incentives could backfire by inducing firms to use other means to attract individuals who will work long hours. Firms could for example start doing more (statistical) discrimination at the hiring stage
Sturm,Daniel,Strongly Agree,6,,Agree,5,,Agree,6,
Van der Ploeg,Rick,Strongly Agree,5,,Agree,5,,Strongly Agree,5,
Van Reenen,John,Agree,5,,Agree,8,,Agree,6,
Vickers,John,Agree,4,,Agree,4,,Uncertain,3,
Voth,Hans-Joachim,Strongly Agree,8,,Agree,7,,Uncertain,5,
Whelan,Karl,Agree,10,,Agree,8,,Uncertain,5,
Wyplosz,Charles,Agree,4,,Uncertain,2,,Uncertain,2,
