Last Name,First Name,"A bipartisan bill to cap credit card interest rates at 10% has been introduced recently in the House and the Senate: https://ocasio-cortez.house.gov/media/press-releases/ocasio-cortez-luna-introduce-bill-cap-credit-card-interest-rates-10


Capping credit card interest rates at 10% would make most users measurably better off.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Capping credit card interest rates at 10% would lead to a substantial reduction in access to credit for low-income borrowers.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Disagree,7,"Relatively few borrowers will experience lower rates while retaining credit access and experiencing no increase in other card costs.  A better approach would be to cap late payment fees, which have very high implicit APRs.",Agree,8,Low-income borrowers often have low credit scores that make card issuers unwilling to lend at rates below 10%.
Cochrane,John,Strongly Disagree,8,"Confidence not 100% because banks and credit card issuers are not as competitive as they should be, thanks to regulatory protection. Still, capping rates is most likely to lead to the same profits, less credit, and more fees. ",Strongly Agree,8,"Banks are almost sure to tighten credit standards, and send less financially secure people off to payday lenders or underground. AOC et al might try to force cross-subsidies, as Congress does with medicine, which will just screw things up more. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Disagree,7,,Agree,9,
Du,Wenxin,Uncertain,6,,Agree,5,
Duffie,Darrell,Disagree,3,"With no accompanying credit access rules, this would likely imply low card credit for low-income consumers.",Agree,3,"With no other rules for credit provision, many low-income consumers would probably be denied card credit."
Eberly,Janice,Disagree,8,"The high-credit-quality borrowers who obtain a 10% credit card borrow little, so they benefit little.  Where would those shut out of a 10% card shift? - small loans or credit competitive with cards, or more expensive alternatives. Empirically, available credit tends to contract.",Agree,5,"The magnitude ""substantial"" is hard to know since firms will innovate and provide other products, depending on the economic and regulatory environment.  So other things equal, credit declines, but innovation could provide other forms of credit."
Fama,Eugene,Uncertain,1,"Question is too vague. Depends on what you mean by ""most.""",Agree,5,
Gabaix,Xavier,Strongly Disagree,8,"Disclosure is good, to avoid traps; but not interest rate caps / price controls.",Agree,7,
Goldstein,Itay,Uncertain,5,,Uncertain,5,
Graham,John,Agree,8,,Agree,8,
Harvey,Campbell,Disagree,7,"Those that are paying 20%+ interest might seem to be better off in the short-term - but they might find their credit line cut or their card cancelled in the future. Further, other fees might be imposed. ",Strongly Agree,8,
Hong,Harrison,Did Not Answer,,,Did Not Answer,,
Jiang,Wei,Did Not Answer,,,Did Not Answer,,
Kaplan,Steven,Strongly Disagree,8,,Strongly Agree,7,
Kashyap,Anil,Disagree,5,,Strongly Agree,9,
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Strongly Disagree,8,,Strongly Agree,8,
Lo,Andrew,Strongly Disagree,1,Supply and Demand,Strongly Agree,1,"Lowest credit quality borrowers are the first to be excluded from credit markets because lenders have no incentive to lend to them with a 10% cap, given their default rates."
Lowry,Michelle,Uncertain,5,"Key question is what else would change. First, more people might decide to carry credit card debt instead of getting other loans(estimated 56% people currently pay off their bill each month)? Second, more people might rely on loan sharks, bc they would be denied credit cards.",Agree,4,
Ludvigson,Sydney,Disagree,9,,Agree,8,
Maggiori,Matteo,Strongly Disagree,7,,Uncertain,4,
Matvos,Gregor,Disagree,9,,Agree,8,
Moskowitz,Tobias,Strongly Disagree,10,"Price restrictions on credit result in quantity restrictions and since borrowers were willing to borrow at the higher price, they will clearly be worse off.",Strongly Disagree,10,"There is a lot of evidence on this, going back centuries."
Nagel,Stefan,Uncertain,4,"It's possible than many users would gain net from reduced markups, while (possibly large) surplus losses concentrated among a smaller number of users who lose access to credit",Agree,4,
Parker,Jonathan,Strongly Disagree,8,"Capping interest rates shuts many people out of credit markets, and a 10% cap -- far below the market average -- would cut out many riskier and harder-to-serve potential borrowers, pushing them into shadow debt markets or shutting them out of emergency borrowing. ",Strongly Agree,1,
Parlour,Christine,Disagree,7,Quantity adjustments are the natural consequence of price controls,Agree,7,
Philippon,Thomas,Disagree,10,,Agree,10,
Puri,Manju,Disagree,8,,Strongly Agree,8,
Roberts,Michael,Disagree,8,,Agree,8,
Sapienza,Paola,Disagree,6,"There will be lots of potential borrowers who will be cut out of the market. The question ask about ""most users."" Some users may be better off, but not most.  ",Strongly Agree,9,
Seru,Amit,Disagree,7,"Borrowers may face additional fees, or some lenders might withdraw from the market entirely. Ultimately, it comes down to the outside options available for the most constrained or risky borrowers.",Agree,7,
Stambaugh,Robert,Uncertain,3,,Strongly Agree,10,
Starks,Laura,Strongly Disagree,6,,Agree,6,
Stein,Jeremy,Uncertain,3,,Agree,7,
Stroebel,Johannes,Disagree,10,,Agree,10,
Titman,Sheridan,Disagree,8,,Agree,8,
Van Nieuwerburgh,Stijn,Disagree,4,Market clearing interest rate may be well above 10% for some groups who would then lose access to credit. ,Agree,5,
Whited,Toni,Strongly Disagree,10,,Strongly Agree,10,
