Last Name,First Name,"The two major proxy advisory firms – Glass Lewis and Institutional Shareholder Services – have announced their intention to offer multiple perspectives to clients rather than single voting recommendations – see, for example: https://www.ft.com/content/7860f94c-7b1c-49c9-9f4c-a561ee39ee31



Proxy advisory firms that provide general guidance on corporate governance, diversity and environmental practices will create measurably more shareholder value for investor clients than proxy advisory firms that provide specific voting recommendations.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Companies that scale back on their diversity, equity, and inclusion initiatives are likely to see a measurable improvement in their corporate value and performance.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Agree,5,,Uncertain,4,
Cochrane,John,Agree,7,It would be better if proxy firms staid out of politics entirely. More competition in the business and non-voting shares for those who want to farm out their votes would also help. ,Agree,7,
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Uncertain,5,,Uncertain,5,
Du,Wenxin,Uncertain,2,,Disagree,5,
Duffie,Darrell,Uncertain,10,"The effect may exist, but I am uncertain whether it is measurable.",Uncertain,4,"I am uncertain whether the effect exists, and even if it exists,, whether it would be measurable. "
Eberly,Janice,Did Not Answer,,,Did Not Answer,,
Fama,Eugene,Uncertain,1,In my experience their role always has been just to provide information. No asset manager ever want to say that they just vote with the proxy advisors.,Agree,5,
Gabaix,Xavier,Uncertain,3,,Uncertain,3,
Goldstein,Itay,Uncertain,8,,Uncertain,8,
Graham,John,Disagree,5,,Disagree,7,
Harvey,Campbell,Uncertain,5,"While I believe that providing a diversity of viewpoints is better than a single viewpoint, it is not obvious this will create ""measurably"" more shareholder value. ",Uncertain,5,"Depends on the company. For a firm that implemented aggressive policies that sacrificed shareholder value for other objectives, there could be a ""measurable"" increase. But, most companies had incremental policies and, if changed, it is not obvious there would be a big impact.  "
Hong,Harrison,Uncertain,5,,Agree,6,
Jiang,Wei,Disagree,7,,Uncertain,5,
Kaplan,Steven,Uncertain,8,"GL or ISS were very mixed in their recommendations.  No evidence they added value.  Information, but no recommendations, probably a modest improvement.",Agree,2,"There is little serious evidence that DEI increases shareholder value.  Scaling it back reduces an imposed cost and seems more likely than not to  increase shareholder value, but there is uncertainty on the ""measurably"" part."
Kashyap,Anil,Agree,3,,Uncertain,3,"there is a lot of heterogeneity and window dressing in what was being claimed vs done, too hard to say what this might mean "
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Uncertain,3,,Disagree,3,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Disagree,8,,Strongly Disagree,9,
Ludvigson,Sydney,No Opinion,,,Disagree,7,
Maggiori,Matteo,Uncertain,1,,Uncertain,1,
Matvos,Gregor,Disagree,4,Not sure they have a first order impact on shareholder value as is. ,Uncertain,2,"Sorting across firms by employees, customers, and other stakeholders who differ in preferences for these initiatives makes it difficult to predict the effect in equilibrium.  "
Moskowitz,Tobias,Did Not Answer,,,Did Not Answer,,
Nagel,Stefan,Uncertain,4,,Uncertain,5,
Parker,Jonathan,Disagree,3,"Proxy voting generally has little impact on corporate decisions except where value is overwhelmingly clear, and this will be both more costly and lead to more divided votes. Unlikely to lead to measurable differences.",Uncertain,6,"Companies are pretty good both at re-branding and at hiring and retaining talent. I suspect that the programs that helped them get and retain talent will continue, as in the example of JPMorgan trading DEI for DOI."
Parlour,Christine,Did Not Answer,,,Did Not Answer,,
Philippon,Thomas,Agree,7,,Disagree,9,
Puri,Manju,Agree,6,,Uncertain,7,
Roberts,Michael,Uncertain,8,,Uncertain,8,Depends on scale and NPVs of such programs. 
Sapienza,Paola,Did Not Answer,,,Did Not Answer,,
Seru,Amit,Strongly Disagree,8,,Uncertain,5,
Stambaugh,Robert,Uncertain,3,,Uncertain,3,
Starks,Laura,Uncertain,6,Proxy advisory firms can offer both. The market for advisory services will determine which advisory services are the most valuable to investors. ,Strongly Disagree,7,This would require assuming that the costs of DEI initiatives were large enough to have a measurable effect. Where is the empirical evidence?
Stein,Jeremy,Uncertain,3,,Uncertain,3,
Stroebel,Johannes,Did Not Answer,,,Did Not Answer,,
Titman,Sheridan,Uncertain,3,,Uncertain,3,
Van Nieuwerburgh,Stijn,Disagree,5,"Real driver of shareholder value is the governance outcome (board quality, executive accountability, capital allocation, sustainability strategy) not whether a proxy advisor offers “general” vs “specific” advice. Actionable advise is more useful.",Disagree,5,"Academic and industry studies consistently find that companies with diverse leadership teams tend to outperform on innovation, risk management, and long-term returns. Correlation is not causation, but there’s no credible evidence to the contrary either."
Whited,Toni,Strongly Agree,5,,Agree,3,
