Last Name,First Name,Public companies that pursue social and environmental initiatives bear no measurable costs (in terms of lower profits) relative to similar companies that do not pursue such initiatives.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Public companies that pursue social and environmental initiatives benefit from a measurably lower cost of capital than similar companies that do not pursue such initiatives.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"There are substantial social benefits when managers of public companies make choices that account for the impact of their decisions on customers, employees, and community members beyond the effects on shareholders.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Disagree,6,"This is unlikely on prior grounds (free lunches are very rare), although evidence is scarce.",Agree,8,"There is a modest negative effect of ""greenness"" on the cost of capital.  To measure it, it is important to use forward-looking measures of expected returns.",Uncertain,3,"It is true that there are negative externalities that can be ameliorated by socially conscious decisions of corporate managers; however, a broad mandate can also empower managers to pursue their own objectives, harming shareholders without compensating benefits to stakeholders."
Cochrane,John,Strongly Disagree,8,"By definition, no? The definition of pursuing such initiatives is, ""beyond the point of profit maximization."" Corporations are darn clean and responsible on their own, just to maximize profits. But that's not the usual meaning of initiatives. ",Strongly Disagree,8,"Cost of capital is the return to shareholders and bondholders. Even lower profits can just mean lower price. Nobody but governments cut your interest rate for fashionable virtue. Only if a substantial number of investors basically want to make a charitable contribution, doubtful ",Disagree,6,"Wiggle room in the wording. Companies that trash the environment, sell terrible products, offend community, mistreat workers, don't make money. Pure profit maximizers do all that. Beyond that, corporations are a terrible vehicle for social change. "
Cornelli,Francesca,Uncertain,3,Depending on the strategy followed and the industry taken the effect can be positive or negative ,Agree,3,ESG indexes often lower the cost of capital,Agree,4,If the right strategy is followed and the correct social benefits are targeted that is true 
Diamond,Douglas,Disagree,8,,Disagree,8,,Disagree,6,
Du,Wenxin,Disagree,8,,Uncertain,8,,Strongly Agree,9,
Duffie,Darrell,Agree,4,"I assume an ""ESG"" marketing objective for some types of firms. To maximize equity market value, some such firms are probably wiling to incur ESG-related costs in order to increase demand for their products and services, resulting in little or no overall profit disadvantage. ",Agree,8,"Theoretically, the effect is not zero but small (e.g. Berk and van Binsbergen, 2024). If there is literally no effect, however, then issuances and marketing of green bonds have been an irrational waste of effort. Some investors clearly want to buy green securities. ",Agree,5,"Some firms do significant good for others without much cost to equity value. [At a value-maximizing strategy, there is a small marginal effect on value of a change in strategy that could have a large marginal benefit for other stakeholders  (first order condition).] "
Eberly,Janice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fama,Eugene,Strongly Disagree,8,"There may be special cases where this is true, but the question implies always. ",No Opinion,,I think Pastor and Stambaugh come to the opposite conclusion for the general case.,Strongly Disagree,7,
Gabaix,Xavier,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Goldstein,Itay,Uncertain,8,,Uncertain,8,,Uncertain,8,
