Last Name,First Name,"Stock markets around the world have seen an increasing concentration of trades in or near the closing auction. In the US, for example, about a third of all S&P 500 stock trades are now executed in the final ten minutes of the session, up from 27% in 2021.

 

The increased concentration of trading in the final minutes of the trading day has a measurably detrimental effect on market quality.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Strict indexing implemented with trading at the close to avoid tracking error creates a measurable performance drag that could be avoided with more flexible passive strategies.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,,
Campbell,John,Agree,6,"I believe this is true because a high proportion of traders at the close are using market orders rather than limit orders.  (With sufficient intensity of limit orders, the opposite could be true.)",Agree,8,,,,,,,,,,,,,,,,,,,
Cochrane,John,Disagree,5,"I know of little solid understanding why this happens, less still that it reflects an externality -- some reason why if people don't like it they can't do otherwise. Trading naturally bunches in time.  Let's stop chicken-littleing every interesting feature of markets. ",Disagree,7,"Nothing stops an index fund from choosing a different strategy, or people from choosing a different fund. ",,,,,,,,,,,,,,,,,,
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Diamond,Douglas,Disagree,6,,Agree,7,,,,,,,,,,,,,,,,,,,
Du,Wenxin,Disagree,8,,Uncertain,5,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Uncertain,9,"Concentrated trading at the close improves liquidity at the close, reduces liquidity away from the close. For the average trade, market depth and liquidity are better. But how much weight should one apply to the reduced intra-day liquidity, and the resulting delays?",Disagree,9,"Concentrating at the close should improve closing-market market depth. Although informed traders could also gravitate to the close, creating adverse-selection costs, welfare need not deteriorate (Admati and Pfleiderer, 1988).",,,,,,,,,,,,,,,,,,
Eberly,Janice,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Fama,Eugene,Disagree,1,I don’t know of any evidence on this one.,Strongly Disagree,8,,,,,,,,,,,,,,,,,,,
Gabaix,Xavier,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Goldstein,Itay,Uncertain,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Graham,John,Disagree,6,,Disagree,6,,,,,,,,,,,,,,,,,,,
Harvey,Campbell,Agree,8,"While US markets are relatively liquid, the growing emphasis on trade at close runs the risk of increasing slippage - especially for smaller names. ",Agree,8,"It is better to increase the tracking error budget to allow for more efficient minimization of slippage (i.e., gradually working the trade). We know that binding tracking error budgets impose a constraint - the cost of which is often decreased performance. ",,,,,,,,,,,,,,,,,,
Hong,Harrison,Uncertain,8,,Agree,7,,,,,,,,,,,,,,,,,,,
Jiang,Wei,Disagree,4,,Agree,4,,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Uncertain,3,,Uncertain,3,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,No Opinion,,,Agree,3,,,,,,,,,,,,,,,,,,,
Koijen,Ralph,Uncertain,4,,Agree,5,,,,,,,,,,,,,,,,,,,
Kuhnen,Camelia,Agree,4,,Uncertain,1,,,,,,,,,,,,,,,,,,,
