Last Name,First Name,A substantial loss of Federal Reserve independence would substantially increase the overall nominal cost of U.S. government borrowing.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,A substantial loss of Federal Reserve independence would substantially raise risk premia on long-term U.S. government debt.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Strongly Agree,8,,Strongly Agree,6,"In a regime of fiscal dominance, inflation expectations will rise when the government's fiscal position deteriorates, driving bond returns down in bad times and therefore raising the risk premium demanded by investors."
Cochrane,John,Uncertain,5,"Who cares about the nominal, not real cost of borrowing? If you mean inflation, it is not clear that the Fed always wants less inflation than congress or president. If you mean real costs,  the Fed must have limited power to lower real rates for very long without repression",Uncertain,6,"By ""risk premia"" do you mean inflation premiums or default premiums? Both might rise. Don't rule out bondholder haircuts in a crisis. "
Cornelli,Francesca,Agree,5,,Agree,5,
Diamond,Douglas,Agree,8,Governments without independent central banks and with large nominal debts have taken monetary policies that increase inflation. The market will anticipate this and price in more inflation. ,Agree,7,Uncertainty about how much inflation will be caused by future governments will choose in bad versus good times could increase their real interest rates.  Government bonds in the past have offered low returns to investors because they are very safe.  This may disappear. 
Du,Wenxin,Strongly Agree,10,,Strongly Agree,10,
Duffie,Darrell,Strongly Agree,10,,Strongly Agree,10,
Eberly,Janice,Agree,8,,Agree,8,
Fama,Eugene,Agree,9,,Agree,8,
Gabaix,Xavier,Agree,8,,Agree,6,
Goldstein,Itay,Agree,7,,Agree,7,
Graham,John,Agree,8,,Agree,8,
Harvey,Campbell,Uncertain,5,"I agree it would increase the cost of borrowing but it is not obvious it would ""substantially"" increase the cost of borrowing. Currently, there is no credible competitor to the dollar as reserve currency - even with a less independent central bank. ",Uncertain,5,"I agree the risk premium will increase. It is not obvious it would ""substantially"" increase. A less independent central bank will cause some to diversify their U.S. holdings. De-dollarization is impt. China has established 31 bilateral swap lines consistent with de-dollarization."
Hong,Harrison,Agree,8,,Agree,8,
Jiang,Wei,Strongly Agree,10,,Uncertain,5,
Kaplan,Steven,Agree,7,,Agree,7,
Kashyap,Anil,Strongly Agree,10,"The timing of when it happens will be hard to tell, but the list of countries where this is happened shows that the direction of travel is certain.  ",Strongly Agree,10,"See above, same argument and evidence"
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Strongly Agree,8,,Strongly Agree,8,
Lo,Andrew,Strongly Agree,10,"Fed independence is key to controlling inflation, and without that important factor, investors---particularly foreign investors---will place less faith in U.S. debt maintaining its value, and will therefore charge higher yields.",Strongly Agree,10,Same reason as above.
Lowry,Michelle,Strongly Agree,7,,Strongly Agree,7,
Ludvigson,Sydney,Strongly Agree,8,,Agree,7,
Maggiori,Matteo,Strongly Agree,9,,Strongly Disagree,9,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Agree,8,,Agree,7,
Nagel,Stefan,Strongly Agree,8,,Agree,5,The dominating effect probably would be a rise in inflation risk premia. 
Parker,Jonathan,Strongly Agree,8,"Evidence suggests that greater central bank independence lowers interest rates on sovereign debt. The balance of democratic accountability and independence, struck by the structure of the Fed has lead to low and anchored inflation expectations and low US interest rates. ",Agree,8,Evidence suggests that greater central bank independence lowers interest rates on sovereign debt. Less independent central banks are more inclined to inflate away fiscal problems and so raise inflation risk premia.
Parlour,Christine,Strongly Agree,9,,Agree,8,
Philippon,Thomas,Strongly Agree,10,,Strongly Agree,10,
Puri,Manju,Did Not Answer,,,Did Not Answer,,
Roberts,Michael,Agree,6,,Agree,6,
Sapienza,Paola,Uncertain,7,"Uncertain because if the President succeeds in inducing the Fed to lower interest rates (as Nixon with Arthur Burns in the 1970s), nominal borrowing costs go down in the ST but as inflation expectations increase in the LT, the government faces higher overall LT borrowing cost.",Strongly Agree,8,"Investors would demand higher compensation for the increased risks they perceive from reduced Fed independence, such as greater inflation risk or concerns about monetary policy being influenced by political rather than economic considerations. Probably they are already doing that"
Seru,Amit,Strongly Agree,10,,Agree,8,
Stambaugh,Robert,Agree,8,,Agree,8,
Starks,Laura,Agree,4,,Agree,4,
Stein,Jeremy,Agree,8,,Agree,8,
Stroebel,Johannes,Agree,5,,Strongly Agree,5,
Titman,Sheridan,Agree,6,,Agree,6,
Van Nieuwerburgh,Stijn,Strongly Agree,8,"Given the dire fiscal situation of the U.S., loss of independence would lead to financial repression with monetary policy put in service of the fiscal situation. ",Strongly Agree,6,there would be substantial policy uncertainty that would raise the risk premium on long-term debt. 
Whited,Toni,Strongly Agree,2,,Strongly Agree,2,
