Last Name,First Name,The SEC’s proposed new rule for stock orders from individual investors is likely to be effective in giving those investors better prices on their trades on average.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The new rule would improve the overall operation of the stock market.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Uncertain,3,The quality of execution in the current system varies across brokers because wholesalers offer different discounts to different brokers. The current system is insufficiently transparent but the SEC rule may not improve average quality even if it reduces the dispersion of quality.,Uncertain,2,I think the rule is unlikely to have a large effect on the average cost of trading for individual investors.  It may slightly improve transparency.
Cochrane,John,Disagree,7,We can't all have better prices. Who loses? Execution is a tiny issue relative to long term rates of return. Actual knowledge of how SEC rules change equilibrium trading is very thin. ,Disagree,7,"One thing we know as ""experts"" is how much other ""experts"" really don't know. Just how SEC rules improve or diminish market function is mostly made up. Many cases we do know SEC rules make things worse. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Uncertain,4,"Bidding for orders may improve prices to small investors, but fewer orders may go to dealers offering payment for order flow. Spreads on markets may increase.  ",Uncertain,4,
Duffie,Darrell,Uncertain,10,"Very hard to predict what happens, as there are extensive and intensive margins at play. But it's worth trying. If it doesn't work, it can be reversed or modified. ",Uncertain,10,
Eberly,Janice,Did Not Answer,,,Did Not Answer,,
Gabaix,Xavier,Did Not Answer,,,Did Not Answer,,
Goldstein,Itay,Did Not Answer,,,Did Not Answer,,
Graham,John,Did Not Answer,,,Did Not Answer,,
Harvey,Campbell,Uncertain,5,"There is a benefit to having institutional investors participate in the auction for retail investor trades. I expect there would be a benefit for high liquidity stocks but could be worse off for lower liquidity stocks. Not clear how the ""average"" is calculated. ",Disagree,6,"How big is the problem that the SEC is trying to solve with its 399 page proposed rule book? While I like the idea of involving institutional investors in the auction, the market works well now. I would prefer some experiments before making such a big change (ending PFOF)."
Hirshleifer,David,No Opinion,,,No Opinion,,
Hong,Harrison,Agree,8,More competition for orders will help individual investor order execution.,Uncertain,1,Not clear overall market efficiency will be so impacted.
Jiang,Wei,Uncertain,5,,Uncertain,5,
Kaplan,Steven,Agree,4,,Uncertain,4,
Kashyap,Anil,Uncertain,1,there are competing view on this even among people who have no financial stake in the answer,Uncertain,1,
Koijen,Ralph,Uncertain,3,"Potentially, but it's not clear it is a major concern to begin with in equities (as opposed to options), see links
",Disagree,3,See previous answer.
Kuhnen,Camelia,Uncertain,3,,Uncertain,3,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Uncertain,3,"The direct effect of the rule should be beneficial to retail investors. However, the obvious question relates to indirect effects. I have not seen sufficient research to make conclusions regarding indirect effects - and the magnitude of such effects.",Uncertain,3,"There will be winners and losers from this rule, but it is very hard to make predictions regarding overall effects. Also, by changing so many things at once, the SEC loses transparency regarding the efficacy of each individual change. "
Ludvigson,Sydney,No Opinion,,,No Opinion,,
Maggiori,Matteo,No Opinion,,,No Opinion,,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Uncertain,6,"Not clear they will get better prices when they really need them, like when they demand immediacy, since it may take longer to execute under the new rule. ",Uncertain,5,Not all clear and depends what is meant by operation -- on average? during liquidity events? crashes? time of execution?  All unclear IMHO.
Nagel,Stefan,Agree,4,The proposed changes seem likely to enhance competition for retail orders. ,Uncertain,4,
Parker,Jonathan,Agree,5,Payment for order flow of individual investors makes the payer effectively a monopolist who only has to provide a lower bid-ask spread than the market spread which reflects more informed traders. Competition for clearing individual trades should leave retail investors better off.,Uncertain,10,"This regulatory change may increase or decrease the segregation of the trades of individual and institutional investors, and it is theoretically ambiguous which is better for investor welfare. "
Parlour,Christine,Uncertain,10,Unclear that moving to trade-by-trade competition for some types of order flow improves market outcomes compared to the current lower frequency competition.,Strongly Disagree,10,Markets are very complicated and segmentation of order flow often has equilibrium effects. 
Philippon,Thomas,Agree,7,,Uncertain,5,
Puri,Manju,No Opinion,,,No Opinion,,
Roberts,Michael,Agree,6,SEC estimates suggest a very small improvement.,Agree,5,Likely to have a positive but very small effect.
Sapienza,Paola,Agree,5,,Uncertain,5,I do not think the rule will affect the overall stock market as much to create tangible more efficiency. 
Seru,Amit,Agree,5,,Uncertain,5,
Stambaugh,Robert,No Opinion,,,No Opinion,,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Uncertain,3,,Uncertain,3,
Stroebel,Johannes,Did Not Answer,,,Did Not Answer,,
Sufi,Amir,No Opinion,,,No Opinion,,
Titman,Sheridan,Uncertain,3,,Uncertain,1,
Van Nieuwerburgh,Stijn,Agree,5,New rules will improve price transparency and the new protections on paying for order flow will also protect small investors. The latency rule in auctions is good as well and backed up by research.,Agree,5,
Werner,Ingrid,Disagree,10,,Disagree,10,
Whited,Toni,Disagree,4,,Disagree,4,
