Last Name,First Name,"Interest-bearing stablecoins, either via direct issuer payments or exchange-provided rewards, would measurably erode the deposit franchise of banks in developed-market economies.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acharya,Viral,Agree,8,"Depositors that don't require liquidity management services will seek crypto-related and higher deposit rate services of interest-bearing stablecoins. Bank franchise would get eroded by limiting the ability to diversify shocks across depositors, and by greater deposit competition"
Campbell,John,Agree,7,"The direction of the effect is clear, but the magnitude is not.  Money market funds already compete with banks, so interest-bearing stablecoins are not the first threat to the deposit franchise."
Cochrane,John,Agree,7,"And that is the point. Interest bearing stable coins implement money market funds with payments, narrow banks, segregated accounts, all good innovations quashed by the Fed."
Diamond,Douglas,Uncertain,5,"Stablecoins are most useful for on blockchain and cross border transactions.  Other than those, they are similar to existing money market funds. "
Du,Wenxin,Uncertain,8,
Duffie,Darrell,Uncertain,10,"It's highly uncertain whether stablecoins will come into common use by households and businesses in developed market economies. If they do, I would agree. "
Fama,Eugene,Agree,8,A lot depends on how it is done.
Gabaix,Xavier,Agree,4,
Goldstein,Itay,Uncertain,8,
Graham,John,Disagree,6,
Harvey,Campbell,Agree,6,"The average regular savings deposit rate is only 42bps. TBTF banks run at 5bps. Stablecoins offer competition with higher rates. As the SC market grows, so will the SC lending markets. Banks and private credit will have additional competition - which is good for the economy."
Hong,Harrison,Uncertain,5,
Jiang,Wei,Agree,6,
Kaplan,Steven,Disagree,3,
Kashyap,Anil,Uncertain,5,"Depends on whether things outside the regulatory perimeter come to dominate stable coins.  You can get interest on Tether, yet USDC competes.  The Genius act bans interest.  So interest may move some wholesale deposits, but the impact on the deposit franchise is less obvious "
Krishnamurthy,Arvind,Disagree,7,"Alternative deposit products exist currently and yet banks retain substantial value from their deposit franchises.  That indicates to me that the central friction is not limited choices.  Surely there will some switching, but at the edges. "
Kuhnen,Camelia,Disagree,1,
Lowry,Michelle,Disagree,7,
Ludvigson,Sydney,Agree,6,
Maggiori,Matteo,Agree,2,
Mester,Loretta,Uncertain,5,Will depend on competitive response from banks.
Moskowitz,Tobias,Did Not Answer,,
Nagel,Stefan,Uncertain,5,Depends on at least two important unknowns: (i) How is the perception of safety of such stablecoins? This may in turn depend on the regulatory framework.(ii) How do they compare in terms of transaction convenience? 
Papanikolaou,Dimitris,Uncertain,6,
Parker,Jonathan,Disagree,8,Deposits are incredibly. stubbornly sticky. 
Parlour,Christine,Agree,8,
Philippon,Thomas,Disagree,3,
Puri,Manju,Agree,6,
Roberts,Michael,No Opinion,,
Sapienza,Paola,Strongly Disagree,5,"Stablecoin market cap (~$170B) is a rounding error vs $17T in US deposits. Actual users are crypto-native traders and EM dollar-seekers, not retail bank depositors. Stablecoins lack payroll direct deposit, mortgage servicing, credit card linkages, and FDIC insurance.​​​​​​​​​​​​​"
Seru,Amit,Agree,10,"Deposit franchise erosion isn’t all bad if depositors were paid below-market rates:competition can be healthy. But stablecoins, especially their off-chain governance, raise real concerns. Blocking narrow banks may have backfired; innovation has returned, this time wrapped in tech"
Stambaugh,Robert,Agree,5,
Starks,Laura,Agree,4,
Stein,Jeremy,Uncertain,5,
Stroebel,Johannes,Agree,5,
Thesmar,David,Uncertain,1,"currently, there are a lot of firm that offer easy-to-use cash accounts that can be quickly move into and out of deposit accounts. yet, aggregate deposits remain very big and do not respond a lot to interest rates, further, it may be hard to draw many people into stablecoins.    "
Titman,Sheridan,Disagree,3,
Van Nieuwerburgh,Stijn,Agree,3,"Would offer higher yields and liquidity than bank deposits and fewer regulations but don't benefit from deposit insurance.  Banks may have to respond by offering higher rates, eroding franchise value."
Wallace,Nancy,Strongly Agree,7,Many unresolved problems including; uncertain regulatory classifications; uneven reserve assurance (audits); fragmentation left to markets; issuer custodian risks; asset/liquidity risk; sanctions related to violation of KYC/AML; rehypothecation risks; economic 
Whited,Toni,Disagree,5,
Zhu,Haoxiang,Agree,8,
