Last Name,First Name,"Regulator Probes BlackRock and Vanguard Over Huge Stakes in U.S. Banks – The WSJ reports that ‘The FDIC is scrutinizing whether the index-fund giants are sticking to passive roles when it comes to their investments in U.S. banks.’

The exemption of passive asset managers from banking rules - such as needing permission when they acquire shares above the 10% threshold - generates measurable risks to the accomplishment of the FDIC's mission.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,,,,,,,,,,,,,,,,,
Campbell,John,Disagree,7,"Passive investors acquire equal proportional shares of all stocks in their indexes (when those indexes are value-weighted), and so their proportional ownership is a mechanical function of their AUM with no implications for bank governance.",,,,,,,,,,,,,,,,,
Cochrane,John,Strongly Disagree,10,"This kind of proposal seems designed to certify that regulators have a lot of time on their hands and no idea how anything works. They completely missed Silicon Valley Bank, yet think Vanguard owning 10% of a bank without filling out another mountain of paperwork is a danger?",,,,,,,,,,,,,,,,,
Cornelli,Francesca,Did Not Answer,,,,,,,,,,,,,,,,,,,
Diamond,Douglas,Strongly Disagree,8,Passive managers do not vote for control of decisions. ,,,,,,,,,,,,,,,,,
Du,Wenxin,Uncertain,5,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Uncertain,9,,,,,,,,,,,,,,,,,,
Eberly,Janice,Disagree,7,"If investments are passive, and can be verified and maintained as passive, then the rationale for the 10% threshold would not hold.",,,,,,,,,,,,,,,,,
Fama,Eugene,Strongly Disagree,9,,,,,,,,,,,,,,,,,,
Gabaix,Xavier,Did Not Answer,,,,,,,,,,,,,,,,,,,
Goldstein,Itay,Uncertain,6,,,,,,,,,,,,,,,,,,
Graham,John,Strongly Disagree,8,,,,,,,,,,,,,,,,,,
Harvey,Campbell,Disagree,8,"The current level of investment by passive managers does not, in my opinion, generate significant risk - even if slightly over 10%. However, this should not be an open-ended exemption. The exemption should have a cap, such as 25%. ",,,,,,,,,,,,,,,,,
Hirshleifer,David,Uncertain,2,,,,,,,,,,,,,,,,,,
Hong,Harrison,Did Not Answer,,,,,,,,,,,,,,,,,,,
Jiang,Wei,Disagree,7,,,,,,,,,,,,,,,,,,
Kaplan,Steven,Agree,5,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Disagree,3,"the power of the mechanism whereby the asset managers engage management to try to further the mission of the FDIC seems very weak.  what examples do we see where this channel is powerful, they certainly won't turn into activists.",,,,,,,,,,,,,,,,,
Koijen,Ralph,Did Not Answer,,,,,,,,,,,,,,,,,,,
Kuhnen,Camelia,Uncertain,3,,,,,,,,,,,,,,,,,,
Lo,Andrew,Did Not Answer,,,,,,,,,,,,,,,,,,,
Lowry,Michelle,Agree,7,A challenge is that it is difficult to monitor / evaluate the ways in which the Big 3 might influence these banks (beyond participating in shareholder voting).,,,,,,,,,,,,,,,,,
Ludvigson,Sydney,Agree,7,,,,,,,,,,,,,,,,,,
Maggiori,Matteo,Did Not Answer,,,,,,,,,,,,,,,,,,,
Matvos,Gregor,Did Not Answer,,,,,,,,,,,,,,,,,,,
Moskowitz,Tobias,Uncertain,4,,,,,,,,,,,,,,,,,,
Nagel,Stefan,Disagree,6,I do not see any clear reasons why passive managers' stakes would generate risks for anything that the FDIC should care about according to its mandate. ,,,,,,,,,,,,,,,,,
Parker,Jonathan,Disagree,8,,,,,,,,,,,,,,,,,,
Parlour,Christine,Disagree,7,Passive holdings are imputable to observable flows.,,,,,,,,,,,,,,,,,
Philippon,Thomas,Disagree,5,There might be market power issues but I don't see the financial stability issues. And we usually want banks to raise more equity rather than less.,,,,,,,,,,,,,,,,,
Puri,Manju,Did Not Answer,,,,,,,,,,,,,,,,,,,
Roberts,Michael,Agree,7,,,,,,,,,,,,,,,,,,
Sapienza,Paola,Did Not Answer,,,,,,,,,,,,,,,,,,,
Seru,Amit,Uncertain,5,,,,,,,,,,,,,,,,,,
Stambaugh,Robert,Agree,6,,,,,,,,,,,,,,,,,,
Starks,Laura,Strongly Disagree,10,,,,,,,,,,,,,,,,,,
Stein,Jeremy,Uncertain,2,,,,,,,,,,,,,,,,,,
Stroebel,Johannes,Did Not Answer,,,,,,,,,,,,,,,,,,,
Sufi,Amir,Did Not Answer,,,,,,,,,,,,,,,,,,,
Titman,Sheridan,Uncertain,3,,,,,,,,,,,,,,,,,,
Van Nieuwerburgh,Stijn,Disagree,6,It is unwise to limit access to a well-diversified equity portfolio for passive investors. Index funds should let their shareholders vote in corporate elections and Abstain as a fallback.,,,,,,,,,,,,,,,,,
Whited,Toni,Disagree,4,,,,,,,,,,,,,,,,,,
