Last Name,First Name,"Some major private credit funds - including those offered by BlackRock, Cliffwater and Morgan Stanley - have maintained their redemption limits, not fully filling all investor requests.



The enforcement of restrictions on withdrawals from private credit funds predicts that the funds will substantially underperform indices of liquid high-yield corporate bonds over the next 18 months.","Confidence (10 being highest) in your knowledge
of the issue associated with the question.",Please explain your response in 280 characters or less.,Assets in the private credit funds that are restricting withdrawals are substantially overvalued relative to their true market value.,Confidence (10 being highest) in your knowledge of the issue associated with the question.,Please explain your response in 280 characters or less.
Acharya,Viral,Strongly Agree,9,"Thos was a frothy asset class with all signs of underwriting standards gone awry with easy money, exacerbated by the redemption rights sold to retail investors unlike the traditional form of locked in long-term funds. Resembles bank runs or investment fund runs.",Strongly Agree,9,"Amend and extend has taken the form now of extend and pretend, which won't work given the retail funds raised with redemption rights ... they will be forced to mark down,either by liquidating assets or raising new equity."
Campbell,John,Agree,4,A high volume of withdrawal requests suggests that some investors believe that current marks are too high and will fall in the future.  Withdrawals can also create downward price pressure on funds' asset values as funds try to sell their assets.,Agree,4,"This is quite likely true both for the reasons given in the last answer, and because the latest economic news is worrying and probably not yet fully reflected in the marks"
Cochrane,John,Uncertain,8,"Predicting returns is an empirical question, I know of no studies on this. Those taking money out think so, but that doesn't mean it's right. ",Uncertain,7,The whole point of private credit and other illiquid investments is that there is no true market value. 
Diamond,Douglas,Uncertain,6,"Private credit assets are quite illiquid and suspensions need not indicate that their long-term value is  far below par.  If enough funds suspend reducing selling pressure, assets may recover.  On the other hand, with more bad news or many actual sales, prices will decline.   ",Uncertain,6,This is uncertain for the same reason that asset underperformance is uncertain.  True market value has multiple meanings for illiquid assets when selling is endogenous.  
Du,Wenxin,Agree,6,,Agree,6,
Duffie,Darrell,Uncertain,9,,Agree,9,"I assume the question addresses whether the accounting value is probably higher than the market value. Probably, that’s true.  "
Fama,Eugene,No Opinion,,There should be an initial underperformance. But thereafter... ,No Opinion,,Are prices easily available?
Gabaix,Xavier,Did Not Answer,,,Did Not Answer,,
Goldstein,Itay,Uncertain,8,,Uncertain,8,
Graham,John,Disagree,6,,Disagree,6,
Harvey,Campbell,Disagree,5,"There should be an illiquidity premium. Expected returns should be higher. Of course, realized returns can be lower if there is a negative event for some of the companies in the fund.",Disagree,5,"If the marks are stale, there could be over or undervaluation. OBDC and OBDC II are in the news because OBDC trades at 20% discount to OBDC II with same assets. I believe that some of the difference is due to marks-but these are different wrappers and some diff is due to wrappers"
Hong,Harrison,Agree,7,,Agree,7,
Jiang,Wei,Agree,7,,Agree,6,
Kaplan,Steven,Uncertain,3,,Uncertain,4,
Kashyap,Anil,Agree,7,see Matt Levine on the risks ,Agree,3,
Krishnamurthy,Arvind,Agree,7,"The central issue is whether the withdrawals are driven more by liquidity/run dynamics or underlying solvency issues.  I lean towards solvency at this point, but given limited data, I am uncertain.",Agree,8,"This is true almost by definition. The challenging issue is what is ""true market value"" and how one should factor in illiquidity or risk premia in the valuation. "
Kuhnen,Camelia,Uncertain,2,,Agree,2,
Lowry,Michelle,Uncertain,5,,Agree,5,
Ludvigson,Sydney,Agree,6,"Much uncertainty due to opacity interacting with behavioral forces. But the fact that public spreads are widening now (albeit while still relatively tight) suggests  that private funds will underperform later, when they are eventually forced to mark their loans down ",Uncertain,9,they weren't designed to be liquid funds so this is ambiguous
Maggiori,Matteo,Uncertain,1,,Uncertain,1,A bit like in a bank run the market value of the assets might be very different in a fast fire sale versus an orderly sale over some period of time
Mester,Loretta,Agree,5,It is a sign that firms do not want to meet liquidity needs by selling assets that at this point would earn less than values on their books.,Agree,8,
Moskowitz,Tobias,Strongly Agree,10,"When investors wish to sell but are restricted from doing so, it will temporarily prop up the price, but eventually (over the next 18 months) it will have to fall to market value.",Agree,10,"Generally agree, but it will only be ""substantial"" if market values have fallen recently.  Also, unconditionally it is not clear if there is a liquidity premium or discount.  A lot of allocators like the lack of mark-to-market and might be willing to pay for it."
Muir,Tyler,Disagree,3,,Agree,2,"Likely to some degree, unsure on how substantially"
Nagel,Stefan,Agree,4,"Assuming the performance is measured based on reported NAV. At least some of the withdrawals may be based on information about gaps between asset values and NAV. Discounts to NAV of publicly traded BDCs have increased, which points in the same direction.",Agree,4,"Assuming the performance is measured based on reported NAV. At least some of the withdrawals may be based on information about gaps between asset values and NAV. Discounts to NAV of publicly traded BDCs have increased, which points in the same direction."
