Last Name,First Name,The large increase in the market for private credit as a substitute for bank finance substantially reduces systemic risk.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The growth in private credit is substantially higher because of regulations that disincentivize banks from lending to below investment grade private businesses.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Uncertain,5,"To the extent that bank C&I lending is reduced by private credit, banks must be lending or investing elsewhere.  The question is whether the other assets that end up on bank balance sheets are safer than those displaced by private credit - which is not clear.",Agree,7,
Cochrane,John,Uncertain,8,"Private credit financed by short-term debt it is not safer than a bank. If a run on one will provoke a run on the others it too can be systemic. Much fintech originates to sell to government agencies too, not a panacea. Either quickly securitized or financed by equity is ideal.",Agree,7,
Cornelli,Francesca,Uncertain,8,,Agree,7,
Diamond,Douglas,Uncertain,5,Much of the liquidity risk from private credit is still a risk to the banking sector due to contracts between banks and private lenders.   Some of the credit risk is indeed removed from banks.,Uncertain,5,"Regulation changes are an important part of the growth of private lending, but it is not clear which regulation change is most important.  In addition, many other things changed over the last decade.  The large increase in liquidity from QE (not yet fully reversed) is important."
Du,Wenxin,Disagree,7,,Agree,7,
Duffie,Darrell,Disagree,9,"This trend is pushing risk out of the banking system, to where the risk is less well regulated and less addressable by central bank backstops. But, private credit involves less short-term funding and less contagion risk. The net impact on financial stability seems uncertain.",Agree,10,"I agree, but the regulatory disincentives are broader than those specific to high-risk lending. Most types of banking activity have been negatively impacted by post-GFC regulations. These have improved financial stability and reduced credit provision by banks."
Eberly,Janice,Disagree,5,"Moving credit out of the banking system reduces some types of risk, but also raises the question of what banks are holding instead and what degree of transparency applies to private credit.",Uncertain,5,
Fama,Eugene,No Opinion,,Not enough information to answer this one.,Agree,6,
Gabaix,Xavier,Disagree,7,There's still a real risk of a run,Agree,6,
Goldstein,Itay,Disagree,8,,Agree,8,
Graham,John,Disagree,6,,Agree,10,
Harvey,Campbell,Agree,6,There is less of a maturity mismatch with private credit given that investors have lock up periods (unlike bank deposits).,Agree,5,
Hong,Harrison,Uncertain,8,,Uncertain,7,
Jiang,Wei,Disagree,7,,Agree,7,
Kaplan,Steven,Agree,10,Direct lending funds and BDCs are leveraged at roughly 50% compared to banks at 85%.  And maturities are matched.,Strongly Agree,9,This is a case where regulation has reduced systemic risk.  Ironic that some want to regulate private credit and possibly reverse the benfit.
Kashyap,Anil,Disagree,3,,Agree,2,
Koijen,Ralph,Uncertain,5,"It depends on who holds the private credit instead. If those are, for instance, insurance companies, the risk may shift to another of institutions that may or may not be better positioned to bear the risk.",No Opinion,,
Kuhnen,Camelia,Uncertain,2,,Uncertain,2,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Disagree,5,"On the one hand, the increase in private credit might decrease systematic risk b/c of diversification: companies can obtain credit through more different channels. On the other hand, it might increase systematic risk because private credit is less transparent and less regulated",Agree,5,
Ludvigson,Sydney,Disagree,7,lower transparency unlikely to help with systemic risk,Uncertain,9,
Maggiori,Matteo,Uncertain,1,,Uncertain,1,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Did Not Answer,,,Did Not Answer,,
Nagel,Stefan,Agree,4,"Tentatively agree, but it's worth keeping an eye on how much financing is provided by banks to private credit vehicles.",Agree,4,
Parker,Jonathan,Uncertain,6,"On the one hand, the increase in private credit funds some lending with equity, which is good for systemic risk. On the other hand private credit borrows from banks, which puts greater opacity on the lending funded by bank deposits.",Uncertain,2,
Parlour,Christine,Disagree,7,Risk is concentrated in unregulated entities,Uncertain,6,Regulatory arbitrage
Philippon,Thomas,Uncertain,5,,Agree,7,
Puri,Manju,Uncertain,8,Depends; the mix of asset/liability interaction between private credit providers and banks matters.,Strongly Disagree,8,
Roberts,Michael,Uncertain,8,,Strongly Agree,8,
Sapienza,Paola,Disagree,3,"Unclear outcome, it may derisk the banking system, but one could argue that valuation is more infrequent in the private credit market - one could argue that this market is more opaque",Agree,6,Migration has been happening for a long time but it has accelerated after new regulation
Seru,Amit,Uncertain,10,,Agree,10,
Stambaugh,Robert,Uncertain,5,,Uncertain,5,
Starks,Laura,Did Not Answer,,,Did Not Answer,,
Stein,Jeremy,Uncertain,5,,Agree,6,
Stroebel,Johannes,Uncertain,4,,Agree,6,
Titman,Sheridan,Agree,5,,Agree,7,
Van Nieuwerburgh,Stijn,Disagree,5,Private credit is part of shadow banking se tor with less transparency and secondary exposures to systemically risky institutions.,Agree,6,
Whited,Toni,Uncertain,5,,Agree,4,
