Last Name,First Name,"The lower willingness of private firms to go public, combined with the increased number of publicly traded firms being taken private over the last 25 years, is measurably net negative for economic growth.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"All else equal, reducing regulatory barriers (including reporting requirements such as Sarbanes Oxley 404) to public listing would substantially increase the share of publicly traded firms in the economy.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The lack of transparency about unlisted private firms' financial performance substantially hinders the efficiency of the allocation of capital.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Uncertain,3,,Agree,6,,Uncertain,3,
Cochrane,John,Uncertain,5,"It is likely a small net negative for the level of economic activity. Growth is harder. Though, keep track of the counterfactual. Companies are staying private for a reason. Economy only improves if we fix the reason. Forcing more public companies otherwise will hurt. ",Agree,8,"It's pretty clear that useless regulatory requirements are part of the reason driving companies out of public listing. Regulation needs to be ""better"" not ""less."" ",Disagree,8,"Wealthy private investors, channeled through venture and private equity funds, are  able to demand the information they need before investing billions. And also able to not demand useless information. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Disagree,4,,Agree,4,,Uncertain,4,
Du,Wenxin,Uncertain,6,,Agree,5,,Agree,6,
Duffie,Darrell,Uncertain,6,,Agree,5,"In just about any activity where there is entry at the margin, lowering the cost of entry increases the quantity of entry.",Uncertain,3,"Holding constant the wide distribution of investors typical of public firms, this is obvious. But private firms have far more concentrated ownership, with a substantial degree of direct shareholder oversight."
Eberly,Janice,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Fama,Eugene,Strongly Agree,9,,Agree,9,,Agree,9,
Gabaix,Xavier,Disagree,6,,Agree,7,,Uncertain,6,
Goldstein,Itay,Agree,9,,Agree,8,,Agree,8,
Graham,John,Disagree,9,,Disagree,9,,Agree,7,
Harvey,Campbell,Disagree,6,The rise of privates is due to the increased regulatory burden for public firms. You could argue this is positive for growth given private firms have less regulatory scrutiny and may be willing to take extra risk. ,Agree,6,"If you reduce the cost of being public, it is likely more firms will choose the public route. ",Uncertain,5,"The private investors are likely ""qualified"" investors and should be able to ask the right questions. "
Hong,Harrison,Uncertain,5,,Agree,5,,Agree,5,
Jiang,Wei,Disagree,6,,Agree,7,,Uncertain,6,
Kaplan,Steven,Strongly Disagree,8,,Strongly Agree,9,,Disagree,8,
Kashyap,Anil,Uncertain,5,see the explanation following the next two questions,Agree,7,"There are plenty of reporting burdens that public firms face, not clear that they are all constructive",Uncertain,5,The lack of transparency definitely hinders the allocation and judging the quantitative impact is hard. This is the downside of the rise in the share of private firms.
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Disagree,6,,Agree,6,,Strongly Agree,6,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Disagree,7,,Disagree,7,"Using econometric techniques to precisely identify the influence of regulatory costs, Ewens, Xiao and Xu (JFE 2024) conclude that regulatory costs ""only explain a small part of the decline in the number of public firms."" ",Agree,5,
Ludvigson,Sydney,Uncertain,7,,Agree,6,,Agree,5,
Maggiori,Matteo,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Uncertain,1,"It could go either way.  Private firms face fewer constraints, which could lead to more growth, but also face less liquid and diverse capital markets, which could hurt growth.  Unclear which factors matter more.",Agree,6,"Directionally this is likely true, but the effect may be small.",Strongly Agree,8,"To the extent performance conveys information, lack of transparency in performance should reduce capital allocation efficiency."
Nagel,Stefan,Disagree,4,,Agree,5,,Disagree,5,
Parker,Jonathan,Agree,3,"Great question for quantitative research! In theory, public ownership is more efficient since it allows the same incentive structures for management and greater diversification by owners. So the move to private ownership is a bad sign a priori for economic growth.",Agree,7,"Disclosure is critically important for public markets, but it we have overshot optimal legal requirements. The law should also be narrower — not every piece of undisclosed news that moves markets is securities fraud — and not a profit opportunity for (privately-owned) law firms.",Agree,3,"Yes, lack of transparency increases the scope for fraud, and concentrated ownership that can become informed also implies concentrated risks and so reduced investment."
Parlour,Christine,Uncertain,6,Unclear how large financial constraints are,Agree,7,,Disagree,7,Unclear if firms are opaque to relevant investors
Philippon,Thomas,Agree,8,going public has positive externalities for scale and price discovery,Uncertain,5,,Agree,7,
Puri,Manju,Uncertain,6,,Agree,7,,Uncertain,5,
Roberts,Michael,Uncertain,7,,Strongly Agree,8,,Agree,7,"I'm more concerned with the increased cost of capital to private firms, all else equal."
Sapienza,Paola,Uncertain,5,"Economic growth is not necessarily linked to the size of the public market, as long as robust alternative sources of capital are available ",Agree,4,Cost of compliances influences choices of going or staying public. Alternative sources of capital are also considerations in this decision. It is difficult to make a general statement. ,Uncertain,4,The private equity industry has a very steep incentive structure. Efficiency is affected by many factors. I am skeptical that more transparency toward retail investors would change things. 
