Last Name,First Name,The markets for consumer and business payment services would be substantially more efficient if payments by stablecoins (privately issued digital tokens pegged to a fiat currency) became an accepted alternative to traditional payments.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Ten years from now, stablecoins will account for a substantial share of payment flows and deposits in the global banking system.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Disagree,6,Stablecoins do not have inherent advantages over other digital technologies for payments settlement.,Uncertain,4,"The future of payments technology is extremely uncertain, and depends on political factors as well as economic considerations."
Cochrane,John,Uncertain,8,"Uncertain. Stable coin is not technologically simpler than central ledger. It seems to offer regulatory work around, for example creating effectively narrow banks and payments oriented money market funds that the Fed and other regulators will now not allow with conventional tech.",Uncertain,8,"Again, much is regulatory arbitrage not better technology. Currently stable coin regulation does not allow the payment of interest. If rates rise at all, electronic money will have to pay. Privacy vs. law enforcement the other big unknown. "
Cornelli,Francesca,Did Not Answer,,,Did Not Answer,,
Diamond,Douglas,Disagree,6,,Uncertain,6,
Du,Wenxin,Agree,5,,Uncertain,5,
Duffie,Darrell,Strongly Agree,10,"If stablecoins become widely accepted (which is not all that likely), the added competition for banks would increase efficiency. Bank-railed payment services would improve and interchange fees for credit cards would decline significantly. ",Uncertain,10, Stablecoins could account for a large share of remittances and business payments to and from emerging markets. Most other payments will probably still be made with bank deposits. There is a lot of uncertainty around these outcomes.
Eberly,Janice,Did Not Answer,,,Did Not Answer,,
Fama,Eugene,No Opinion,,"Depends on the method of exchange, not just the medium of exchange.",Uncertain,10,
Gabaix,Xavier,Agree,3,,Uncertain,3,
Goldstein,Itay,Uncertain,7,,Uncertain,7,
Graham,John,Did Not Answer,,,Did Not Answer,,
Harvey,Campbell,Strongly Agree,8,"Efficiency: 1) Near instant transfers anywhere in world on Layer 2s; 2) miniscule fees (no swipe fee); 3) secure (100% collateralized with safe assets under GENIUS); 4) much needed backup system (does not use banking system, offers an alternative if problems w/ banking system). ",Strongly Agree,8,"But users should get yield. Tether had double the profit of BLK last year. Tether per employee profit was $85m. We will see alternatives to stablecoins such as tokenized bonds that pay yield. Also, I expect governments to issue stablecoins (why not? they are technically not CBDC)"
Hong,Harrison,Did Not Answer,,,Did Not Answer,,
Jiang,Wei,Uncertain,3,,Uncertain,3,
Kaplan,Steven,Uncertain,3,,Uncertain,3,
Kashyap,Anil,Disagree,5,"I don't see the use case for the US, other than perhaps cross-border payments.  FedNOW can solve most of this.  This is still mostly about crypto to crypto transactions",Uncertain,5,"Could be the case that in countries with unstable economies, stable coins could make it easier to ""dollarize"".  "
Koijen,Ralph,Did Not Answer,,,Did Not Answer,,
Kuhnen,Camelia,Strongly Disagree,6,,Disagree,6,
Lo,Andrew,Did Not Answer,,,Did Not Answer,,
Lowry,Michelle,Disagree,6,,Disagree,5,
Ludvigson,Sydney,Disagree,7,,Uncertain,9,
Maggiori,Matteo,Uncertain,6,Big difference between domestic and international payments. Also might be more efficient than current system (very inefficient) but a lot less than a modern publicly provided payment infrastructure (combo of digital currency and modern payment system),Uncertain,5,"Much will depend on whether public institutions will step up to provide a basic infrastructure that will obviate the need for stable coins,"
Matvos,Gregor,Did Not Answer,,,Did Not Answer,,
Moskowitz,Tobias,Uncertain,1,We have no idea at this point.,Uncertain,1,
Nagel,Stefan,Uncertain,4,"In some countries yes, but not clear it will be true in others where the payment system is already quite efficient (assuming that rules concerning KYC and AML still apply to stablecoin transactions, too). ",Agree,4,"In parts of the world, this will likely be an attractive means of payment relative to other options. "
Parker,Jonathan,Strongly Disagree,8,"There are extremely well-developed payments rails using traditional ledgers and currencies. Stablecoins have no technological advantage, and blockchain based coins are less efficient. They have only a regulatory advantage. MMMFs regulated like stablecoins would be more efficient.",Uncertain,8,"There is a huge amount of regulatory uncertainty over the treatment of traditional financial institutions like regulated stablecoins, and a huge amount of legal uncertainty over how they will be allowed to evolve."
Parlour,Christine,Agree,9,,Agree,8,
Philippon,Thomas,Disagree,6,,Disagree,6,
Puri,Manju,Uncertain,7,,Uncertain,6,
Roberts,Michael,Uncertain,5,,Uncertain,5,
Sapienza,Paola,Did Not Answer,,,Did Not Answer,,
Seru,Amit,Disagree,8,,Uncertain,8,
Stambaugh,Robert,Agree,5,,Uncertain,3,"The pace of technology (e.g., quantum) and the inherent challenges seem hard to predict."
Starks,Laura,Disagree,3,,Disagree,3,
Stein,Jeremy,Disagree,7,,Uncertain,5,
Stroebel,Johannes,Did Not Answer,,,Did Not Answer,,
Titman,Sheridan,Uncertain,3,,Uncertain,1,
Van Nieuwerburgh,Stijn,Disagree,4,stable coins may be subject to runs,Uncertain,4,"this is a distinct possibility, but will require a legal framework and substantial coordination, as well as adoption throughout the financial sector."
Whited,Toni,Disagree,4,,Uncertain,1,
