Last Name,First Name,The recent downgrade of the U.S. sovereign credit rating reflects a measurable probability that an investor in U.S. Treasury securities would not be paid in full in nominal terms.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Campbell,John,Agree,3,Two scenarios are possible although unlikely (and the second more unlikely than the first): a short delay in payment caused by technical difficulties with the debt ceiling; and an attempt by the current administration to restructure the US Treasury debt.
Cochrane,John,Agree,8,"The question is about what a rating agency thinks, not markets. Well, they say what they think. Ratings agencies are there to forecast nominal default probabilities. US may choose to delay, restructure, etc. some debt. Has defaulted in the past. "
Cornelli,Francesca,Agree,6,
Diamond,Douglas,Disagree,3,
Du,Wenxin,Agree,8,technical defaults are possible 
Duffie,Darrell,Agree,10,"It's not the downgrade itself, but the fiscal conditions reflected in the downgrade. Debt to GDP is at a record high and growing fast, with barely a sign of fiscal discipline and some loss of foreign trust in US institutional strengths. "
Eberly,Janice,Did Not Answer,,
Fama,Eugene,Disagree,9,
Gabaix,Xavier,Did Not Answer,,
Goldstein,Itay,Uncertain,8,
Graham,John,Strongly Disagree,9,
Harvey,Campbell,Agree,8,"The US can always print money to make payments-so, payments will not be missed. But the printing will cause inflation – and this is the way to reduce the obligation. In 1971, when we went off the gold standard, many called this a default. Similarly, monetization is the key risk."
Hong,Harrison,Agree,5,
Jiang,Wei,Did Not Answer,,
Kaplan,Steven,Disagree,3,
Kashyap,Anil,Strongly Agree,7,"Measurable is a very weak hurdle, hard to see any positive news that makes the US a better creditor.  Let's see if the world shrugs off Section 899 of the House Bill. "
Koijen,Ralph,Did Not Answer,,
Kuhnen,Camelia,Disagree,5,
Lo,Andrew,Did Not Answer,,
Lowry,Michelle,Agree,5,
Ludvigson,Sydney,Agree,9,
Maggiori,Matteo,Strongly Agree,9,"The US debt to GDP ratio is high, forecasted to increase, and at the same time the US administration is explicitly considering aloud measures akin to default. "
Matvos,Gregor,Did Not Answer,,
Moskowitz,Tobias,Strongly Agree,8,
Nagel,Stefan,Agree,6,"A substantial loss given default seems very unlikely (instead of inflating away the debt), but CDS spreads are substantial, which may reflect non-negligible probability of default (e.g. in debt ceiling event) and low price of cheapest-to-deliver security (30y issued in 2020)"
Parker,Jonathan,Agree,8,"Measurable. Not significant. But markets are forward looking, so it is already measurable."
Parlour,Christine,Agree,8,
Philippon,Thomas,Disagree,7,
Puri,Manju,Uncertain,5,
Roberts,Michael,Uncertain,8,Is this time different? Possibly with the current budget proposal. Bigger concern is ability of treasury to place longer term debt and a spike in yields. 
Sapienza,Paola,Did Not Answer,,
Seru,Amit,Disagree,7,
Stambaugh,Robert,Disagree,5,
Starks,Laura,Did Not Answer,,
Stein,Jeremy,Disagree,6,
Stroebel,Johannes,Agree,5,
Titman,Sheridan,Agree,8,
Van Nieuwerburgh,Stijn,Did Not Answer,,
Whited,Toni,Disagree,5,
