Last Name,First Name,"Without extension of the expanded public subsidies for Affordable Care Act healthcare plans, there would be a substantial rise in the number of Americans without health insurance.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Losses in the health and well-being of Americans who could no longer afford health insurance in the absence of the subsidies would exceed the savings from the expiration.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,The possible need for subsidies substantially in excess of those initially provided by the ACA indicates that other changes in the healthcare system are needed to enable broad-based access.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,,Agree,3,,Agree,4,
Aguiar,Mark,Agree,7,,Uncertain,3,,Agree,8,
Altonji,Joseph,Agree,3,,Agree,2,,Agree,3,
Auerbach,Alan,Agree,7,,Agree,5,,Strongly Agree,7,
Autor,David,Agree,7,,Uncertain,5,,Strongly Agree,10,
Banerjee,Abhijit,Strongly Agree,6,,Agree,5,This clearly depends on how we value the wellbeing of the less well off population-being insured seems to be especially important for psychological well-being,Agree,5,I found this difficult to interpret. We can deliver broad based healthcare without changing the system but it is likely to be cheaper if we take that route
Bergemann,Dirk,Strongly Agree,8,,Strongly Agree,8,,Agree,8,
Bertrand,Marianne,Agree,5,,Agree,5,,Agree,5,
Brunnermeier,Markus,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,8,"Agree, though interactions with other state/federal policies are important. ",Uncertain,8,,Agree,6,
Cutler,David,Strongly Agree,8,,Strongly Agree,8,,Strongly Agree,8,
Duffie,Darrell,Agree,1,,Agree,1,,Uncertain,1,
Edlin,Aaron,Strongly Agree,6,,Agree,6,,Agree,5,
Eichengreen,Barry,Strongly Agree,5,,Strongly Agree,5,,Strongly Agree,5,
Einav,Liran,Agree,7,,Agree,7,,Agree,7,
Fair,Ray,Agree,5,,Uncertain,5,,Agree,5,
Glaeser,Edward,Agree,5,,Uncertain,5,,Uncertain,5,
Goldberg,Pinelopi,Agree,7,,Agree,5,,Agree,7,
Greenstone,Michael,Agree,7,,Uncertain,4,,Agree,5,
Hart,Oliver,Strongly Agree,8,,Strongly Agree,8,,Agree,7,
Hoxby,Caroline,Uncertain,7,,Uncertain,7,,Uncertain,7,
Hoynes,Hilary,Strongly Agree,8,,Agree,5,Incomplete evidence on impacts of those impacted by ACA subsidies. ,Uncertain,5,May require changes in health system OR other parts of our economic system.
Hurst,Erik,Agree,5,,Uncertain,3,,Uncertain,1,
Judd,Kenneth,Agree,5,,Agree,3,,Agree,5,
Kaplan,Steven,Uncertain,6,No discussion of cost benefit.  Large increase is COVID driven.? This returns to pre-COVID.,Disagree,4,,Agree,8,
Kashyap,Anil,Agree,1,With low confidence I would bet that half a million fewer people will be insured.  ,Agree,1,,Strongly Agree,7,The system we have now doesn't match the one that was designed initially.  
Klenow,Pete,Agree,3,,Agree,3,,Strongly Agree,3,
Levin,Jonathan,Agree,3,,Uncertain,1,,Strongly Agree,8,
Maskin,Eric,Agree,7,,Agree,5,,Agree,6,
Nordhaus,William,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Obstfeld,Maurice,Strongly Agree,3,,Agree,3,,Agree,3,
Pathak,Parag,Agree,1,,Uncertain,1,,Agree,3,
Samuelson,Larry,Agree,8,The attendant large price increases will drive some people away from health care.,Agree,6,"It is difficult to be precise about this trade-off, but experience shows that health insurance is cost effective in improving well being and shifting medical care away from emergency services to most cost-effective measures.",Agree,8,The current US health care system stands out among developed nations by spending more while achieving less.
Scheinkman,José,Strongly Agree,6,,Agree,6,,Strongly Agree,8,
Schmalensee,Richard,Strongly Agree,7,There seems universal agreement on this point.,Agree,4,"All this depends on how health and well-being are valued, of course.",Agree,5,"Not a great question: what's the standard for ""broad-based""? That our health care system needs fundamental change is beyond doubt, of course."
Scott Morton,Fiona,Strongly Agree,10,,Agree,8,,Strongly Agree,10,
Shapiro,Carl,Strongly Agree,10,,Strongly Agree,10,,Agree,4,
Shimer,Robert,Strongly Agree,8,,Disagree,7,,Agree,6,
Stantcheva,Stefanie,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
Stock,James,Agree,4,,Uncertain,3,,Agree,7,
Stokey,Nancy,Agree,5,,Strongly Agree,5,,Uncertain,1,
Syverson,Chad,Agree,9,"Demand curves slope down; if price goes up, quantity goes down",Uncertain,8,My somewhat distant reading is that there is mixed evidence on the health effects of having insurance,Agree,5,
Thaler,Richard,Agree,3,The annual check to see if we think demand curves slope down,Uncertain,1, Hard to lnow,Strongly Agree,3,We pay high prices and get mediocre outcomes so we know the system is bad but those making the big bucks will fight to keep the status quo. 
Udry,Christopher,Strongly Agree,10,,Strongly Agree,5,"There may be more cost effective ways of achieving the same gain in health, but there is little doubt that the ACA subsidies are (were)",Agree,7,
Werning,Ivan,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,
