Last Name,First Name,"Without changes in policy, a rising share of people who are over age 65 will exert a substantial downward influence on per capita real GDP in western European countries.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"In European countries where the share of those over 65 is rising, there are net social benefits to adjusting retirement ages for state-financed (including pay-as-you-go) pension systems upwards, so that revised retirement ages better reflect longer life expectancies.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,9,Evidence just doesn't support it. Aging nations are growing no less than the rest. One possible reason: induced investments in automation..,Agree,7,
Alesina,Alberto,Strongly Agree,9,,Strongly Agree,9,
Altonji,Joseph,Strongly Agree,7,,Agree,7,Scheduled increases in retirement age are already in place in some countries. Bigger increases should differentiate by health status.
Auerbach,Alan,Agree,5,,Agree,5,
Autor,David,Disagree,6,Frequently asserted but rarely evidence. Work by Acemoglu-Restrepo seems to indicate otherwise. ,Agree,6,"Yes, but should be done in conjunction with reforms to disability systems, etc., so those in poor health and of low education are protected."
Baicker,Katherine,Agree,3,,Agree,3,
Banerjee,Abhijit,Agree,6,,Agree,7,
Bertrand,Marianne,Strongly Agree,8,,Agree,6,
Brunnermeier,Markus,Agree,7,,Agree,7,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,8,,Agree,3,Likely reasonable public policy but net social benefits hard to measure. 
Cutler,David,Uncertain,3,,Agree,5,
Deaton,Angus,Strongly Agree,9,,Disagree,8,"Net social benefits are defined without taking into account distribution. This is a political issue, not an efficiency one."
Duffie,Darrell,Agree,5,,Agree,5,"I would include in this discussion the cases of Japan and China, which have even more severe inverted demographic problems than Europe."
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Agree,5,"If ""downward influence on"" is taken to mean ""slower rate of growth of"" then I agree",Agree,5,
Einav,Liran,Agree,3,,Strongly Agree,3,
Fair,Ray,Agree,3,,Agree,8,
Finkelstein,Amy,Strongly Agree,7,,Strongly Agree,6,
Goldberg,Pinelopi,Agree,5,,Uncertain,5,
Goolsbee,Austan,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Agree,5,,Uncertain,1,"""net social benefits"" requires knowing how to compare costs to retirees w benefits to workers.  i'm unaware of clear way to do this."
Hall,Robert,Agree,7,True even with appropriate policy.,Uncertain,8,"This question seems to presume that the government tells people when to retire, rather than providing a framework where they can decide."
Hart,Oliver,Uncertain,5,,Agree,10,
Holmström,Bengt,Agree,6,,Strongly Agree,7,
Hoxby,Caroline,Agree,9,,Agree,9,
Hoynes,Hilary,Agree,6,,Uncertain,6,
Judd,Kenneth,Strongly Agree,10,Productivity declines with age. Current policy discourages work by older people. Simple arithmetic tells you what will happen.,Agree,8,Output and tax revenue rise. Young could lose if labor market frictions are not fixed.
Kaplan,Steven,Strongly Agree,10,,Strongly Agree,10,
Kashyap,Anil,Agree,3,"depends on what constitutes substantial but direction is clear (absent immigration, changes in retirement ages, etc)",Agree,7,
Klenow,Pete,Strongly Agree,5,,Agree,5,
Levin,Jonathan,Agree,5,,Agree,4,
Maskin,Eric,Agree,7,,Agree,7,
Nordhaus,William,Agree,6,,Agree,6,
Saez,Emmanuel,Agree,7,,Agree,7,
Samuelson,Larry,Agree,10,"This is one reason we can expect economic growth rates to be sluggish in the near future, irrespective of economic policy.",Agree,10,Adjusting ages to reflect increases in longevity is an obvious component of entitlement reform.
Scheinkman,José,Agree,7,However this does not necessarily mean that real GDP per capital will fall.,Strongly Agree,8,"Countries in other regions, e.g. Latin America, also need to adjust retirement ages to reflect longer life expectancy."
Schmalensee,Richard,Agree,4,,Agree,3,"Not clear how best to do this or how far to go, however.  Life expectancy is influenced by work experience."
Shapiro,Carl,Agree,3,,Uncertain,2,
Shimer,Robert,Strongly Agree,8,,Agree,5,Best to announce the changes many years in advance
Stock,James,Strongly Agree,9,"Retiring workers slow the growth of the labor force, reducing the growth rate of hours and thus output - as in the U.S..",Agree,7,"Doing so would tend to increase working years, and thus support output growth."
Thaler,Richard,Did Not Answer,,,Did Not Answer,,
Udry,Christopher,Agree,6,"The ""substantial"" is my reason for caution. We don't have strong empirical evidence regarding the magnitude of the effect.",Agree,7,
