Last Name,First Name,"If regulators had not approved mergers in the past decade between major networked airlines, travelers would be better off today.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Uncertain,3,,,,,,,,,,,,,,,,,,,,,
Alesina,Alberto,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Altonji,Joseph,Uncertain,2,"The mergers have reduced competition, but there might have been additional bankrupcies.",,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Disagree,3,,,,,,,,,,,,,,,,,,,,,
Autor,David,Uncertain,1,,,,,,,,,,,,,,,,,,,,,
Baicker,Katherine,Uncertain,3,,,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Uncertain,3,,,,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Agree,6,"On net, the best evidence is, I think, for higher prices and worse service.  But the evidence is not that clear-cut.  ",,,,,,,,,,,,,,,,,,,,
Currie,Janet,Uncertain,3,,,,,,,,,,,,,,,,,,,,,
Cutler,David,Uncertain,5,,,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Agree,3,"Without having studied this, it is very hard to think through what would have happened if the mergers had not taken place.",,,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Disagree,2,"The airlines were losing money; service quality was declining. There were unused economies of scope and scale, which may be nearly gone now.",,,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Agree,8,Concentration and price are positively correlated in airline markets and for the obvious reasons,,,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Uncertain,5,Larger networks make for more efficiency and more market power both. Ease of entry (contestability) inclines me mildly toward disagree.,,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,,,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Disagree,6,,,,,,,,,,,,,,,,,,,,,
Goldin,Claudia,Disagree,4,"Acquisitions were mainly moribund airlines:  2001 Am-TWA, 2010/12 Cont.-United; 2008/10 NW-Delta. Continuity was achieved, less disruption.",,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Agree,3,There isn't a definitive paper on this although Severin Borenstein is working on one that should shed much light on this question.,,,,,,,,,,,,,,,,,,,,
Hall,Robert,Agree,5,"So many things have changed over the same time, especially rising load factors, that I believe it is hard to resolve the issue.",,,,,,,,,,,,,,,,,,,,
Holmström,Bengt,Uncertain,5,,,,,,,,,,,,,,,,,,,,,
Hoxby,Caroline,Uncertain,1,"I'd have to do more research into this topic. It's clear what the issues are in theory, so it's a matter of facts.",,,,,,,,,,,,,,,,,,,,
Judd,Kenneth,Disagree,8,,,,,,,,,,,,,,,,,,,,,
Kashyap,Anil,Agree,1,"DoJ cliams to have evidence of higher fares, not clear that there are enough gains in routes to counter-act that.  ",,,,,,,,,,,,,,,,,,,,
Klenow,Pete,Disagree,3,The DOJ's economists presumably didn't think so.,,,,,,,,,,,,,,,,,,,,
Levin,Jonathan,Uncertain,5,,,,,,,,,,,,,,,,,,,,,
Maskin,Eric,Agree,6,,,,,,,,,,,,,,,,,,,,,
Nordhaus,William,Disagree,3,Hard to judge the counter factual structure.,,,,,,,,,,,,,,,,,,,,
Obstfeld,Maurice,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Saez,Emmanuel,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Scheinkman,José,No Opinion,,,,,,,,,,,,,,,,,,,,,,
Schmalensee,Richard,Disagree,4,"Hard call, but chronically low airline profits does not suggest market power being exercised as a general matter.",,,,,,,,,,,,,,,,,,,,
Shin,Hyun Song,Uncertain,8,,,,,,,,,,,,,,,,,,,,,
Stokey,Nancy,Uncertain,4,Hard to say whether the benefits from economies of scale have outweighed the increase in monopoly power.  ,,,,,,,,,,,,,,,,,,,,
Thaler,Richard,Uncertain,3,There are some benefits to consumers to larger networks. Admit that service on US carriers is horrible.  ,,,,,,,,,,,,,,,,,,,,
Udry,Christopher,Strongly Agree,5,,,,,,,,,,,,,,,,,,,,,
Zingales,Luigi,Did Not Answer,,,,,,,,,,,,,,,,,,,,,,
