Last Name,First Name,The fundamental cause of Argentina’s high inflation is unfunded fiscal commitments that are being financed by the central bank.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Even if Argentina could marshal the resources to make a full switch to using US dollars for domestic transactions, it would substantially increase the volatility of Argentine GDP.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,,Agree,5,
Altonji,Joseph,Agree,7,,Uncertain,3,
Auerbach,Alan,Agree,5,,Uncertain,5,
Autor,David,No Opinion,,,No Opinion,,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Strongly Agree,4,,Uncertain,1,
Brunnermeier,Markus,Strongly Agree,8,,Agree,4,The current volatility given current policies is also high. 
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,,Did Not Answer,,
Cutler,David,Agree,3,,Uncertain,3,
Duffie,Darrell,Agree,7,"Based at least on news reports, the premise of the question is correct. Given that premise, inflation easily follows.",Uncertain,7,"Although GDP volatility with dollar domestic transactions would probably be higher than with optimal peso-based monetary policy, it might be lower than with actual peso-based monetary policy. The answer depends on one's assumption about future central-bank effectiveness. "
Edlin,Aaron,Strongly Agree,10,,No Opinion,,
Eichengreen,Barry,Strongly Agree,5,,Agree,5,
Einav,Liran,No Opinion,,,Agree,1,
Fair,Ray,Agree,5,,Uncertain,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Agree,6,,Agree,5,
Holmström,Bengt,Agree,4,,Uncertain,4,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,No Opinion,,,No Opinion,,
Judd,Kenneth,Agree,7,,Disagree,4,The economy can always get worse but there is no reason for dollarization necessarily causing extra volatility.
Kaplan,Steven,Agree,7,,Disagree,3,
Kashyap,Anil,Strongly Agree,7,,Agree,5,hard to see how they would not have a sharp contraction in activity if they could pull this off.  It will be fascinating to see the machinations that the IMF goes through to claim to be repaid the 40 billion+ that it is owed.  
Klenow,Pete,Strongly Agree,10,,Disagree,5,
Levin,Jonathan,Agree,4,,Disagree,4,
Maskin,Eric,Agree,7,,No Opinion,,
Nordhaus,William,Agree,4,,Agree,3,
Obstfeld,Maurice,Agree,5,,Uncertain,5,
Saez,Emmanuel,Did Not Answer,,,Did Not Answer,,
Samuelson,Larry,Agree,6,"The government's enthusiasm for printing money to finance its spending appears to be a major cause of its inflation, though other factors have contributed as well.",Agree,10,"Adopting the dollar will tie the Argentine economy to forces outside its influence and control.  This may be better than the current hyperinflation, but it is a recipe for volatility. "
Scheinkman,José,Agree,7,,Uncertain,6,"Although dollarization probably generates stronger economic fluctuations than many alternative rules (inflation targeting, money growth rate rules, or devaluation rules), Argentina has been incapable of committing to reasonable monetary rules.  "
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,
Shapiro,Carl,Agree,8,,Uncertain,3,
Shimer,Robert,Strongly Agree,10,,Disagree,7,"El Salvador and Ecuador have used the USD since 2000/2001 and I see no evidence of increased volatility there.  Instead, poor monetary and fiscal policy in Argentina is the source of instability, and dollarization will help with that."
Stock,James,Did Not Answer,,,Did Not Answer,,
Thaler,Richard,Agree,3,,No Opinion,,Way above my pay grade. 
Udry,Christopher,Agree,2,"Not sure about ""fundamental""",No Opinion,,
