Last Name,First Name,A merger of AT&T and Time Warner would likely increase consumer surplus over the ensuing decade.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Disagree,3,
Auerbach,Alan,Uncertain,3,
Autor,David,No Opinion,,
Baicker,Katherine,Uncertain,1,
Banerjee,Abhijit,Uncertain,6,
Bertrand,Marianne,Disagree,3,
Brunnermeier,Markus,Uncertain,4,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Uncertain,8,This is one where the actual data that will be evaluated by the agencies is crucial to forming a conclusion. 
Cutler,David,Disagree,4,
Deaton,Angus,Disagree,1,
Duffie,Darrell,Disagree,2,
Edlin,Aaron,Disagree,7,
Eichengreen,Barry,Uncertain,5,
Einav,Liran,Uncertain,5,
Fair,Ray,Disagree,3,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,No Opinion,,
Goolsbee,Austan,Uncertain,1,we've had 2 previous waves of media content+distribution conglomerates. they failed badly. no econ of scope. broke up. What's different now?
Greenstone,Michael,Uncertain,2,
Hall,Robert,No Opinion,,"As I pointed out earlier, this question is incoherent. Consumer surplus is not a general-equilibrium concept. It holds only in a market."
Hart,Oliver,Disagree,7,Possible but no reason to think it is likely It may not even be good for the two firms. The merged entity may have too much political power.
Holmström,Bengt,Uncertain,5,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Disagree,8,
Judd,Kenneth,Agree,6,
Kaplan,Steven,Uncertain,10,ATT and Time Warner stocks lost  $10 billion at deal announcement.  Questions opportunity to raise prices and efficiency gains.
Kashyap,Anil,No Opinion,,
Klenow,Pete,Uncertain,1,
Levin,Jonathan,Did Not Answer,,
Maskin,Eric,Uncertain,7,There are arguments pushing in either direction.
Nordhaus,William,Uncertain,1,
Saez,Emmanuel,Strongly Disagree,5,
Samuelson,Larry,Uncertain,1,"It is not clear what synergies would provide the foundation  for increased consumer surplus, nor are the effects on competition clear.  "
Scheinkman,José,No Opinion,,
Schmalensee,Richard,Did Not Answer,,
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Agree,5,"This is mostly vertical integration, which should reduce double marginalization. "
Thaler,Richard,Uncertain,1,Bigger does not always mean worse. As a United flier ny consumer surplus went up when they merged with Continental. Don't know here. 
Udry,Christopher,Did Not Answer,,
