Last Name,First Name,"Over the next decade, autonomous cars will raise average welfare in the US by at least as much as smartphones have over the past decade.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,7,"Great potential, but it is uncertain both when they can be used in large-scale and how much they can reduce costs and increase productivity."
Alesina,Alberto,Disagree,6,
Altonji,Joseph,Did Not Answer,,
Auerbach,Alan,Uncertain,3,
Autor,David,Uncertain,5,Could take >10 years for Autonomous Vehicles to have large societal effects -- and it's not clear how much smartphones have raised welfare!
Baicker,Katherine,Disagree,2,
Banerjee,Abhijit,Uncertain,7,
Bertrand,Marianne,Uncertain,4,
Brunnermeier,Markus,Uncertain,9,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Did Not Answer,,
Cutler,David,Uncertain,4,
Deaton,Angus,Disagree,6,
Duffie,Darrell,Disagree,1,"Ten years ago, iPhones were already in use. But self-driving cars are still some years from even beginning to enter common use. "
Edlin,Aaron,Agree,3,
Eichengreen,Barry,Disagree,1,Inclined to disagree on the grounds that roll-out will be slow (pedestrians opportunistically stepping out in front of autonomous cars...)
Einav,Liran,Agree,1,
Fair,Ray,Agree,1,
Finkelstein,Amy,Uncertain,3,
Goldberg,Pinelopi,Uncertain,6,
Goolsbee,Austan,Disagree,4,
Greenstone,Michael,Uncertain,4,adoption will almost surely be much lower than adoption of smartphones but per unit gains seem likely to be larger
Hall,Robert,Did Not Answer,,
Hart,Oliver,Disagree,5,I don't think they will be as transformative. There are too many potential safety issues and they will not solve congestion problems.
Holmström,Bengt,Strongly Disagree,8,Hard to predict the future impact of new technologies. Smartphones the most recent example. Very unlikely to be matched by autonomous cars.
Hoxby,Caroline,Disagree,6,
Hoynes,Hilary,Uncertain,5,
Judd,Kenneth,Agree,7,"This will be great for people who, like me, hate driving."
Kaplan,Steven,Disagree,3,"Autonomous cars likely to be important, but hard to beat smartphones for impact."
Kashyap,Anil,Disagree,3,"technology faces major challenges, and regulatory limits are likely to be pretty onerous, good reasons to doubt the 10 yr impact from today"
Klenow,Pete,Uncertain,3,
Levin,Jonathan,Uncertain,4,"Seems unlikely they'll be adopted as fast, but large potential benefits from fewer accidents, less traffic jams, fewer parking lots, etc."
Maskin,Eric,Did Not Answer,,
Nordhaus,William,Strongly Disagree,10,"if my uncle had wheels, he would still not be an autonomous car.  "
Saez,Emmanuel,Uncertain,4,
Samuelson,Larry,Agree,6,"A decade may be optimistic, but autonomous vehicles promise productivity gains, and (alas) perhaps also serious implications for inequality."
Scheinkman,José,Uncertain,4,A decade seems too optimistic for most of the positive effects of autonomous vehicles
Schmalensee,Richard,Uncertain,5,"I have my doubts, but they are swamped by uncertainty."
Shapiro,Carl,Did Not Answer,,
Shimer,Robert,Disagree,1,"It is hard to predict technology, but regulatory barriers are still significant. This will be true eventually."
Stock,James,Disagree,3,
Thaler,Richard,Uncertain,10,I am confident that I have no idea.  My only choice was between uncertain and no opinion.  Not an economics question. 
Udry,Christopher,Agree,1,"Commercial vehicles first, I think. Which means important distributional changes as well, with many losers as well as many winners.. "
