Last Name,First Name,Research on the nature and impact of bank runs has made it possible to limit substantially the wider economic damage from financial crises.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,Reforms of financial regulation since 2008 (and macroprudential policies in some countries) will not substantially reduce the probability of financial crises.,Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Uncertain,3,"Research on financial crises has generated theoretical insights, but unsure whether they have translated into policy. It is uncertain how much of policy during the 2008 crisis was driven by economics and how much by politics. ",Agree,3,I am not convinced that these reforms have tackled the main institutional problems related to excessive risk-taking and political connections by major banks.
Altonji,Joseph,Strongly Agree,7,,Disagree,3,
Auerbach,Alan,Agree,5,,Uncertain,3,
Autor,David,Agree,5,,Uncertain,5,I suspect that financial crises are inevitable. But financial regulation + improved economic understanding of crises may reduce the damage.
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Agree,6,,Uncertain,6,
Bertrand,Marianne,Strongly Agree,5,,Disagree,2,
Brunnermeier,Markus,Agree,5,,Strongly Disagree,8,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Agree,7,,Uncertain,6,
Cutler,David,Strongly Agree,7,,Uncertain,4,
Deaton,Angus,Agree,4,,Disagree,3,
Duffie,Darrell,Strongly Agree,10,"   Yes, this research has made a big difference, with respect to bank runs. But we must bear in mind the Global Financial Crisis, which came well after this research was understood by regulators. Much more needs to be done.",Strongly Disagree,10,"
   Reforms have more than doubled big-bank capital buffers and significantly increased their liquidity coverage--big improvements. But, as we have seen recently (Gilt market), non-bank financial stability concerns remain, bond market design is weak, and much more needs to be don"
Edlin,Aaron,Agree,7,,Uncertain,5,
Eichengreen,Barry,Did Not Answer,,,Did Not Answer,,
Einav,Liran,Agree,1,,Agree,1,
Fair,Ray,Agree,1,,Disagree,1,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Agree,6,,Strongly Disagree,8,
Greenstone,Michael,Uncertain,4,"here is a somewhat related paper:
https://www.aeaweb.org/articles?id=10.1257/pol.20160005",Uncertain,4,
Hall,Robert,Uncertain,6,Not nearly enough adoption of good ideas like single point of entry. There is still a presumption that the government will bail out financial institutions. ,Agree,6,See previous
Hart,Oliver,Uncertain,5,Many of the problems appear in shadow banking institutions where deposit insurance does not help. Central bank actions to stabilize these institutions while effective may have adverse political repercussions.,Agree,5,Look at what just happened in the U.K. with pension funds. The Bank of England had to engage in bond buying to keep them afloat.
Holmström,Bengt,Agree,6,"Made it possible, but not executed ",Agree,6,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Agree,5,,Uncertain,8,
Judd,Kenneth,Agree,7,"I would emphasize the phrase ""made it possible"". Earlier work by Kareken and Wallace explored the moral hazard effects of deposit insurance, factors ignored in Diamond-Dybvig. Together they make it possible to deal better with financial stability.",Agree,5,"Reforms may have dealt with details of 2008 but the basic problem is too many people take risks knowing others will cover losses. S&L crisis was also an example. Printing money can fix crises, but that creates other problems. I see no progress."
Kaplan,Steven,Agree,6,,Uncertain,3,
Kashyap,Anil,Disagree,5,"Research has helped us spot and understand risks, but not always limit the damage substantially.  Lots of constraints, for instance look at the money market funds.  They have been a risk in plain sight yet they are still not safe.  See the IGM Brookings report for more examples",Agree,5,"Too much activity has migrated into the shadow banking system.  The banks, at least in US and UK, are definitely stronger and safer, but the 2008 reforms were incomplete.  See the same report"
Klenow,Pete,Strongly Agree,5,,Disagree,3,
Levin,Jonathan,Strongly Agree,5,,Uncertain,4,
Maskin,Eric,Agree,7,,Disagree,7,
Nordhaus,William,Agree,9,,Disagree,8,
Obstfeld,Maurice,Uncertain,6,"I think practice ran ahead of theory. This is why the Fed was created. But Thornton, for example, understood the principles more than 200 years ago.",Disagree,6,"The reforms have helped but they have had side effects, including the migration of activity to nonregulated entities. We need to understand this better and to extend the regulatory perimeter substantively beyond the banking system."
Saez,Emmanuel,Agree,6,,Disagree,4,
Samuelson,Larry,Agree,8,"The research indicates that we should never expect to have perfect control of the financial system, but provides tools to improve our reaction to crises.",Uncertain,1,"Some useful reforms were taken, but these are somewhat limited and potentially confounded by political considerations; their effectiveness is yet to be seen."
Scheinkman,José,Agree,7,,Uncertain,5,
Schmalensee,Richard,Agree,5,,Uncertain,3,
Shapiro,Carl,Agree,8,,Disagree,4,
Shimer,Robert,Uncertain,5,"This research has mitigated short-term damage to the financial system from a financial crisis, but the overall cost to the economic and political system from the policies used since 2008 remains unclear.",Uncertain,5,There's a lot of variation in the quality of regulation across countries
Stock,James,Agree,4,,Disagree,4,
Thaler,Richard,Strongly Agree,5,,Uncertain,1,not my thing
Udry,Christopher,Agree,6,,No Opinion,,
