Last Name,First Name,"Implementing a ""destination based cash flow tax (including border adjustment)"" of the type advocated by Speaker Ryan would substantially reduce the US trade deficit within the next few years.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Implementing a “destination based cash flow tax (including border adjustment)” of the type advocated by Speaker Ryan would substantially raise prices for US consumers.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Disagree,6,"Replacing the sales tax with a value-added tax would be a good idea. This  is less clear, but no major effect deficit.",Disagree,3,
Alesina,Alberto,Did Not Answer,,,Did Not Answer,,
Altonji,Joseph,Disagree,2,,Disagree,2,
Auerbach,Alan,Disagree,7,,Disagree,7,
Autor,David,Agree,5,"I'm reasonably persuaded by Auerbach and Holtz-Eakin, but I'm not certain that U.S. currency will fall one-for-one with the border tax",Agree,5,"If dollar does not lose value to fully offset tax, then yes, consumer prices will rise. "
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Did Not Answer,,,Did Not Answer,,
Bertrand,Marianne,Uncertain,4,,Uncertain,4,
Brunnermeier,Markus,Uncertain,7,"Only in the short-run  possibly. In the long-run, dollar appreciation will reduce the advantage of US exporters. ",Agree,8,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Disagree,4,I understand the exchange rate argument but am not certain of a full offset. ,Uncertain,3,
Cutler,David,Uncertain,4,,Agree,4,
Deaton,Angus,Disagree,5,,Disagree,5,
Duffie,Darrell,Agree,3,I am assuming that trade retaliation and changes in foreign exchange prices are not big enough within three years to overcome the effect.,Agree,2,
Edlin,Aaron,Did Not Answer,,,Did Not Answer,,
Eichengreen,Barry,Uncertain,10,"Would depend on the reaction of other variables affecting investment & saving, starting with the exchange rate.",Uncertain,10,"Would depend on the reaction  of other variables, starting with the exchange rate."
Einav,Liran,No Opinion,,,No Opinion,,
Fair,Ray,Uncertain,3,,Agree,5,
Finkelstein,Amy,Uncertain,9,,Uncertain,8,
Goldberg,Pinelopi,Disagree,8,,Uncertain,8,
Goolsbee,Austan,Strongly Disagree,7,It's just like a VAT. Countries with VATs do not get a trade advantage. Consumers pay same rate on import/domestic. Exch rates offset/adjust,Strongly Agree,10,The point of the tax is to shift fr/producers who are mobile to consumers who aren't. That means consumer prices go up. There's no magic.
Greenstone,Michael,Did Not Answer,,,Did Not Answer,,
Hall,Robert,Did Not Answer,,,Did Not Answer,,
Hart,Oliver,Uncertain,5, I don't know what the effects of a destination based tax would be or whether it would improve matters. I would prefer a consumption tax.,Uncertain,5, I don't know what the effects of a destination based tax would be or whether it would improve matters. I would prefer a consumption tax.
Holmström,Bengt,No Opinion,,,No Opinion,,
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,8,,Uncertain,8,
Judd,Kenneth,Disagree,7,"The impact will not be ""substantial"". Trade deficit implies capital surplus; what is bad about that?",Agree,8,Certainly in the short run.
Kaplan,Steven,Uncertain,1,,Uncertain,1,
Kashyap,Anil,Agree,3,"Currency offset is unlikely to be one for one, so some trade effects are likely.  Magnitude would depend on the size of the tax.  ",Agree,1,"Magnitude hard to judge but lobbying by Walmart is not an accident, some pass through into prices likely. "
Klenow,Pete,Disagree,4,,Disagree,4,
Levin,Jonathan,Uncertain,2,,Uncertain,2,
Maskin,Eric,Did Not Answer,,,Did Not Answer,,
Nordhaus,William,Agree,4,"Substantially needs defining, but because unlikely full ex rate adjustment, not negligible effect.",Agree,4,"""Substantially"" here would mean 1 -2 % on level of CPI."
Saez,Emmanuel,Uncertain,7,,Uncertain,6,
Samuelson,Larry,Uncertain,1,"There are too many unknowns, including the reactions of other countries, to have any confidence that this would reduce the deficit.",Agree,8,"Whatever the effect on the deficit, it is likely to have adverse effects on domestic prices."
Scheinkman,José,Did Not Answer,,,Did Not Answer,,
Schmalensee,Richard,Disagree,3,,No Opinion,,
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Disagree,1,,Disagree,1,
Thaler,Richard,No Opinion,,,No Opinion,,
Udry,Christopher,Strongly Disagree,3,"Should have only second order effects. Imperfect exchange rate adjustment  may cause more real impact, but ""substantial"" not plausible.",Disagree,4,
