Last Name,First Name,"Because of the Brexit vote's outcome, the UK's real per-capita income level is likely to be lower a decade from now.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,"Because of the Brexit vote's outcome, the rest of the EU's real per-capita income level is likely to be lower a decade from now.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Uncertain,4,"Probably lower, but too much uncertainty. The UK-EU deal likely to be similar to the status quo ante, so should not have too large an effect",Agree,5,"Two negative effects: greater uncertainty about the periphery's future, and absence of British lobbying for more open EU markets."
Alesina,Alberto,Uncertain,8,,Agree,8,
Altonji,Joseph,Strongly Agree,8,,Agree,7,
Auerbach,Alan,Agree,5,,Uncertain,3,
Autor,David,Agree,5,,Agree,5,
Baicker,Katherine,Agree,1,,Uncertain,1,
Banerjee,Abhijit,Agree,6,,Uncertain,6,
Bertrand,Marianne,Uncertain,4,,Uncertain,5,
Brunnermeier,Markus,Agree,8,,Agree,6,
Chetty,Raj,Agree,4,,Agree,4,
Chevalier,Judith,Agree,7,There is substantial uncertainty about the contours of the going-forward relationship with the EU.  ,Agree,4,
Cutler,David,Disagree,3,,Disagree,3,
Deaton,Angus,Agree,7,,Agree,7,
Duffie,Darrell,Agree,3,"Main factors: lost trade in goods and services, especially for London City, coupled with delayed investment due to policy uncertainty. ",Agree,6,"Factors: lost trade in goods and services, increased EU-existential uncertainty, and reduced UK moderating influence on policy choices."
Edlin,Aaron,Agree,2,,Agree,2,
Eichengreen,Barry,Agree,6,"The outcome depends on policy, but ""likely"" is the operative word here.",Disagree,6,"Little long-run effect one way or the other, although there should be plenty of additional volatility in the short run."
Einav,Liran,Agree,3,,Agree,2,
Fair,Ray,Agree,2,,Agree,2,"I assume you mean lower than had the vote gone the other way, not lower than today. "
Finkelstein,Amy,Agree,4,,Agree,3,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,
Goolsbee,Austan,Strongly Disagree,8,"Brexit will cause big problems but in the short run. W/reasonable uk/eu terms, long run prospects no different (though Euro still doomed)",Strongly Disagree,9,See above. Switzerland like deal with uk will have little lasting damage. But Euro doomed either way. 
Greenstone,Michael,Agree,3,distributional consequences are less clear.  form of trade deals will matter a great deal.,Agree,3,form of trade deals will matter a great deal.
Hall,Robert,Uncertain,3,Way too complicated to call. ,Uncertain,3,
Hart,Oliver,Agree,8, A post-Brexit agreement between U.K. and E.U. is likely to involve trade barriers. This will reduce gains from trade. The U.K. will suffer.,Agree,8,Both sides gain from trade and so the EU will also suffer. The per capita loss is likely to be smaller simply because the EU is bigger.
Holmström,Bengt,Disagree,5,,Disagree,5,
Hoxby,Caroline,Strongly Disagree,8,,Uncertain,8,
Hoynes,Hilary,Agree,8,,Agree,7,
Judd,Kenneth,Agree,8,,Uncertain,6,The economic impact rest of EU is unclear since UK is less than 20% of EU. If Brexit leads to EU collapse then impact will be bad.
Kaplan,Steven,Uncertain,8,"Pluses and minuses to vote.  Minus for financial sector.  Plus for innovation, experimentation and decentralization. ",Disagree,2,"Minus = short-term instability.  Plus = may lead to less centralization, more innovation.  Eurozone as is = problematic economically."
Kashyap,Anil,Agree,5,"Voter anger trumps econ considerations, but slowdown is underway and City of London is likely to shrink necessitating higher taxes",Agree,3,Stability of rest of the EU much more in doubt.  If anyone else leaves big transition costs for everyone.  The politics around this are bad.
Klenow,Pete,Agree,5,,Agree,5,
Levin,Jonathan,Uncertain,3,"Hard to predict GDP levels ten years out, especially given uncertainty about what Brexit actually will mean. ",Uncertain,3,
Maskin,Eric,Agree,7,,Agree,7,
Nordhaus,William,Strongly Agree,7,,Agree,2,Excluding migrants from capita for both cases.
Saez,Emmanuel,Agree,4,,Agree,4,
Samuelson,Larry,Agree,8,"The European Union has various structural problems, but exiting will lead to efficiency losses and to lower per capital income in the UK.",Agree,8,"The effect on the EU will be smaller than that on the UK, unless the European Union unravels further."
Scheinkman,José,Agree,6,"Less access to single market, specially in financial services, and immigration restrictions  outweigh gains in deregulation and transfers.",Uncertain,4,
Schmalensee,Richard,Strongly Agree,7,,Strongly Agree,6,
Shapiro,Carl,Did Not Answer,,,Did Not Answer,,
Shimer,Robert,Agree,3,,Agree,7,
Thaler,Richard,Agree,5,This assumes they go through with it. Hoping reason prevails. ,Strongly Agree,5,This is bad for the EU even if sanity is restored and especially if the Brexit process begins. Could unravel. 
Udry,Christopher,Agree,3,"Very uncertain, because the path forward is so unclear.",Agree,3,
