Last Name,First Name,"Cuts in BLS spending would likely involve net social costs because potential declines in the quality of data, and thus their usefulness to researchers and decision makers, would exceed any budget savings.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,5,
Alesina,Alberto,Disagree,2,
Altonji,Joseph,Strongly Agree,10,The BLS has been underfunded for several years.  Key data products are at risk.
Auerbach,Alan,Agree,7,
Autor,David,Strongly Agree,10,BLS data are at the heart of good policy in both the public and private sectors. It's a bargain relative to the public and private value.
Baicker,Katherine,Agree,1,
Banerjee,Abhijit,Uncertain,5,
Bertrand,Marianne,Strongly Agree,7,
Brunnermeier,Markus,Agree,7,
Chetty,Raj,Agree,7,
Chevalier,Judith,Agree,4,
Cutler,David,Strongly Agree,10,
Deaton,Angus,No Opinion,,
Duffie,Darrell,Strongly Agree,6,
Edlin,Aaron,Strongly Agree,7,
Eichengreen,Barry,Strongly Agree,7,
Einav,Liran,Uncertain,1,
Fair,Ray,Agree,8,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Agree,6,
Goolsbee,Austan,Strongly Agree,9,
Greenstone,Michael,Strongly Agree,7,
Hall,Robert,Strongly Agree,8,
Hart,Oliver,Strongly Agree,8,Same answer as before.
Holmström,Bengt,Uncertain,2,
Hoxby,Caroline,Did Not Answer,,
Hoynes,Hilary,Agree,9,
Judd,Kenneth,Strongly Agree,10,"I doubt we have too much information of excessive quality. Reallocation of resources may be desired, but not cuts."
Kaplan,Steven,Uncertain,3,
Kashyap,Anil,Strongly Agree,9,
Klenow,Pete,Strongly Agree,10,"Big data from the private sector is becoming more plentiful, but it cannot match the scope and representativeness of BLS data. "
Levin,Jonathan,Strongly Agree,6,
Maskin,Eric,Agree,7,
Nordhaus,William,Strongly Agree,9,Just turn your headlights off at night on an icy country road to see what is involved in reducing the quality of economic statistics.
Saez,Emmanuel,Agree,7,
Samuelson,Larry,Agree,8,"Economic policy is often imprecise, but abandoning the data and making policy blindly would be even worse."
Scheinkman,José,Agree,4,
Schmalensee,Richard,Did Not Answer,,
Shapiro,Carl,Strongly Agree,9,
Shimer,Robert,Strongly Agree,8,Full disclosure: much of my research uses publicly available BLS data.
Thaler,Richard,Strongly Agree,7,
Udry,Christopher,Strongly Agree,1,
