Last Name,First Name,"Consumers would not necessarily be better off if cable and satellite TV firms were required to offer a la carte pricing for individual channels, because the networks' programming charges and the satellite-and-cable fees could adjust in response to this rule.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Did Not Answer,,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Agree,6,
Auerbach,Alan,No Opinion,,
Autor,David,Uncertain,1,
Baicker,Katherine,No Opinion,,
Bertrand,Marianne,Agree,2,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Disagree,9,Bundling creates opportunities for rent extraction not available if this tool is removed. 
Currie,Janet,Agree,3,
Cutler,David,Agree,5,
Deaton,Angus,Agree,3,
Duffie,Darrell,No Opinion,,"I hardly ever watch television, let alone follow the industry. Sorry!"
Edlin,Aaron,Agree,6,"in addition, requirements of a la carte pricing are likely to be ineffective without a ban on bundled pricing. "
Eichengreen,Barry,Uncertain,1,
Fair,Ray,No Opinion,,
Goldberg,Pinelopi,Agree,8,"See: Crawford, G. and Ali Yurukoglu. 2012. ""The Welfare Effects of Bundling in Multichannel Television Markets."" AER, 102(2):643–85"
Goldin,Claudia,Agree,5,
Goolsbee,Austan,Agree,7,
Greenstone,Michael,Agree,4,
Hall,Robert,Agree,7,Bundling is the natural pricing model with fairly homogeneous preferences. Consumers with low values would gain from unbundling.
Holmström,Bengt,Uncertain,2,"This is an analyzable question, I just haven't seen it done. In a non-collusive market (not the reality) requirements would be unnecessary."
Hoxby,Caroline,Strongly Agree,10,The bundling is likely good for some consumers and back for others.  There are few if any models of bundling in which it is bad for all.
Judd,Kenneth,Agree,4,
Kashyap,Anil,Agree,7,A la carte unfortunately is not a panacea.  
Klenow,Pete,Agree,2,I can imagine scenarios with small gains to consumers in the short run.  And in the long run programming quality and variety might fall.
Lazear,Edward,Did Not Answer,,
Levin,Jonathan,Agree,5,"Hard to say b/c offerings, prices might change - see, e.g. Crawford & Yurukoglu's careful AER study that shows uncertain effects."
Maskin,Eric,Agree,7,
Nordhaus,William,Uncertain,1,
Obstfeld,Maurice,No Opinion,,
Saez,Emmanuel,Did Not Answer,,
Scheinkman,José,Did Not Answer,,
Schmalensee,Richard,Agree,6,
Shin,Hyun Song,Disagree,3,
Stock,James,Did Not Answer,,
Stokey,Nancy,No Opinion,,
Thaler,Richard,Agree,8,"Both prix fixe and a la carte have their place. But to paraphrase Mark Knofler, I want my, I want my, I want my Daily Show."
Udry,Christopher,Agree,2,
Zingales,Luigi,No Opinion,,
