Last Name,First Name,"Californians would be better off on average if all final users in the state paid the same price for water — adjusted for quality, place and time — even if, as a result, some food prices rose sharply and some farms failed.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Agree,6,
Alesina,Alberto,Did Not Answer,,
Altonji,Joseph,Strongly Agree,8,The geographic price adjustments should reflect cost differences.  Distributional effects need to be addressed in the transition.
Auerbach,Alan,Agree,5,
Autor,David,Strongly Agree,9,Does not have to bankrupt farmers: they can be given water rights to resell. Coase Theorem applies.
Baicker,Katherine,Uncertain,3,
Banerjee,Abhijit,Agree,7,
Bertrand,Marianne,Disagree,3,
Brunnermeier,Markus,Did Not Answer,,
Chetty,Raj,Agree,8,
Chevalier,Judith,Agree,9,
Cutler,David,Uncertain,3,
Deaton,Angus,Agree,8,"Depends on who levies the taxes, but there are obvious gains to be had. "
Duffie,Darrell,Agree,3,"Price-based allocation usually works, absent externalities. I'm no expert on water, so open minded to learning what the externalities are. "
Edlin,Aaron,Strongly Agree,9,
Eichengreen,Barry,Agree,8,Subject to usual caveats: SR dislocations have costs that disipate in LR; lump sum redistribution may require compensation.
Einav,Liran,Uncertain,3,
Fair,Ray,Agree,5,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Did Not Answer,,
Goolsbee,Austan,Did Not Answer,,
Greenstone,Michael,Strongly Agree,8,"reform shld remove restrictions on intra- & inter-state trading, clarifying property rights & investments in monitoring water withdrawals"
Hall,Robert,Uncertain,4,There would be winners and losers. A better policy would engineer a roughly Pareto improving change. Bu probably better than nothing.
Hart,Oliver,Agree,7,"Equal prices imply that all final users will value the last gallon they use the same, which ensures efficiency. Consumer rationing does not."
Holmström,Bengt,Uncertain,6,
Hoxby,Caroline,Strongly Agree,10,Law of 1 price would generate enormous gains (from trade)--much more than enough to compensate family farms hurt in transition to sanity.
Hoynes,Hilary,Uncertain,5,
Judd,Kenneth,Strongly Agree,9,The marginal value of water differs greatly across uses. Change in food output will be small; farm use would not decline by much.
Kaplan,Steven,Strongly Agree,10,
Kashyap,Anil,Agree,3,
Klenow,Pete,Strongly Agree,7,
Levin,Jonathan,Uncertain,4,"Basic economics would equate marginal prices for substitute users, but not at all clear if we're taking about average prices.  "
Maskin,Eric,Agree,7,
Nordhaus,William,Agree,7,Moving to market-based system will be painful but particularly important given stresses to come.
Saez,Emmanuel,Agree,3,
Samuelson,Larry,Strongly Agree,8,"""On average"" hides some serious adverse consequences for some people, but rationalizing water prices would be a great step forward."
Scheinkman,José,Strongly Agree,9,Disclosure: I am a member of the Board of Cosan Limited which is engaged in sugar and bioethanol production in Brazil.
Schmalensee,Richard,Agree,2,"There would be losers and serious adjustment costs, not all economic, so it is hard to be confident about ""on average""."
Shapiro,Carl,Strongly Agree,9,
Shimer,Robert,Strongly Agree,8,"The only question is what ""on average"" means. One water price would make most Californians better off."
Thaler,Richard,Agree,4,
Udry,Christopher,Strongly Agree,10,I may use this as one of the core examples for introduction to microeconomics: a simple example of misallocation and gains from trade. 
