Last Name,First Name,"China’s growth model, specifically the unusually high investment rate and low consumption rate, is unsustainable.",Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.
Acemoglu,Daron,Strongly Agree,8,
Alesina,Alberto,Agree,6,
Altonji,Joseph,Uncertain,3,
Auerbach,Alan,Agree,5,
Autor,David,Agree,7,
Baicker,Katherine,No Opinion,,
Banerjee,Abhijit,Agree,7,
Bertrand,Marianne,Agree,2,
Brunnermeier,Markus,Agree,7,
Chetty,Raj,Did Not Answer,,
Chevalier,Judith,Agree,3,In the long run. But the long run can be very long...  
Cutler,David,Uncertain,5,
Deaton,Angus,Strongly Agree,8,
Duffie,Darrell,Agree,9,True because it's already happened! Growth is down. Consumption is up.  
Edlin,Aaron,Agree,5,
Eichengreen,Barry,No Opinion,,"I'm not a fan of the ""s word"" (sustainable).  The structure of China's economy will have to change over time, no question. But sustainable?"
Einav,Liran,No Opinion,,
Fair,Ray,Agree,4,
Finkelstein,Amy,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,
Goolsbee,Austan,Strongly Agree,10,must we relearn the same lesson in the same painful way again?
Greenstone,Michael,Agree,4,China's TREMENDOUS gains in living standards last 25 yrs is 1 of most impt events in history  likely unsustainable but long run comes slowly
Hall,Robert,Agree,7,"""If it can't go on forever, it won't"""
Hart,Oliver,Agree,6,As China becomes richer it will resemble other rich countries: growth rates will fall;wages and consumption will rise;investment will fall.
Holmström,Bengt,Strongly Agree,6,
Hoxby,Caroline,Uncertain,5,"Of course, it is unsustainable in the very long run, but near-to-mid term sustainability is at least plausible."
Hoynes,Hilary,Uncertain,8,
Judd,Kenneth,Strongly Agree,8,"Like 20th century Japan, Germany, etc., they are catching up with other economies and will slow down as they approach US/EU productivity."
Kaplan,Steven,Agree,6,
Kashyap,Anil,Agree,7,"They've talked about rotating demand forever, looks like the markets have lost faith and are worried about bridges to nowhere, etc.    "
Klenow,Pete,Strongly Agree,10,They won't get as much growth from capital-deepening (rising capital-labor ratio) in the future as in recent decades.
Levin,Jonathan,Agree,4,
Maskin,Eric,Agree,7,
Nordhaus,William,Agree,8,
Saez,Emmanuel,Agree,4,
Samuelson,Larry,Agree,6,China's growth numbers have long been suspect; it is remarkable that new evidence of their weakness has so much effect on world markets.
Scheinkman,José,Uncertain,7,However countries that grow very rapidly eventually hit a wall. Successful ones (e.g. Korea)  return to growth after the stop. 
Schmalensee,Richard,Agree,4,Internal politics matters here and it is hard to be confident about future developments.
Shapiro,Carl,Uncertain,3,
Shimer,Robert,Agree,5,
Thaler,Richard,No Opinion,,
Udry,Christopher,Agree,8,"In the long run, growth has to slow as the process of structural change approaches completion. Consumption eventually converges near income."
