Last Name,First Name,Efforts to achieve the goal of reaching net-zero emissions of greenhouse gases by 2050 will be a major drag on global economic growth.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Voluntary national targets are unlikely to be an effective mechanism for achieving sharp reductions in greenhouse gas emissions.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,Agreement on a significant global price floor for all carbon emissions would be an effective step towards achieving sharp reductions in emissions.,Confidence in this topic (10 being the highest).,Please explain your response in 140 characters or less.,,,,,,,,,,,,,,,,,,
Acemoglu,Daron,Uncertain,5,"Renewables are cost competitive with fossil fuels in most tasks. Plus, investment in new technology and infrastructure can boost growth.",Agree,5,Transition costs will be high for China & some developing nations. Plus big oil & energy are still very powerful. Global coordination is key,Agree,5,"Yes. But it is not sufficient. Investment in green technologies plus public campaigns, e.g., to reduce beef consumption, are also needed.",,,,,,,,,,,,,,,,,,
Altonji,Joseph,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Auerbach,Alan,Uncertain,3,,Agree,7,,Agree,3,,,,,,,,,,,,,,,,,,,
Autor,David,Disagree,6,"We underestimate our capacity to innovate, and the growth that ensues from innovation and investment",Strongly Disagree,7,,Strongly Disagree,9,"If we could get there. Of course, there will still be plenty of cheating",,,,,,,,,,,,,,,,,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Banerjee,Abhijit,Disagree,6,,Uncertain,7,,Agree,6,,,,,,,,,,,,,,,,,,,
Bertrand,Marianne,Uncertain,3,,Agree,3,,Agree,3,,,,,,,,,,,,,,,,,,,
Brunnermeier,Markus,Uncertain,8,,Disagree,8,national targets can speed up the development of new green technologies - benefiting the whole world,Agree,5,removal of fossil fuel subsidies and investment in green R&D might be equally/more effective.,,,,,,,,,,,,,,,,,,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Chevalier,Judith,Disagree,6,"Obviously, climate change itself will impact global economies. ",Agree,7,,Agree,1,,,,,,,,,,,,,,,,,,,
Cutler,David,Uncertain,5,,Uncertain,5,,Strongly Agree,5,,,,,,,,,,,,,,,,,,,
Deaton,Angus,Uncertain,7,It entirely depends on policy. ,Disagree,6,"I see no option, and it has to happen, so . . . .",Strongly Agree,7,It may not be feasible,,,,,,,,,,,,,,,,,,
Duffie,Darrell,Disagree,3,"Assuming the metric is long-run growth, not short run, it's a question of sustainability.",Agree,2,This is a classic free rider problem. Every country will want other countries to bear the cost.,Strongly Agree,3,An agreed price mechanism can support allocative efficiency (Econ 101) and compliance monitoring.,,,,,,,,,,,,,,,,,,
Edlin,Aaron,Disagree,1,Efforts involve investment. That need not lower growth. Also people may not put up with too much sacrifice. ,Uncertain,6,,Agree,8,Of course the price floor needs to be effective and large enough and enforced to work. ,,,,,,,,,,,,,,,,,,
Eichengreen,Barry,Disagree,10,NOT taking steps to reach net-zero emissions by 2050 will be a major drag on economic growth (climate change adaptation can be expensive).,Disagree,5,"Voluntary national commitments/targets are the only game in town.  There is a free rider problem to be sure, but one that might be overcome.",Strongly Agree,5,,,,,,,,,,,,,,,,,,,
Einav,Liran,Uncertain,1,,Agree,1,,Agree,1,,,,,,,,,,,,,,,,,,,
Fair,Ray,Uncertain,5,,Agree,5,,Agree,5,,,,,,,,,,,,,,,,,,,
Finkelstein,Amy,Disagree,4,,Agree,5,,Strongly Agree,5,,,,,,,,,,,,,,,,,,,
Goldberg,Pinelopi,Did Not Answer,,,Did Not Answer,,,Did Not Answer,,,,,,,,,,,,,,,,,,,,
Goolsbee,Austan,Uncertain,6,Compared to letting it go wild?,Agree,1,,Uncertain,1,How would cheaters be penalized?,,,,,,,,,,,,,,,,,,
Greenstone,Michael,Uncertain,4,"Whether 2050 net zero passes cost-benefit is wrong ?. Correct ? is whether benefits of substantial emissions cuts > costs: YES, they do!",Agree,7,"All national targets are voluntary, short of sanctions or war. Border carbon adjustment taxes can help.",Strongly Agree,8,Seems like the assume a can opener joke. Yes a significant price floor would be effective. But how can India/US/EU/China/etc agree on price?,,,,,,,,,,,,,,,,,,
