Last Name,First Name,"When economic policy-makers are unable to commit credibly in advance to a specific decision rule, they will often follow a poor policy trajectory.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.,"Rules-based fiscal policies deliver substantially better outcomes than purely discretionary, on the spot, policy choices.",Confidence in this topic (10 being the highest).,Please explain your response in 280 characters or less.
Acemoglu,Daron,Agree,3,Provided that policymakers do not commit to excessively rigid rules that remain unchanged when previously-unforeseen contingencies arise.,Uncertain,3,This would depend on how rule-based policies are conceptualized/specified and how (and whether) they respond to emergencies and previously-unforeseen events.
Altonji,Joseph,Agree,3,,Agree,2,
Auerbach,Alan,Agree,3,,Uncertain,5,
Autor,David,No Opinion,,,No Opinion,,
Baicker,Katherine,Did Not Answer,,,Did Not Answer,,
Banerjee,Abhijit,Agree,5,,Uncertain,5,
Bertrand,Marianne,Agree,3,,Agree,3,
Brunnermeier,Markus,Agree,9,,Agree,9,
Chetty,Raj,Did Not Answer,,,Did Not Answer,,
Chevalier,Judith,Uncertain,4,,Uncertain,6,
Cutler,David,Agree,5,,Uncertain,5,
Deaton,Angus,Agree,4,,Strongly Disagree,8,
Duffie,Darrell,Agree,3,,Agree,3,
Edlin,Aaron,Agree,7,Every parent knows this. ,Agree,9,"Clearly superiority depends upon the rule.  But there is little question that there are fiscal rules that are better defaults than the current default.  The current default is that without action (to at least raise debt ceiling), much spending stops and all heck breaks loose. "
Eichengreen,Barry,Agree,5,,Agree,1,
Einav,Liran,Agree,1,,Agree,1,
Fair,Ray,Disagree,5,,Disagree,5,
Finkelstein,Amy,Did Not Answer,,,Did Not Answer,,
Goldberg,Pinelopi,Agree,5,,Agree,5,"In general this is true, but there are situations that call for discretion."
Goolsbee,Austan,Agree,5,,Disagree,8,Rules without discretion can turn crises into disasters.
Greenstone,Michael,Uncertain,4,,Uncertain,4,
Hall,Robert,Strongly Agree,9,"Read Kydland and Prescott, and Barro and Gordon! Also Stan Fischer on fiscal commitment issues.",Strongly Agree,9,
Hart,Oliver,Uncertain,5,"I think that an independent central bank committee can do a good job even without commitment. So maybe replace ""often"" with ""sometimes"".",Uncertain,5,Same reason as before.
Holmström,Bengt,Uncertain,4,Depends on the policy at issue,Agree,4,Some commitments clearly valuable
Hoxby,Caroline,Did Not Answer,,,Did Not Answer,,
Hoynes,Hilary,Uncertain,5,,Uncertain,5,
Judd,Kenneth,Agree,5,,Disagree,6,"Rules to keep Social Security solvent would be good, but politics get in the way. Most rules are too simple to handle rare events. In 1942 the US needed a new tax system. What rule could have handled the 2008 financial crisis? COVID?"
Kaplan,Steven,Uncertain,3,,Uncertain,3,
Kashyap,Anil,Agree,3,,Uncertain,3,depends on the rule... 
Klenow,Pete,Agree,5,,Agree,5,
Levin,Jonathan,Disagree,4,,Uncertain,5,
Maskin,Eric,Agree,5,,Agree,4,
Nordhaus,William,Agree,5,,Agree,5,
Obstfeld,Maurice,Uncertain,5,,Uncertain,5,
Saez,Emmanuel,Uncertain,6,,Uncertain,6,
Samuelson,Larry,Agree,8,,Uncertain,1,"Rules have the advantage of avoiding time inconsistency, while discretionary policy can adapt to unanticipated circumstances.  The ideal is presumably some mix, which I suspect is closer to rule based than our current policy making."
Scheinkman,José,Agree,7,,Agree,7,"However, since it is impossible to foresee all possible contingencies, discretion is sometimes needed. "
Schmalensee,Richard,Did Not Answer,,,Did Not Answer,,
Shapiro,Carl,Agree,7,,Agree,6,
Shimer,Robert,Strongly Agree,8,,Strongly Agree,8,
Stock,James,Agree,5,,Agree,5,
Thaler,Richard,Uncertain,1,How would we know? ,Uncertain,5,"I have half-jokingly suggested that we assign monetary policies in crises at random to central banks. So for no central banker has found this idea either attractive or funny, but lacking that I repeat: how would we know? "
Udry,Christopher,Uncertain,4,"It's the ""often"" that is uncertain. Lack of policy commitment *can* matter but I don't know that it matters often.",Uncertain,5,"Related to above. I'm not sure that ability to commit outweighs flexibility in response to surprises, particularly unforseen events."
